branch,sample_idx,gain,re,im
1,1,0.000000000000,-2.022000955590,0.000000000000
1,2,1.000000000000,-2.022000955590,0.000000000000
1,3,2.000000000000,-2.018725556170,0.000000000000
1,4,3.000000000000,-2.015444132240,0.000000000000
1,5,4.000000000000,-2.012156644510,0.000000000000
1,6,5.000000000000,-2.008863052960,0.000000000000
1,7,6.000000000000,-1.995626823760,0.000000000000
1,8,7.000000000000,-1.982289541390,0.000000000000
1,9,8.000000000000,-1.968848267590,0.000000000000
1,10,9.000000000000,-1.955299823090,0.000000000000
1,11,10.000000000000,-1.941640753010,0.000000000000
1,12,11.000000000000,-1.927867285870,0.000000000000
1,13,12.000000000000,-1.913975284780,0.000000000000
1,14,13.000000000000,-1.899960189000,0.000000000000
1,15,14.000000000000,-1.885816943700,0.000000000000
1,16,15.000000000000,-1.871539914840,0.000000000000
1,17,16.000000000000,-1.857122785450,0.000000000000
1,18,17.000000000000,-1.797894973970,0.000000000000
1,19,18.000000000000,-1.735621048330,0.000000000000
1,20,19.000000000000,-1.668992389280,0.000000000000
1,21,20.000000000000,-1.594815402540,0.000000000000
1,22,21.000000000000,-1.574168647430,0.000000000000
1,23,22.000000000000,-1.552074823150,0.000000000000
1,24,23.000000000000,-1.527804485740,0.000000000000
1,25,24.000000000000,-1.499727038260,0.000000000000
1,26,25.000000000000,-1.419563592390,0.000000000000
1,27,26.000000000000,-1.413969065540,-0.055240053499
1,28,27.000000000000,-1.408385324590,-0.077582941767
1,29,28.000000000000,-1.402814363710,-0.094351347144
1,30,29.000000000000,-1.397258288800,-0.108166360368
1,31,30.000000000000,-1.375227263850,-0.148416753168
1,32,31.000000000000,-1.353618539290,-0.175953987312
1,33,32.000000000000,-1.332589832030,-0.196222103151
1,34,33.000000000000,-1.310312340660,-0.212711048004
1,35,34.000000000000,-1.289123020410,-0.224624926613
1,36,35.000000000000,-1.269182969600,-0.232977059934
1,37,36.000000000000,-1.250605533960,-0.238511432590
1,38,37.000000000000,-1.233449564010,-0.241818379461
1,39,38.000000000000,-1.217720848880,-0.243382013930
1,40,39.000000000000,-1.203380137210,-0.243601277779
1,41,40.000000000000,-1.190354738900,-0.242801737727
1,42,41.000000000000,-1.178550698190,-0.241244978940
1,43,42.000000000000,-1.167863448200,-0.239137737617
1,44,43.000000000000,-1.158185984390,-0.236640935997
1,45,44.000000000000,-1.149414461610,-0.233878194053
1,46,45.000000000000,-1.141451595450,-0.230943410937
1,47,46.000000000000,-1.134208409990,-0.227907206978
1,48,47.000000000000,-1.127604850900,-0.224822203374
1,49,48.000000000000,-1.121569682860,-0.221727235926
1,50,49.000000000000,-1.116039975670,-0.218650654716
1,51,50.000000000000,-1.110960385430,-0.215612873941
1,52,51.000000000000,-1.106282361070,-0.212628324619
1,53,52.000000000000,-1.101963354490,-0.209706941222
1,54,53.000000000000,-1.097966077040,-0.206855289348
1,55,54.000000000000,-1.094257822830,-0.204077419339
1,56,55.000000000000,-1.090809866250,-0.201375511761
1,57,56.000000000000,-1.087596932900,-0.198750365312
1,58,57.000000000000,-1.084596739470,-0.196201765577
1,59,58.000000000000,-1.081789595850,-0.193728763715
1,60,59.000000000000,-1.079158062390,-0.191329887005
1,61,60.000000000000,-1.076686655280,-0.189003297808
1,62,61.000000000000,-1.074361593470,-0.186746913396
1,63,62.000000000000,-1.072170581280,-0.184558496076
1,64,63.000000000000,-1.070102621570,-0.182435720716
1,65,64.000000000000,-1.068147854940,-0.180376225075
1,66,65.000000000000,-1.066297421180,-0.178377647017
1,67,66.000000000000,-1.064543339650,-0.176437651732
1,68,67.000000000000,-1.062878405790,-0.174553951335
