w,mag_before,phase_before,mag_after,phase_after
0.001,19.08484585,-0.05729576041,27.0413668,-0.9164532469
0.001027858127,19.0848456,-0.0588919119,27.04123784,-0.9419677114
0.00105649233,19.08484534,-0.06053252907,27.04110161,-0.9681915694
0.001085924228,19.08484507,-0.06221885067,27.04095769,-0.9951444637
0.001116176043,19.08484478,-0.06395214991,27.04080564,-1.022846574
0.001147270618,19.08484447,-0.0657337355,27.04064501,-1.051318632
0.001179231428,19.08484415,-0.0675649526,27.04047532,-1.080581933
0.001212082608,19.08484381,-0.06944718384,27.04029605,-1.110658355
0.001245848959,19.08484345,-0.07138185035,27.04010666,-1.141570368
0.001280555978,19.08484307,-0.07337041289,27.03990659,-1.173341055
0.00131622987,19.08484266,-0.07541437286,27.03969523,-1.205994125
0.001352897569,19.08484224,-0.07751527354,27.03947194,-1.239553929
0.001390586762,19.08484179,-0.07967470115,27.03923606,-1.274045475
0.001429325905,19.08484132,-0.08189428614,27.03898686,-1.309494449
0.001469144248,19.08484082,-0.08417570435,27.03872362,-1.345927227
0.001510071856,19.08484029,-0.08652067833,27.03844552,-1.383370897
0.00155213963,19.08483973,-0.08893097858,27.03815175,-1.42185327
0.001595379333,19.08483913,-0.09140842496,27.0378414,-1.461402907
0.001639823614,19.08483851,-0.093954888,27.03751356,-1.502049129
0.001685506029,19.08483785,-0.09657229034,27.03716723,-1.543822039
0.00173246107,19.08483715,-0.09926260819,27.03680138,-1.586752542
0.001780724191,19.08483642,-0.1020278728,27.03641491,-1.630872361
0.001830331833,19.08483564,-0.104870172,27.03600666,-1.676214059
0.00188132145,19.08483482,-0.1077916518,27.0355754,-1.722811057
0.001933731543,19.08483395,-0.110794518,27.03511984,-1.770697654
0.001987601682,19.08483303,-0.1138810378,27.03463862,-1.819909048
0.002042972543,19.08483206,-0.1170535415,27.0341303,-1.870481354
0.002099885932,19.08483104,-0.1203144245,27.03359334,-1.922451626
0.002158384822,19.08482996,-0.1236661488,27.03302615,-1.975857878
0.002218513381,19.08482881,-0.127111245,27.03242703,-2.030739102
0.002280317009,19.08482761,-0.1306523141,27.03179419,-2.087135292
0.002343842371,19.08482633,-0.1342920298,27.03112574,-2.145087461
0.00240913743,19.08482498,-0.13803314,27.03041967,-2.204637662
0.002476251487,19.08482356,-0.1418784692,27.02967389,-2.265829013
0.002545235217,19.08482205,-0.1458309209,27.02888617,-2.328705709
0.002616140703,19.08482046,-0.1498934789,27.02805417,-2.393313051
0.002689021484,19.08481879,-0.1540692107,27.0271754,-2.45969746
0.002763932587,19.08481701,-0.1583612688,27.02624725,-2.527906497
0.002840930573,19.08481514,-0.1627728938,27.02526697,-2.597988882
0.002920073579,19.08481316,-0.1673074164,27.02423164,-2.669994517
0.00300142136,19.08481107,-0.1719682601,27.02313819,-2.743974496
0.003085035339,19.08480886,-0.1767589438,27.02198339,-2.819981126
0.003170978646,19.08480652,-0.1816830844,27.0207638,-2.898067947
0.003259316173,19.08480405,-0.1867443995,27.01947583,-2.978289738
0.003350114618,19.08480145,-0.1919467104,27.01811567,-3.06070254
0.003443442538,19.08479869,-0.1972939446,27.01667931,-3.145363661
0.003539370398,19.08479578,-0.2027901392,27.01516251,-3.232331694
0.00363797063,19.08479271,-0.2084394435,27.01356082,-3.321666521
0.003739317679,19.08478946,-0.2142461227,27.01186954,-3.413429324
0.003843488067,19.08478603,-0.2202145605,27.01008369,-3.507682589
0.003950560447,19.08478241,-0.2263492628,27.00819806,-3.604490108
0.004060615663,19.08477858,-0.232654861,27.00620713,-3.703916984
0.004173736811,19.08477454,-0.2391361155,27.00410509,-3.806029622
0.004290009302,19.08477026,-0.2457979192,27.00188583,-3.91089573
0.004409520928,19.08476575,-0.2526453014,26.9995429,-4.018584305
0.004532361923,19.08476098,-0.2596834313,26.99706951,-4.129165624
0.004658625039,19.08475594,-0.2669176221,26.99445849,-4.242711225
0.004788405608,19.08475061,-0.2743533351,26.99170233,-4.359293884
0.004921801621,19.08474499,-0.2819961835,26.98879309,-4.478987591
0.005058913798,19.08473904,-0.2898519369,26.98572241,-4.601867518
0.005199845663,19.08473276,-0.2979265255,26.98248153,-4.728009978
0.005344703625,19.08472613,-0.3062260446,26.97906118,-4.857492381
0.005493597059,19.08471912,-0.3147567595,26.97545166,-4.990393184
0.005646638386,19.08471172,-0.3235251095,26.97164272,-5.12679183
0.005803943157,19.0847039,-0.3325377135,26.96762362,-5.266768681
0.005965630144,19.08469563,-0.3418013747,26.96338306,-5.410404939
0.006131821429,19.0846869,-0.3513230855,26.95890915,-5.557782563
0.006302642491,19.08467768,-0.3611100331,26.95418943,-5.708984168
0.006478222308,19.08466793,-0.3711696047,26.94921078,-5.86409292
0.00665869345,19.08465763,-0.3815093933,26.94395945,-6.023192413
0.00684419218,19.08464676,-0.3921372032,26.93842101,-6.186366537
0.007034858557,19.08463527,-0.4030610558,26.9325803,-6.353699332
0.007230836543,19.08462312,-0.414289196,26.92642146,-6.525274821
0.007432274108,19.0846103,-0.4258300979,26.91992783,-6.701176839
0.007639323346,19.08459675,-0.4376924717,26.91308198,-6.881488833
0.007852140589,19.08458243,-0.44988527,26.90586563,-7.066293649
0.008070886521,19.0845673,-0.4624176943,26.89825969,-7.255673306
0.008295726306,19.08455132,-0.4752992023,26.89024414,-7.449708737
0.008526829705,19.08453444,-0.4885395149,26.88179809,-7.648479523
0.008764371213,19.0845166,-0.5021486235,26.87289967,-7.85206359
0.009008530182,19.08449776,-0.5161367972,26.86352609,-8.060536899
0.009259490963,19.08447785,-0.5305145912,26.85365353,-8.273973095
0.009517443041,19.08445682,-0.5452928539,26.84325716,-8.492443145
0.009782581182,19.08443459,-0.5604827357,26.83231112,-8.716014939
0.01005510557,19.08441112,-0.5760956971,26.82078845,-8.944752866
0.01033522199,19.08438631,-0.5921435171,26.80866113,-9.178717367
