t,before,after
0,0,0
0.04624277457,0.001162722498,0.009072832397
0.09248554913,0.004582530636,0.03403259772
0.1387283237,0.01015625704,0.07172976767
0.1849710983,0.01778011594,0.1193322264
0.2312138728,0.02734996894,0.1743199726
0.2774566474,0.03876158031,0.2344753525
0.323699422,0.05191086177,0.2978697535
0.3699421965,0.06669410657,0.3628475881
0.4161849711,0.08300821287,0.4280083055
0.4624277457,0.1007508962,0.4921870765
0.5086705202,0.1198208912,0.554434708
0.5549132948,0.1401181423,0.6139972659
0.6011560694,0.1615439838,0.6702958054
0.6473988439,0.1840013089,0.7229065389
0.6936416185,0.207394728,0.7715417097
0.7398843931,0.2316307168,0.8160313794
0.7861271676,0.2566177532,0.8563062871
0.8323699422,0.2822664442,0.8923818932
0.8786127168,0.3084896425,0.9243436811
0.9248554913,0.3352025526,0.952333755
0.9710982659,0.3623228278,0.9765387443
1.01734104,0.3897706566,0.9971790007
1.063583815,0.4174688401,1.014499053
1.10982659,0.4453428599,1.028759272
1.156069364,0.4733209371,1.040228679
1.202312139,0.5013340822,1.049178832
1.248554913,0.5293161369,1.055878709
1.294797688,0.5572038072,1.060590502
1.341040462,0.5849366887,1.063566253
1.387283237,0.612457284,1.065045229
1.433526012,0.6397110127,1.06525197
1.479768786,0.6666462146,1.064394916
1.526011561,0.6932141454,1.062665553
1.572254335,0.7193689663,1.060237994
1.61849711,0.7450677271,1.057268927
1.664739884,0.7702703435,1.053897873
1.710982659,0.7949395688,1.050247705
1.757225434,0.8190409599,1.04642535
1.803468208,0.8425428386,1.04252266
1.849710983,0.865416248,1.038617387
1.895953757,0.8876349045,1.034774238
1.942196532,0.9091751459,1.031045975
1.988439306,0.9300158747,1.027474531
2.034682081,0.9501384994,1.024092128
2.080924855,0.969526871,1.020922369
2.12716763,0.9881672174,1.017981289
2.173410405,1.006048075,1.015278367
2.219653179,1.023160218,1.01281747
2.265895954,1.039496584,1.010597739
2.312138728,1.055052201,1.008614401
2.358381503,1.069824108,1.006859516
2.404624277,1.083811279,1.005322645
2.450867052,1.097014545,1.003991454
2.497109827,1.109436509,1.002852245
2.543352601,1.12108147,1.001890418
2.589595376,1.131955339,1.001090873
2.63583815,1.142065556,1.000438355
2.682080925,1.151421014,0.9999177355
2.728323699,1.160031969,0.9995142518
2.774566474,1.167909967,0.9992136943
2.820809249,1.175067756,0.9990025549
2.867052023,1.18151921,0.9988681376
2.913294798,1.187279247,0.9987986364
2.959537572,1.192363754,0.9987831849
3.005780347,1.196789505,0.9988118812
3.052023121,1.200574088,0.9988757921
3.098265896,1.203735829,0.9989669401
3.144508671,1.206293717,0.9990782763
3.190751445,1.208267336,0.9992036417
3.23699422,1.209676791,0.9993377202
3.283236994,1.21054264,0.9994759851
3.329479769,1.210885831,0.999614641
3.375722543,1.210727633,0.9997505632
3.421965318,1.210089574,0.9998812361
3.468208092,1.208993382,1.000004691
3.514450867,1.207460926,1.000119447
3.560693642,1.20551416,1.00022445
3.606936416,1.203175065,1.000319019
3.653179191,1.200465603,1.000402792
3.699421965,1.197407663,1.000475678
3.74566474,1.194023014,1.000537811
3.791907514,1.190333261,1.000589507
3.838150289,1.186359802,1.000631229
3.884393064,1.182123786,1.000663551
3.930635838,1.177646075,1.00068713
3.976878613,1.172947211,1.000702679
4.023121387,1.168047377,1.000710945
4.069364162,1.162966369,1.000712688
4.115606936,1.157723566,1.000708667
4.161849711,1.152337901,1.000699625
4.208092486,1.146827841,1.00068628
4.25433526,1.141211356,1.000669313
4.300578035,1.135505908,1.000649366
4.346820809,1.129728423,1.000627035
4.393063584,1.123895283,1.000602865
4.439306358,1.118022305,1.000577353
4.485549133,1.112124729,1.000550945
4.531791908,1.106217211,1.000524036
4.578034682,1.100313809,1.000496971
4.624277457,1.094427981,1.00047005
4.670520231,1.088572573,1.000443527
4.716763006,1.082759822,1.000417614
4.76300578,1.077001346,1.000392486
4.809248555,1.071308152,1.00036828
4.855491329,1.065690627,1.000345103
4.901734104,1.060158548,1.000323032
4.947976879,1.054721082,1.000302119
4.994219653,1.049386788,1.000282393
5.040462428,1.044163627,1.000263865
5.086705202,1.03905897,1.000246527
5.132947977,1.034079598,1.000230358
5.179190751,1.029231721,1.000215328
5.225433526,1.024520982,1.000201395
5.271676301,1.019952467,1.000188511
5.317919075,1.015530722,1.000176623
5.36416185,1.011259761,1.000165673
5.410404624,1.00714308,1.000155602
5.456647399,1.003183672,1.000146349
5.502890173,0.9993840394,1.000137854
5.549132948,0.9957462117,1.000130058
5.595375723,0.992271758,1.000122903
5.641618497,0.9889618043,1.000116332
5.687861272,0.9858170492,1.000110293
5.734104046,0.9828377805,1.000104734
5.780346821,0.9800238916,1.00009961
5.826589595,0.9773748988,1.000094876
5.87283237,0.9748899579,1.000090491
5.919075145,0.9725678816,1.000086419
5.965317919,0.9704071567,1.000082626
6.011560694,0.9684059614,1.00007908
6.057803468,0.9665621823,1.000075756
6.104046243,0.9648734321,1.000072628
6.150289017,0.9633370658,1.000069674
6.196531792,0.9619501988,1.000066876
6.242774566,0.9607097226,1.000064217
6.289017341,0.9596123222,1.000061681
6.335260116,0.9586544922,1.000059258
6.38150289,0.9578325526,1.000056935
6.427745665,0.9571426653,1.000054704
6.473988439,0.9565808493,1.000052558
6.520231214,0.9561429958,1.000050488
6.566473988,0.9558248833,1.000048491
6.612716763,0.9556221919,1.000046562
6.658959538,0.9555305178,1.000044697
6.705202312,0.9555453866,1.000042892
6.751445087,0.9556622667,1.000041146
6.797687861,0.9558765824,1.000039457
6.843930636,0.9561837262,1.000037823
6.89017341,0.9565790706,1.000036242
6.936416185,0.9570579798,1.000034713
6.98265896,0.9576158209,1.000033236
7.028901734,0.9582479742,1.00003181
7.075144509,0.9589498435,1.000030433
7.121387283,0.9597168654,1.000029105
7.167630058,0.960544519,1.000027826
7.213872832,0.9614283342,1.000026594
7.260115607,0.9623638996,1.000025409
7.306358382,0.9633468709,1.000024269
7.352601156,0.9643729775,1.000023175
7.398843931,0.9654380295,1.000022125
7.445086705,0.9665379241,1.000021117
7.49132948,0.967668651,1.000020152
7.537572254,0.9688262981,1.000019227
7.583815029,0.9700070564,1.000018343
7.630057803,0.971207224,1.000017496
7.676300578,0.9724232107,1.000016688
7.722543353,0.9736515412,1.000015915
7.768786127,0.9748888586,1.000015178
7.815028902,0.9761319266,1.000014474
7.861271676,0.9773776325,1.000013803
7.907514451,0.9786229888,1.000013162
7.953757225,0.9798651349,1.000012552
8,0.9811013384,1.00001197
8.046242775,0.9823289959,1.000011416
8.092485549,0.9835456336,1.000010888
8.138728324,0.9847489078,1.000010385
8.184971098,0.9859366042,1.000009907
8.231213873,0.9871066382,1.00000945
8.277456647,0.9882570539,1.000009016
8.323699422,0.9893860233,1.000008603
8.369942197,0.990491845,1.000008209
8.416184971,0.9915729428,1.000007833
8.462427746,0.9926278643,1.000007476
8.50867052,0.9936552787,1.000007136
8.554913295,0.994653975,1.000006811
8.601156069,0.9956228594,1.000006502
8.647398844,0.9965609535,1.000006208
8.693641618,0.9974673908,1.000005927
8.739884393,0.9983414148,1.000005659
8.786127168,0.9991823757,1.000005404
8.832369942,0.9999897274,1.00000516
8.878612717,1.000763025,1.000004928
8.924855491,1.001501919,1.000004707
8.971098266,1.002206157,1.000004495
9.01734104,1.002875576,1.000004293
9.063583815,1.003510099,1.000004101
9.10982659,1.004109735,1.000003917
9.156069364,1.004674571,1.000003741
9.202312139,1.005204773,1.000003574
9.248554913,1.005700577,1.000003414
9.294797688,1.006162293,1.000003261
9.341040462,1.006590291,1.000003115
9.387283237,1.006985007,1.000002975
9.433526012,1.007346936,1.000002842
9.479768786,1.007676624,1.000002714
9.526011561,1.007974672,1.000002593
9.572254335,1.008241727,1.000002476
9.61849711,1.008478481,1.000002365
9.664739884,1.008685666,1.000002259
9.710982659,1.008864051,1.000002158
9.757225434,1.009014442,1.000002061
9.803468208,1.009137671,1.000001968
9.849710983,1.009234601,1.00000188
9.895953757,1.009306119,1.000001795
9.942196532,1.009353132,1.000001714
9.988439306,1.009376565,1.000001637
10.03468208,1.00937736,1.000001563
10.08092486,1.00935647,1.000001493
10.12716763,1.00931486,1.000001426
10.1734104,1.009253499,1.000001361
10.21965318,1.009173363,1.0000013
10.26589595,1.00907543,1.000001241
10.31213873,1.008960677,1.000001185
10.3583815,1.008830079,1.000001132
10.40462428,1.008684606,1.000001081
10.45086705,1.008525222,1.000001032
10.49710983,1.008352882,1.000000985
