sample_idx,gain,re,im
1,0,-2.02200095559,0
1,0,-1.22027692096,0
1,0,0,0
1,0,0,0
2,1,-2.02200095559,0
2,1,-1.22027692096,0
2,1,0,0
2,1,0,0
3,2,-2.01872555617,0
3,2,-1.22069583687,0
3,2,-0.00142824175914,-0.064539711154
3,2,-0.00142824175914,0.064539711154
4,3,-2.01544413224,0
4,3,-1.22111782147,0
4,3,-0.00285796142213,-0.0913090670381
4,3,-0.00285796142213,0.0913090670381
5,4,-2.01215664451,0
5,4,-1.22154291708,0
5,4,-0.00428915748353,-0.111874763373
5,4,-0.00428915748353,0.111874763373
6,5,-2.00886305296,0
6,5,-1.22197116691,0
6,5,-0.0057218283389,-0.129233409257
6,5,-0.0057218283389,0.129233409257
7,6,-1.99562682376,0
7,6,-1.22371660471,0
7,6,-0.0114672240394,-0.1830586155
7,6,-0.0114672240394,0.1830586155
8,7,-1.98228954139,0
8,7,-1.22551621309,0
8,7,-0.0172360610382,-0.224567971963
8,7,-0.0172360610382,0.224567971963
9,8,-1.96884826759,0
9,8,-1.22737323917,0
9,8,-0.0230281848955,-0.259741345441
9,8,-0.0230281848955,0.259741345441
10,9,-1.95529982309,0
10,9,-1.22929123221,0
10,9,-0.0288434106311,-0.29089223543
10,9,-0.0288434106311,0.29089223543
11,10,-1.94164075301,0
11,10,-1.23127408269,0
11,10,-0.0346815204304,-0.319206096769
11,10,-0.0346815204304,0.319206096769
12,11,-1.92786728587,0
12,11,-1.23332606825,0
12,11,-0.0405422612166,-0.345386725385
12,11,-0.0405422612166,0.345386725385
13,12,-1.91397528478,0
13,12,-1.2354519076,0
13,12,-0.0464253420872,-0.369892551042
13,12,-0.0464253420872,0.369892551042
14,13,-1.899960189,0
14,13,-1.23765682434,0
14,13,-0.0523304316088,-0.393042013847
14,13,-0.0523304316088,0.393042013847
15,14,-1.8858169437,0
15,14,-1.23994662291,0
15,14,-0.0582571549716,-0.415067061443
15,14,-0.0582571549716,0.415067061443
16,15,-1.87153991484,0
16,15,-1.24232777972,0
16,15,-0.0642050909998,-0.436142934077
16,15,-0.0642050909998,0.436142934077
17,16,-1.85712278545,0
17,16,-1.24480755306,0
17,16,-0.0701737690206,-0.456405940434
17,16,-0.0701737690206,0.456405940434
18,17,-1.79789497397,0
18,17,-1.25589376625,0
18,17,-0.0942445681699,-0.531224213145
18,17,-0.0942445681699,0.531224213145
19,18,-1.73562104833,0
19,18,-1.26946807125,0
19,18,-0.11859437849,-0.599008856657
19,18,-0.11859437849,0.599008856657
20,19,-1.66899238928,0
20,19,-1.28696226629,0
20,19,-0.143161610493,-0.662188765241
20,19,-0.143161610493,0.662188765241
21,20,-1.59481540254,0
21,20,-1.31173762149,0
21,20,-0.167862426263,-0.722240576141
21,20,-0.167862426263,0.722240576141
22,21,-1.57416864743,0
22,21,-1.32001673577,0
22,21,-0.174046246676,-0.736887800212
22,21,-0.174046246676,0.736887800212
23,22,-1.55207482315,0
23,22,-1.32974364965,0
23,22,-0.180229701878,-0.751414757541
23,22,-0.180229701878,0.751414757541
24,23,-1.52780448574,0
24,23,-1.3416520169,0
24,23,-0.186410686959,-0.765832659045
24,23,-0.186410686959,0.765832659045
25,24,-1.49972703826,0
25,24,-1.35737687546,0
25,24,-0.192586981416,-0.780151849123
25,24,-0.192586981416,0.780151849123
26,25,-1.41956359239,0
26,25,-1.41956351224,0
26,25,-0.201575385961,-0.800864158356
26,25,-0.201575385961,0.800864158356
27,26,-1.41396906554,-0.0552400534989
27,26,-1.41396906554,0.0552400534989
27,26,-0.207169872741,-0.813697026693
27,26,-0.207169872741,0.813697026693
28,27,-1.40838532459,-0.0775829417665
28,27,-1.40838532459,0.0775829417665
28,27,-0.212753613684,-0.826472628435
28,27,-0.212753613684,0.826472628435
29,28,-1.40281436371,-0.0943513471445
29,28,-1.40281436371,0.0943513471445
29,28,-0.218324574567,-0.83919648079
29,28,-0.218324574567,0.83919648079
30,29,-1.3972582888,-0.108166360368
30,29,-1.3972582888,0.108166360368
30,29,-0.223880649475,-0.851873708923
30,29,-0.223880649475,0.851873708923
31,30,-1.37522726385,-0.148416753168
31,30,-1.37522726385,0.148416753168
31,30,-0.245911674431,-0.902206170807
31,30,-0.245911674431,0.902206170807
32,31,-1.35361853929,-0.175953987312
32,31,-1.35361853929,0.175953987312
32,31,-0.267520398987,-0.95211178878
32,31,-0.267520398987,0.95211178878
33,32,-1.33258983203,-0.196222103151
33,32,-1.33258983203,0.196222103151
33,32,-0.288549106245,-1.0017609023
33,32,-0.288549106245,1.0017609023
34,33,-1.31031234066,-0.212711048004
34,33,-1.31031234066,0.212711048004
34,33,-0.310826597621,-1.05620555989
34,33,-0.310826597621,1.05620555989
35,34,-1.28912302041,-0.224624926613
35,34,-1.28912302041,0.224624926613
35,34,-0.332015917868,-1.11050157293
35,34,-0.332015917868,1.11050157293
36,35,-1.2691829696,-0.232977059934
36,35,-1.2691829696,0.232977059934
36,35,-0.351955968676,-1.16461593337
36,35,-0.351955968676,1.16461593337
37,36,-1.25060553396,-0.23851143259
37,36,-1.25060553396,0.23851143259
37,36,-0.370533404314,-1.2184598759
37,36,-0.370533404314,1.2184598759
38,37,-1.23344956401,-0.241818379461
38,37,-1.23344956401,0.241818379461
38,37,-0.387689374267,-1.27191214926
38,37,-0.387689374267,1.27191214926
39,38,-1.21772084888,-0.24338201393
39,38,-1.21772084888,0.24338201393
39,38,-0.403418089395,-1.32484111538
39,38,-0.403418089395,1.32484111538
40,39,-1.20338013721,-0.243601277779
40,39,-1.20338013721,0.243601277779
40,39,-0.417758801068,-1.37712234455
40,39,-0.417758801068,1.37712234455
41,40,-1.1903547389,-0.242801737727
41,40,-1.1903547389,0.242801737727
41,40,-0.430784199382,-1.42865003053
41,40,-0.430784199382,1.42865003053
42,41,-1.17855069819,-0.24124497894
42,41,-1.17855069819,0.24124497894
