t,psi_ref,psi,psi_meas,x,y,cmd,delta
2.95,0.010906443,0.00065472839,2.071768e-07,9.44,2.8892096e-05,0.021792628,0.011089908
3,0.011082269,0.00068715623,4.129713e-07,9.6,3.0810998e-05,0.022130784,0.011319926
3.05,0.011260927,0.00072063543,7.2031523e-07,9.76,3.2823392e-05,0.022471239,0.011552245
3.1,0.011442464,0.00075518383,1.1487438e-06,9.92,3.4932263e-05,0.022814083,0.011786867
3.15,0.011626927,0.00079081938,1.7175565e-06,10.08,3.7140647e-05,0.023159409,0.012023795
3.2,0.011814362,0.00082756014,2.4458257e-06,10.24,3.9451631e-05,0.023507309,0.012263034
3.25,0.012004816,0.00086542429,3.3524068e-06,10.4,4.1868352e-05,0.023857875,0.012504594
3.3,0.01219834,0.00090443009,4.4559462e-06,10.56,4.4393997e-05,0.024211202,0.012748481
3.35,0.012394982,0.00094459595,5.7748909e-06,10.72,4.7031806e-05,0.024567382,0.012994708
3.4,0.012594791,0.00098594035,7.3274967e-06,10.88,4.9785071e-05,0.024926511,0.013243288
3.45,0.01279782,0.0010284819,9.1318374e-06,11.04,5.2657134e-05,0.025288683,0.013494233
3.5,0.013004121,0.0010722393,1.1205813e-05,11.2,5.5651391e-05,0.025653994,0.013747562
3.55,0.013213744,0.0011172314,1.3567157e-05,11.36,5.877129e-05,0.02602254,0.01400329
3.6,0.013426746,0.0011634771,1.6233447e-05,11.52,6.2020331e-05,0.026394418,0.014261439
3.65,0.013643178,0.0012109956,1.9222111e-05,11.68,6.5402069e-05,0.026769726,0.014522028
3.7,0.013863098,0.0012598058,2.2550436e-05,11.84,6.892011e-05,0.027148562,0.014785081
3.75,0.01408656,0.0013099272,2.6235577e-05,12,7.2578117e-05,0.027531026,0.015050622
3.8,0.014313622,0.0013613792,3.0294563e-05,12.16,7.6379805e-05,0.027917217,0.015318676
3.85,0.014544342,0.0014141812,3.4744304e-05,12.32,8.0328944e-05,0.028307237,0.015589271
3.9,0.014778779,0.001468353,3.9601603e-05,12.48,8.4429359e-05,0.028701186,0.015862436
3.95,0.015016992,0.0015239143,4.488316e-05,12.64,8.8684931e-05,0.029099168,0.016138201
4,0.015259042,0.001580885,5.060558e-05,12.8,9.3099594e-05,0.029501286,0.016416598
4.05,0.015504991,0.0016392851,5.6785381e-05,12.96,9.7677342e-05,0.029907644,0.016697662
4.1,0.015754902,0.0016991349,6.3439001e-05,13.12,0.00010242222,0.030318347,0.016981426
4.15,0.016008839,0.0017604546,7.0582805e-05,13.28,0.00010733834,0.030733503,0.017267928
4.2,0.016266865,0.0018232647,7.8233094e-05,13.44,0.00011242985,0.031153218,0.017557205
4.25,0.016529048,0.0018875858,8.6406109e-05,13.6,0.00011770099,0.0315776,0.017849296
4.3,0.016795453,0.0019534386,9.5118041e-05,13.76,0.00012315602,0.03200676,0.018144243
4.35,0.017066149,0.0020208441,0.00010438504,13.92,0.00012879928,0.032440808,0.018442088
4.4,0.017341204,0.0020898232,0.0001142232,14.08,0.00013463517,0.032879855,0.018742875
4.45,0.01762069,0.0021603972,0.00012464862,14.24,0.00014066813,0.033324015,0.019046649
4.5,0.017904676,0.0022325875,0.00013567735,14.4,0.00014690269,0.033773402,0.019353456
4.55,0.018193236,0.0023064156,0.00014732541,14.56,0.00015334342,0.034228131,0.019663345
4.6,0.018486443,0.0023819031,0.00015960885,14.72,0.00015999495,0.034688318,0.019976366
4.65,0.018784372,0.0024590721,0.00017254369,14.88,0.00016686197,0.035154083,0.020292568
4.7,0.019087098,0.0025379445,0.00018614595,15.04,0.00017394925,0.035625543,0.020612005
4.75,0.019394699,0.0026185427,0.00020043167,15.2,0.0001812616,0.03610282,0.02093473
