t,r,y,ym,yf,feedback,e,u,delta
1.24,0.15,0.14300232,0.18142551,0.1150639,0.1150639,0.034936103,0.075112622,0.1295636
1.26,0.15,0.14276625,0.19509452,0.1179741,0.1179741,0.032025899,0.068855683,0.12470696
1.28,0.15,0.14247552,0.1186887,0.11800009,0.11800009,0.031999914,0.068799814,0.12023439
1.3,0.15,0.14213356,0.14133166,0.11884851,0.11884851,0.031151493,0.066975709,0.1159737
1.32,0.15,0.14174923,0.071843313,0.11713923,0.11713923,0.032860772,0.070650661,0.11234785
1.34,0.15,0.14131925,0.21082286,0.12054591,0.12054591,0.029454095,0.063326304,0.10842613
1.36,0.15,0.14084687,0.13795161,0.12117884,0.12117884,0.02882116,0.061965495,0.10470928
1.38,0.15,0.14033651,0.12041383,0.12115102,0.12115102,0.028848979,0.062025304,0.10129456
1.4,0.15,0.1397912,0.13372374,0.12160821,0.12160821,0.028391789,0.061042347,0.098074385
1.42,0.15,0.13920348,0.26048736,0.12665836,0.12665836,0.023341638,0.050184523,0.094243196
1.44,0.15,0.13856942,0.23127779,0.1304627,0.1304627,0.019537296,0.042005186,0.090064155
1.46,0.15,0.13789166,0.15871409,0.13149003,0.13149003,0.018509973,0.039796441,0.086042738
1.48,0.15,0.13717872,0.084148348,0.12976851,0.12976851,0.020231488,0.0434977,0.082639135
1.5,0.15,0.13643057,0.17950687,0.13157718,0.13157718,0.018422821,0.039609065,0.079196729
1.52,0.15,0.13565597,0.072569869,0.12943146,0.12943146,0.020568541,0.044222363,0.07639878
1.54,0.15,0.13486093,0.094934897,0.12817704,0.12817704,0.021822962,0.046919367,0.074040427
1.56,0.15,0.13405353,0.061458922,0.12575093,0.12575093,0.024249075,0.052135511,0.072288034
1.58,0.15,0.13323446,0.14180577,0.12633474,0.12633474,0.023665262,0.050880314,0.070575416
1.6,0.15,0.13240877,0.087402933,0.12491904,0.12491904,0.025080964,0.053924073,0.069243309
1.62,0.15,0.13157584,0.15070043,0.12585654,0.12585654,0.024143459,0.051908437,0.067856519
1.64,0.15,0.13073908,0.10243051,0.12500469,0.12500469,0.024995315,0.053739927,0.066727192
1.66,0.15,0.12990031,0.11763081,0.12473654,0.12473654,0.025263456,0.054316429,0.065734331
1.68,0.15,0.12905531,0.18998455,0.1271092,0.1271092,0.022890801,0.049215222,0.064412802
1.7,0.15,0.12820624,0.11826224,0.12678749,0.12678749,0.023212509,0.049906893,0.063252329
1.72,0.15,0.12735426,0.12789019,0.12682759,0.12682759,0.023172411,0.049820683,0.062177797
1.74,0.15,0.12649922,0.14289997,0.12741204,0.12741204,0.02258796,0.048564114,0.061088703
1.76,0.15,0.12563561,0.21016981,0.13042141,0.13042141,0.019578587,0.042093962,0.059569124
