t,delta,psi,x,y,R,delta_needed
12.78,18,19.524177,50.425206,6.20214,65,27.613028
12.84,18,19.655588,50.651222,6.2828677,65,27.613028
12.9,18,19.786999,50.877052,6.3641135,65,27.613028
12.96,18,19.918409,51.102694,6.4458771,65,27.613028
13.02,18,20.04982,51.328149,6.528158,65,27.613028
13.08,18,20.181231,51.553415,6.6109558,65,27.613028
13.14,18,20.312642,51.77849,6.69427,65,27.613028
13.2,18,20.444052,52.003373,6.7781002,65,27.613028
13.26,18,20.575463,52.228063,6.862446,65,27.613028
13.32,18,20.706874,52.45256,6.9473069,65,27.613028
13.38,18,20.838285,52.676861,7.0326825,65,27.613028
13.44,18,20.969696,52.900966,7.1185723,65,27.613028
13.5,18,21.101106,53.124873,7.2049758,65,27.613028
13.56,18,21.232517,53.348581,7.2918927,65,27.613028
13.62,18,21.363928,53.57209,7.3793224,65,27.613028
13.68,18,21.495339,53.795397,7.4672646,65,27.613028
13.74,18,21.626749,54.018502,7.5557186,65,27.613028
13.8,18,21.75816,54.241404,7.6446841,65,27.613028
13.86,18,21.889571,54.464101,7.7341607,65,27.613028
13.92,18,22.020982,54.686592,7.8241477,65,27.613028
13.98,18,22.152393,54.908876,7.9146449,65,27.613028
14.04,18,22.283803,55.130952,8.0056516,65,27.613028
14.1,18,22.415214,55.352819,8.0971674,65,27.613028
14.16,18,22.546625,55.574475,8.1891918,65,27.613028
14.22,18,22.678036,55.79592,8.2817244,65,27.613028
14.28,18,22.809446,56.017152,8.3747646,65,27.613028
14.34,18,22.940857,56.23817,8.468312,65,27.613028
14.4,18,23.072268,56.458972,8.562366,65,27.613028
14.46,18,23.203679,56.679559,8.6569262,65,27.613028
14.52,18,23.33509,56.899928,8.7519921,65,27.613028
14.58,18,23.4665,57.120078,8.8475632,65,27.613028
14.64,18,23.597911,57.340009,8.943639,65,27.613028
14.7,18,23.729322,57.559718,9.0402189,65,27.613028
14.76,18,23.860733,57.779206,9.1373025,65,27.613028
14.82,18,23.992143,57.99847,9.2348892,65,27.613028
14.88,18,24.123554,58.21751,9.3329786,65,27.613028
14.94,18,24.254965,58.436324,9.43157,65,27.613028
15,18,24.386376,58.654912,9.5306631,65,27.613028
15.06,18,24.517787,58.873272,9.6302573,65,27.613028
15.12,18,24.649197,59.091403,9.730352,65,27.613028
15.18,18,24.780608,59.309303,9.8309468,65,27.613028
15.24,18,24.912019,59.526973,9.932041,65,27.613028
15.3,18,25.04343,59.744409,10.033634,65,27.613028
15.36,18,25.174841,59.961613,10.135726,65,27.613028
15.42,18,25.306251,60.178581,10.238315,65,27.613028
15.48,18,25.437662,60.395314,10.341402,65,27.613028
15.54,18,25.569073,60.61181,10.444986,65,27.613028
15.6,18,25.700484,60.828068,10.549066,65,27.613028
15.66,18,25.831894,61.044086,10.653642,65,27.613028
15.72,18,25.963305,61.259864,10.758713,65,27.613028
15.78,18,26.094716,61.4754,10.864278,65,27.613028
15.84,18,26.226127,61.690694,10.970338,65,27.613028
15.9,18,26.357538,61.905744,11.076891,65,27.613028
15.96,18,26.488948,62.120549,11.183937,65,27.613028
16.02,18,26.620359,62.335107,11.291475,65,27.613028
16.08,18,26.75177,62.549419,11.399506,65,27.613028
16.14,18,26.883181,62.763482,11.508027,65,27.613028
16.2,18,27.014591,62.977296,11.617039,65,27.613028
16.26,18,27.146002,63.190859,11.726542,65,27.613028
16.32,18,27.277413,63.404171,11.836533,65,27.613028
16.38,18,27.408824,63.617229,11.947014,65,27.613028
16.44,18,27.540235,63.830034,12.057983,65,27.613028
16.5,18,27.671645,64.042584,12.16944,65,27.613028
