t,x,y,psi_ref,u,delta
6.96,31.32,0.069293913,0.19802587,0.26624686,0.26624686
7.04,31.68,0.070549293,0.20160427,0.2707238,0.2707238
7.12,32.04,0.071827357,0.20524699,0.27529042,0.27529042
7.2,32.4,0.073128513,0.20895518,0.27994799,0.27994799
7.28,32.76,0.074453177,0.21273,0.28469785,0.28469785
7.36,33.12,0.07580177,0.21657264,0.28954135,0.28954135
7.44,33.48,0.077174722,0.22048429,0.29447986,0.29447986
7.52,33.84,0.078572471,0.22446619,0.29951481,0.29951481
7.6,34.2,0.079995462,0.22851959,0.30464765,0.30464765
7.68,34.56,0.081444148,0.23264574,0.30987984,0.30987984
7.76,34.92,0.08291899,0.23684595,0.3152129,0.3152129
7.84,35.28,0.084420459,0.24112151,0.32064837,0.32064837
7.92,35.64,0.085949031,0.24547378,0.32618783,0.32618783
8,36,0.087505192,0.2499041,0.33183288,0.33183288
8.08,36.36,0.089089438,0.25441386,0.33758516,0.33758516
8.16,36.72,0.090702272,0.25900446,0.34344634,0.34344634
8.24,37.08,0.092344206,0.26367734,0.34941814,0.34941814
8.32,37.44,0.094015762,0.26843394,0.3555023,0.3555023
8.4,37.8,0.095717471,0.27327574,0.36170058,0.36170058
8.48,38.16,0.097449873,0.27820426,0.36801481,0.36801481
8.56,38.52,0.099213517,0.28322101,0.37444682,0.37444682
8.64,38.88,0.10100896,0.28832756,0.3809985,0.3809985
8.72,39.24,0.10283678,0.29352549,0.38767176,0.38767176
8.8,39.6,0.10469754,0.29881641,0.39446856,0.39446856
8.88,39.96,0.10659185,0.30420195,0.40139089,0.40139089
8.96,40.32,0.10852029,0.30968378,0.40844078,0.40844078
9.04,40.68,0.11048349,0.3152636,0.41562029,0.41562029
9.12,41.04,0.11248205,0.32094312,0.42293152,0.42293152
9.2,41.4,0.11451662,0.3267241,0.43037662,0.43037662
9.28,41.76,0.11658783,0.33260832,0.43795776,0.43795776
9.36,42.12,0.11869635,0.33859759,0.44567716,0.44567716
9.44,42.48,0.12084283,0.34469375,0.45353708,0.45353708
9.52,42.84,0.12302795,0.35089867,0.46153982,0.46153982
9.6,43.2,0.1252524,0.35721426,0.46968772,0.46968772
9.68,43.56,0.12751689,0.36364245,0.47798316,0.47798316
9.76,43.92,0.12982213,0.37018521,0.48642856,0.48642856
9.84,44.28,0.13216884,0.37684455,0.49502638,0.49502638
9.92,44.64,0.13455777,0.3836225,0.50377913,0.50377913
10,45,0.13698966,0.39052113,0.51268935,0.51268935
10.08,45.36,0.13946528,0.39754253,0.52175964,0.52175964
10.16,45.72,0.14198541,0.40468886,0.53099264,0.53099264
10.24,46.08,0.14455083,0.41196228,0.54039101,0.54039101
10.32,46.44,0.14716237,0.41936501,0.5499575,0.5499575
10.4,46.8,0.14982082,0.42689929,0.55969486,0.55969486
10.48,47.16,0.15252704,0.43456741,0.56960591,0.56960591
10.56,47.52,0.15528186,0.44237168,0.57969351,0.57969351
10.64,47.88,0.15808616,0.45031447,0.58996058,0.58996058
10.72,48.24,0.1609408,0.45839817,0.60041007,0.60041007
10.8,48.6,0.16384668,0.46662523,0.61104497,0.61104497
10.88,48.96,0.16680471,0.47499812,0.62186835,0.62186835
10.96,49.32,0.16981582,0.48351936,0.6328833,0.6328833
11.04,49.68,0.17288094,0.49219151,0.64409297,0.64409297
11.12,50.04,0.17600103,0.50101718,0.65550057,0.65550057
11.2,50.4,0.17917707,0.50999899,0.66710933,0.66710933
11.28,50.76,0.18241004,0.51913965,0.67892257,0.67892257
11.36,51.12,0.18570095,0.52844187,0.69094363,0.69094363
11.44,51.48,0.18905082,0.53790844,0.70317592,0.70317592
11.52,51.84,0.1924607,0.54754216,0.7156229,0.7156229
11.6,52.2,0.19593165,0.55734591,0.72828807,0.72828807
11.68,52.56,0.19946474,0.5673226,0.74117499,0.74117499
11.76,52.92,0.20306107,0.57747517,0.75428728,0.75428728
11.84,53.28,0.20672175,0.58780663,0.76762862,0.76762862
11.92,53.64,0.21044792,0.59832003,0.78120272,0.78120272
12,54,0.21424074,0.60901847,0.79501337,0.79501337
12.08,54.36,0.21810136,0.61990509,0.8090644,0.8090644
12.16,54.72,0.222031,0.6309831,0.82335971,0.82335971
12.24,55.08,0.22603085,0.64225573,0.83790325,0.83790325
12.32,55.44,0.23010216,0.65372629,0.85269901,0.85269901
12.4,55.8,0.23424618,0.66539813,0.86775107,0.86775107
12.48,56.16,0.23846418,0.67727464,0.88306355,0.88306355
12.56,56.52,0.24275746,0.68935928,0.89864063,0.89864063
12.64,56.88,0.24712734,0.70165555,0.91448654,0.91448654
12.72,57.24,0.25157516,0.71416702,0.93060559,0.93060559
12.8,57.6,0.25610229,0.72689731,0.94700213,0.94700213
12.88,57.96,0.26071011,0.73985007,0.96368058,0.96368058
12.96,58.32,0.26540004,0.75302904,0.98064542,0.98064542
13.04,58.68,0.2701735,0.766438,0.9979012,0.9979012
13.12,59.04,0.27503196,0.7800808,1.0154525,1.0154525
13.2,59.4,0.27997689,0.79396132,1.033304,1.033304
13.28,59.76,0.28500981,0.80808352,1.0514604,1.0514604
13.36,60.12,0.29013224,0.82245143,1.0699265,1.0699265
13.44,60.48,0.29534575,0.8370691,1.0887071,1.0887071
13.52,60.84,0.30065191,0.85194068,1.1078073,1.1078073
13.6,61.2,0.30605234,0.86707037,1.1272318,1.1272318
13.68,61.56,0.31154867,0.88246241,1.1469858,1.1469858
13.76,61.92,0.31714256,0.89812113,1.1670743,1.1670743
13.84,62.28,0.32283572,0.91405091,1.1875026,1.1875026
13.92,62.64,0.32862984,0.9302562,1.2082758,1.2082758
14,63,0.33452669,0.94674149,1.2293993,1.2293993
14.08,63.36,0.34052803,0.96351137,1.2508783,1.2508783
14.16,63.72,0.34663567,0.98057047,1.2727183,1.2727183
14.24,64.08,0.35285144,0.9979235,1.2949248,1.2949248
14.32,64.44,0.35917721,1.0155752,1.3175033,1.3175033
14.4,64.8,0.36561487,1.0335305,1.3404593,1.3404593
14.48,65.16,0.37216635,1.0517941,1.3637987,1.3637987
14.56,65.52,0.37883359,1.0703712,1.387527,1.387527
14.64,65.88,0.3856186,1.0892667,1.4116502,1.4116502
14.72,66.24,0.39252337,1.1084858,1.4361739,1.4361739
14.8,66.6,0.39954998,1.1280336,1.4611042,1.4611042
14.88,66.96,0.40670049,1.1479154,1.4864471,1.4864471
14.96,67.32,0.41397704,1.1681364,1.5122084,1.5122084
15.04,67.68,0.42138176,1.1887021,1.5383944,1.5383944
15.12,68.04,0.42891685,1.2096179,1.5650112,1.5650112
15.2,68.4,0.43658453,1.2308894,1.592065,1.592065
15.28,68.76,0.44438704,1.2525221,1.619562,1.619562
15.36,69.12,0.45232669,1.2745217,1.6475087,1.6475087
15.44,69.48,0.4604058,1.2968939,1.6759113,1.6759113
15.52,69.84,0.46862673,1.3196447,1.7047763,1.7047763
15.6,70.2,0.47699188,1.3427798,1.7341102,1.7341102
15.68,70.56,0.48550368,1.3663051,1.7639195,1.7639195
15.76,70.92,0.49416463,1.3902269,1.7942108,1.7942108
15.84,71.28,0.50297722,1.414551,1.8249909,1.8249909
15.92,71.64,0.51194401,1.4392838,1.8562663,1.8562663
16,72,0.5210676,1.4644314,1.8880437,1.8880437
16.08,72.36,0.53035061,1.4900003,1.9203301,1.9203301
16.16,72.72,0.53979572,1.5159966,1.9531322,1.9531322
16.24,73.08,0.54940563,1.5424271,1.986457,1.986457
16.32,73.44,0.55918311,1.5692981,2.0203112,2.0203112
16.4,73.8,0.56913095,1.5966163,2.0547018,2.0547018
16.48,74.16,0.57925198,1.6243884,2.089636,2.089636
16.56,74.52,0.58954908,1.6526211,2.1251206,2.1251206
16.64,74.88,0.60002519,1.6813213,2.1611627,2.1611627
16.72,75.24,0.61068326,1.7104958,2.1977694,2.1977694
16.8,75.6,0.6215263,1.7401517,2.2349479,2.2349479
16.88,75.96,0.63255737,1.7702959,2.2727052,2.2727052
16.96,76.32,0.64377958,1.8009356,2.3110485,2.3110485
17.04,76.68,0.65519605,1.832078,2.349985,2.349985
17.12,77.04,0.66681,1.8637302,2.3895219,2.3895219
17.2,77.4,0.67862464,1.8958996,2.4296663,2.4296663
17.28,77.76,0.69064327,1.9285937,2.4704255,2.4704255
17.36,78.12,0.70286922,1.9618198,2.5118067,2.5118067
17.44,78.48,0.71530587,1.9955854,2.5538171,2.5538171
17.52,78.84,0.72795663,2.0298981,2.5964639,2.5964639
17.6,79.2,0.740825,2.0647656,2.6397543,2.6397543
17.68,79.56,0.75391448,2.1001956,2.6836954,2.6836954
17.76,79.92,0.76722866,2.1361958,2.7282946,2.7282946
17.84,80.28,0.78077115,2.172774,2.7735588,2.7735588
17.92,80.64,0.79454564,2.2099381,2.8194952,2.8194952
18,81,0.80855584,2.247696,2.8661109,2.8661109
18.08,81.36,0.82280552,2.2860558,2.9134129,2.9134129
18.16,81.72,0.83729851,2.3250254,2.9614083,2.9614083
18.24,82.08,0.8520387,2.3646129,3.0101039,3.0101039
18.32,82.44,0.86703,2.4048265,3.0595068,3.0595068
18.4,82.8,0.8822764,2.4456743,3.1096237,3.1096237
18.48,83.16,0.89778193,2.4871645,3.1604613,3.1604613
18.56,83.52,0.91355067,2.5293055,3.2120265,3.2120265
18.64,83.88,0.92958678,2.5721055,3.2643257,3.2643257
18.72,84.24,0.94589443,2.6155728,3.3173655,3.3173655
18.8,84.6,0.96247789,2.6597158,3.3711524,3.3711524
18.88,84.96,0.97934144,2.7045429,3.4256925,3.4256925
18.96,85.32,0.99648944,2.7500625,3.4809922,3.4809922
19.04,85.68,1.0139263,2.7962831,3.5370575,3.5370575
19.12,86.04,1.0316565,2.8432131,3.5938943,3.5938943
19.2,86.4,1.0496845,2.8908609,3.6515085,3.6515085
