t,delta,psi,x,y,R,delta_needed
0,0,0,0,0,35,44.169685
0.06,0.6,0.0042354489,0.24,1.7741407e-05,35,44.169685
0.12,0.68685379,0.0090840609,0.48,5.5792632e-05,35,44.169685
0.18,0.72220435,0.014182244,0.71999999,0.00011519908,35,44.169685
0.24,0.75934254,0.019542623,0.95999998,0.00019705902,35,44.169685
0.3,0.79835542,0.025178438,1.2,0.00030252621,35,44.169685
0.36,0.8393339,0.031103571,1.4399999,0.00043281254,35,44.169685
0.42,0.88237297,0.037332579,1.6799999,0.00058919087,35,44.169685
0.48,0.92757173,0.043880716,1.9199998,0.00077299796,35,44.169685
0.54,0.97503361,0.050763971,2.1599997,0.00098563756,35,44.169685
0.6,1.0248665,0.057999094,2.3999996,0.0012285836,35,44.169685
0.66,1.0771827,0.065603632,2.6399994,0.0015033833,35,44.169685
0.72,1.1320994,0.073595963,2.8799992,0.0018116613,35,44.169685
0.78,1.1897386,0.081995325,3.119999,0.0021551224,35,44.169685
0.84,1.2502272,0.090821859,3.3599987,0.002535556,35,44.169685
0.9,1.3136971,0.10009664,3.5999983,0.0029548396,35,44.169685
0.96,1.3802855,0.10984172,3.8399979,0.0034149432,35,44.169685
1.02,1.450135,0.12008015,4.0799973,0.0039179334,35,44.169685
1.08,1.5233933,0.13083605,4.3199967,0.0044659777,35,44.169685
1.14,1.600214,0.14213462,4.559996,0.0050613492,35,44.169685
1.2,1.6807557,0.15400218,4.7999951,0.0057064312,35,44.169685
1.26,1.7651833,0.16646624,5.0399941,0.0064037224,35,44.169685
1.32,1.8536667,0.17955551,5.2799929,0.0071558415,35,44.169685
1.38,1.946382,0.19329997,5.5199916,0.007965533,35,44.169685
1.44,2.0435107,0.20773087,5.75999,0.0088356721,35,44.169685
1.5,2.1452401,0.22288082,5.9999882,0.0097692707,35,44.169685
1.56,2.251763,0.2387838,6.2399861,0.010769483,35,44.169685
1.62,2.3632779,0.25547523,6.4799837,0.011839612,35,44.169685
1.68,2.4799887,0.27299198,6.719981,0.012983113,35,44.169685
1.74,2.6021045,0.29137241,6.9599779,0.014203606,35,44.169685
1.8,2.7298396,0.31065646,7.1999743,0.015504874,35,44.169685
1.86,2.8634132,0.33088563,7.4399703,0.016890877,35,44.169685
1.92,3.003049,0.35210306,7.6799658,0.018365754,35,44.169685
1.98,3.1489751,0.37435353,7.9199607,0.019933831,35,44.169685
2.04,3.3014235,0.39768352,8.1599549,0.021599631,35,44.169685
2.1,3.4606296,0.42214124,8.3999484,0.023367876,35,44.169685
2.16,3.6268319,0.44777666,8.6399411,0.025243499,35,44.169685
2.22,3.8002711,0.47464151,8.8799328,0.02723165,35,44.169685
