t,delta,psi,x,y,R,delta_needed
0,0,0,0,0,140,13.650419
0.06,0.20187051,0.0014249742,0.24,5.9689181e-06,140,13.650419
0.12,0.21226871,0.0029233485,0.48,1.8214212e-05,140,13.650419
0.18,0.22319363,0.0044988409,0.72,3.7058912e-05,140,13.650419
0.24,0.234671,0.0061553513,0.96,6.2842387e-05,140,13.650419
0.3,0.24672773,0.0078969696,1.2,9.5921136e-05,140,13.650419
0.36,0.25939193,0.0097279839,1.44,0.00013666962,140,13.650419
0.42,0.27269293,0.01165289,1.68,0.00018548113,140,13.650419
0.48,0.28666139,0.013676399,1.92,0.00024276869,140,13.650419
0.54,0.30132924,0.015803448,2.16,0.00030896602,140,13.650419
0.6,0.31672983,0.018039211,2.4,0.00038452849,140,13.650419
0.66,0.3328979,0.020389105,2.6399999,0.00046993417,140,13.650419
0.72,0.34986964,0.022858804,2.8799999,0.00056568491,140,13.650419
0.78,0.36768274,0.025454247,3.1199999,0.0006723074,140,13.650419
0.84,0.38637643,0.028181651,3.3599999,0.00079035442,140,13.650419
0.9,0.40599149,0.031047522,3.5999998,0.00092040597,140,13.650419
0.96,0.42657031,0.034058662,3.8399998,0.0010630706,140,13.650419
1.02,0.44815694,0.037222187,4.0799997,0.0012189865,140,13.650419
1.08,0.47079706,0.040545535,4.3199997,0.0013888232,140,13.650419
1.14,0.49453809,0.044036479,4.5599996,0.0015732828,140,13.650419
1.2,0.51942912,0.047703138,4.7999995,0.0017731012,140,13.650419
1.26,0.54552102,0.051553991,5.0399994,0.00198905,140,13.650419
1.32,0.57286639,0.055597888,5.2799993,0.0022219378,140,13.650419
1.38,0.60151958,0.059844065,5.5199992,0.002472612,140,13.650419
1.44,0.63153671,0.064302152,5.759999,0.0027419602,140,13.650419
1.5,0.66297566,0.068982189,5.9999989,0.003030912,140,13.650419
1.56,0.69589604,0.073894638,6.2399987,0.0033404411,140,13.650419
1.62,0.73035916,0.079050393,6.4799984,0.0036715665,140,13.650419
1.68,0.76642804,0.084460796,6.7199982,0.0040253549,140,13.650419
1.74,0.80416732,0.090137644,6.9599979,0.0044029225,140,13.650419
1.8,0.84364322,0.096093203,7.1999975,0.0048054365,140,13.650419
1.86,0.88492346,0.10234022,7.4399972,0.005234118,140,13.650419
1.92,0.92807721,0.10889192,7.6799967,0.0056902432,140,13.650419
1.98,0.97317495,0.11576206,7.9199962,0.0061751458,140,13.650419
2.04,1.0202884,0.12296485,8.1599957,0.0066902194,140,13.650419
2.1,1.0694902,0.13051507,8.3999951,0.0072369192,140,13.650419
2.16,1.1208542,0.13842799,8.6399944,0.0078167644,140,13.650419
2.22,1.1744547,0.14671942,8.8799936,0.0084313406,140,13.650419
2.28,1.2303667,0.1554057,9.1199927,0.0090823017,140,13.650419
