-2.2,-1,-1.65,-1,-1,-1
-2.1945,-1,-1.6445,-1,-1,-1
-2.189,-1,-1.639,-1,-1,-1
-2.1835,-1,-1.6335,-1,-1,-1
-2.178,-1,-1.628,-1,-1,-1
-2.1725,-1,-1.6225,-1,-1,-1
-2.167,-1,-1.617,-1,-1,-1
-2.1615,-1,-1.6115,-1,-1,-1
-2.156,-1,-1.606,-1,-1,-1
-2.1505,-1,-1.6005,-1,-1,-1
-2.145,-1,-1.595,-1,-1,-1
-2.1395,-1,-1.5895,-1,-1,-1
-2.134,-1,-1.584,-1,-1,-1
-2.1285,-1,-1.5785,-1,-1,-1
-2.123,-1,-1.573,-1,-1,-1
-2.1175,-1,-1.5675,-1,-1,-1
-2.112,-1,-1.562,-1,-1,-1
-2.1065,-1,-1.5565,-1,-1,-1
-2.101,-1,-1.551,-1,-1,-1
-2.0955,-1,-1.5455,-1,-1,-1
-2.09,-1,-1.54,-1,-1,-1
-2.0845,-1,-1.5345,-1,-1,-1
-2.079,-1,-1.529,-1,-1,-1
-2.0735,-1,-1.5235,-1,-1,-1
-2.068,-1,-1.518,-1,-1,-1
-2.0625,-1,-1.5125,-1,-1,-1
-2.057,-1,-1.507,-1,-1,-1
-2.0515,-1,-1.5015,-1,-1,-1
-2.046,-1,-1.496,-1,-1,-1
-2.0405,-1,-1.4905,-1,-1,-1
-2.035,-1,-1.485,-1,-1,-1
-2.0295,-1,-1.4795,-1,-1,-1
-2.024,-1,-1.474,-1,-1,-1
-2.0185,-1,-1.4685,-1,-1,-1
-2.013,-1,-1.463,-1,-1,-1
-2.0075,-1,-1.4575,-1,-1,-1
-2.002,-1,-1.452,-1,-1,-1
-1.9965,-1,-1.4465,-1,-1,-1
-1.991,-1,-1.441,-1,-1,-1
-1.9855,-1,-1.4355,-1,-1,-1
-1.98,-1,-1.43,-1,-1,-1
-1.9745,-1,-1.4245,-1,-1,-1
-1.969,-1,-1.419,-1,-1,-1
-1.9635,-1,-1.4135,-1,-1,-1
-1.958,-1,-1.408,-1,-1,-1
-1.9525,-1,-1.4025,-1,-1,-1
-1.947,-1,-1.397,-1,-1,-1
-1.9415,-1,-1.3915,-1,-1,-1
-1.936,-1,-1.386,-1,-1,-1
-1.9305,-1,-1.3805,-1,-1,-1
-1.925,-1,-1.375,-1,-1,-1
-1.9195,-1,-1.3695,-1,-1,-1
-1.914,-1,-1.364,-1,-1,-1
-1.9085,-1,-1.3585,-1,-1,-1
-1.903,-1,-1.353,-1,-1,-1
-1.8975,-1,-1.3475,-1,-1,-1
-1.892,-1,-1.342,-1,-1,-1
-1.8865,-1,-1.3365,-1,-1,-1
-1.881,-1,-1.331,-1,-1,-1
-1.8755,-1,-1.3255,-1,-1,-1
-1.87,-1,-1.32,-1,-1,-1
-1.8645,-1,-1.3145,-1,-1,-1
-1.859,-1,-1.309,-1,-1,-1
-1.8535,-1,-1.3035,-1,-1,-1
-1.848,-1,-1.298,-1,-1,-1
-1.8425,-1,-1.2925,-1,-1,-1
-1.837,-1,-1.287,-1,-1,-1
-1.8315,-1,-1.2815,-1,-1,-1
-1.826,-1,-1.276,-1,-1,-1
-1.8205,-1,-1.2705,-1,-1,-1
-1.815,-1,-1.265,-1,-1,-1
-1.8095,-1,-1.2595,-1,-1,-1
-1.804,-1,-1.254,-1,-1,-1
-1.7985,-1,-1.2485,-1,-1,-1
-1.793,-1,-1.243,-1,-1,-1
-1.7875,-1,-1.2375,-1,-1,-1
-1.782,-1,-1.232,-1,-1,-1
-1.7765,-1,-1.2265,-1,-1,-1
-1.771,-1,-1.221,-1,-1,-1
-1.7655,-1,-1.2155,-1,-1,-1
-1.76,-1,-1.21,-1,-1,-1
-1.7545,-1,-1.2045,-1,-1,-1
-1.749,-1,-1.199,-1,-1,-1
-1.7435,-1,-1.1935,-1,-1,-1
-1.738,-1,-1.188,-1,-1,-1
-1.7325,-1,-1.1825,-1,-1,-1
-1.727,-1,-1.177,-1,-1,-1
-1.7215,-1,-1.1715,-1,-1,-1
-1.716,-1,-1.166,-1,-1,-1
-1.7105,-1,-1.1605,-1,-1,-1
-1.705,-1,-1.155,-1,-1,-1
-1.6995,-1,-1.1495,-1,-1,-1
-1.694,-1,-1.144,-1,-1,-1
-1.6885,-1,-1.1385,-1,-1,-1
-1.683,-1,-1.133,-1,-1,-1
-1.6775,-1,-1.1275,-1,-1,-1
-1.672,-1,-1.122,-1,-1,-1
-1.6665,-1,-1.1165,-1,-1,-1
-1.661,-1,-1.111,-1,-1,-1
-1.6555,-1,-1.1055,-1,-1,-1
-1.65,-1,-1.1,-1,-1,-1
-1.6445,-1,-1.0945,-1,-1,-1
-1.639,-1,-1.089,-1,-1,-1
-1.6335,-1,-1.0835,-1,-1,-1
-1.628,-1,-1.078,-1,-1,-1
-1.6225,-1,-1.0725,-1,-1,-1
-1.617,-1,-1.067,-1,-1,-1
-1.6115,-1,-1.0615,-1,-1,-1
-1.606,-1,-1.056,-1,-1,-1
-1.6005,-1,-1.0505,-1,-1,-1
-1.595,-1,-1.045,-1,-1,-1
-1.5895,-1,-1.0395,-1,-1,-1
-1.584,-1,-1.034,-1,-1,-1
-1.5785,-1,-1.0285,-1,-1,-1
-1.573,-1,-1.023,-1,-1,-1
-1.5675,-1,-1.0175,-1,-1,-1
-1.562,-1,-1.012,-1,-1,-1
-1.5565,-1,-1.0065,-1,-1,-1
-1.551,-1,-1.001,-1,-1,-1
-1.5455,-1,-0.9955000000000001,-1,-1,-1
-1.54,-1,-0.99,-1,-1,-1
-1.5345,-1,-0.9845000000000002,-1,-1,-1
-1.529,-1,-0.9790000000000001,-1,-1,-1
-1.5235,-1,-0.9735,-1,-1,-1
-1.518,-1,-0.968,-1,-1,-1
-1.5125,-1,-0.9625000000000001,-1,-1,-1
-1.507,-1,-0.9570000000000001,-1,-1,-1
-1.5015,-1,-0.9515,-1,-1,-1
-1.496,-1,-0.946,-1,-1,-1
-1.4905,-1,-0.9405000000000001,-1,-1,-1
-1.485,-1,-0.9350000000000001,-1,-1,-1
-1.4795,-1,-0.9295,-1,-1,-1
-1.474,-1,-0.9240000000000002,-1,-1,-1
-1.4685,-1,-0.9185000000000001,-1,-1,-1
-1.463,-1,-0.913,-1,-1,-1
-1.4575,-1,-0.9075,-1,-1,-1
-1.452,-1,-0.9020000000000001,-1,-1,-1
-1.4465,-1,-0.8965000000000001,-1,-1,-1
-1.441,-1,-0.891,-1,-1,-1
-1.4355,-1,-0.8855,-1,-1,-1
-1.43,-1,-0.8800000000000001,-1,-1,-1
-1.4245,-1,-0.8745000000000001,-1,-1,-1
-1.419,-1,-0.869,-1,-1,-1
-1.4135,-1,-0.8635000000000002,-1,-1,-1
-1.408,-1,-0.8580000000000001,-1,-1,-1
-1.4025,-1,-0.8525,-1,-1,-1
-1.397,-1,-0.847,-1,-1,-1
