sample_idx,gain,re,im
1,0,-1,0
1,0,-0.04,0
2,1,-1.02172985521,0
2,1,-0.0414145048091,0
3,2,-1.04352114188,0
3,2,-0.0427675781674,0
4,3,-1.06537017194,0
4,3,-0.0440629081264,0
5,4,-1.08727352831,0
5,4,-0.0453039117818,0
6,5,-1.10922804225,0
6,5,-0.0464937578633,0
7,6,-1.13123077282,0
7,6,-0.0476353873222,0
8,7,-1.15327898807,0
8,7,-0.0487315320903,0
9,8,-1.17537014802,0
9,8,-0.0497847321692,0
10,9,-1.19750188901,0
10,9,-0.050797351202,0
11,10,-1.21967200957,0
11,10,-0.0517715906637,0
12,11,-1.24187845746,0
12,11,-0.0527095027959,0
13,12,-1.26411931788,0
13,12,-0.0536130024038,0
14,13,-1.28639280269,0
14,13,-0.0544838776181,0
15,14,-1.30869724061,0
15,14,-0.0553237997194,0
16,15,-1.33103106824,0
16,15,-0.0561343321113,0
17,16,-1.35339282185,0
17,16,-0.056916938522,0
18,17,-1.37578112989,0
18,17,-0.0576729905039,0
19,18,-1.39819470612,0
19,18,-0.0584037742988,0
20,19,-1.42063234332,0
20,19,-0.0591104971242,0
21,20,-1.44309290753,0
21,20,-0.059794292936,0
22,21,-1.46557533278,0
22,21,-0.0604562277131,0
23,22,-1.4880786162,0
23,22,-0.06109730431,0
24,23,-1.51060181362,0
24,23,-0.0617184669136,0
25,24,-1.53314403542,0
25,24,-0.0623206051413,0
26,25,-1.55570444277,0
26,25,-0.0629045578118,0
27,26,-1.57828224419,0
27,26,-0.0634711164176,0
28,27,-1.60087669231,0
28,27,-0.0640210283251,0
29,28,-1.62348708093,0
29,28,-0.0645549997266,0
30,29,-1.64611274231,0
30,29,-0.0650736983648,0
31,30,-1.66875304465,0
31,30,-0.0655777560502,0
32,31,-1.69140738974,0
32,31,-0.066067770988,0
33,32,-1.71407521082,0
33,32,-0.0665443099317,0
34,33,-1.73675597059,0
34,33,-0.0670079101771,0
35,34,-1.75944915938,0
35,34,-0.0674590814099,0
36,35,-1.7821542934,0
36,35,-0.0678983074193,0
37,36,-1.80487091315,0
37,36,-0.0683260476888,0
38,37,-1.82759858199,0
38,37,-0.068742738873,0
39,38,-1.85033688472,0
39,38,-0.0691487961709,0
40,39,-1.87308542631,0
40,39,-0.069544614603,0
41,40,-1.89584383074,0
41,40,-0.0699305702,0
42,41,-1.91861173985,0
42,41,-0.0703070211102,0
43,42,-1.94138881235,0
43,42,-0.0706743086317,0
44,43,-1.96417472283,0
44,43,-0.0710327581751,0
45,44,-1.98696916087,0
45,44,-0.0713826801625,0
46,45,-2.00977183019,0
46,45,-0.0717243708665,0
47,46,-2.03258244788,0
47,46,-0.072058113195,0
48,47,-2.05540074367,0
48,47,-0.0723841774252,0
49,48,-2.07822645923,0
49,48,-0.0727028218898,0
50,49,-2.10105934752,0
50,49,-0.0730142936206,0
51,50,-2.12389917222,0
51,50,-0.0733188289509,0
52,51,-2.14674570711,0
52,51,-0.0736166540805,0
53,52,-2.16959873561,0
53,52,-0.0739079856057,0
54,53,-2.19245805022,0
54,53,-0.0741930310171,0
55,54,-2.2153234521,0
55,54,-0.0744719891672,0
56,55,-2.23819475058,0
56,55,-0.074745050709,0
57,56,-2.2610717628,0
57,56,-0.0750123985101,0
58,57,-2.28395431329,0
58,57,-0.0752742080403,0
59,58,-2.30684223362,0
59,58,-0.0755306477385,0
60,59,-2.32973536202,0
60,59,-0.0757818793567,0
61,60,-2.35263354312,0
61,60,-0.0760280582854,0
62,61,-2.37553662757,0
62,61,-0.0762693338592,0
63,62,-2.3984444718,0
63,62,-0.0765058496464,0
64,63,-2.42135693775,0
64,63,-0.0767377437214,0
65,64,-2.44427389257,0
65,64,-0.0769651489226,0
66,65,-2.46719520842,0
66,65,-0.0771881930954,0
67,66,-2.49012076222,0
67,66,-0.0774069993226,0
68,67,-2.51305043542,0
68,67,-0.0776216861416,0
69,68,-2.53598411384,0
69,68,-0.077832367751,0
70,69,-2.55892168741,0
70,69,-0.0780391542047,0
71,70,-2.58186305004,0
71,70,-0.0782421515969,0
72,71,-2.60480809942,0
72,71,-0.0784414622372,0
73,72,-2.62775673687,0
73,72,-0.0786371848159,0
74,73,-2.65070886714,0
74,73,-0.0788294145617,0
75,74,-2.67366439834,0
75,74,-0.0790182433907,0
76,75,-2.69662324171,0
76,75,-0.0792037600478,0
77,76,-2.71958531154,0
77,76,-0.0793860502415,0
78,77,-2.74255052503,0
78,77,-0.0795651967716,0
79,78,-2.76551880217,0
79,78,-0.0797412796503,0
80,79,-2.78849006563,0
80,79,-0.079914376218,0
81,80,-2.81146424062,0
81,80,-0.0800845612525,0
82,81,-2.83444125482,0
82,81,-0.0802519070743,0
83,82,-2.85742103827,0
83,82,-0.0804164836452,0
84,83,-2.88040352328,0
84,83,-0.0805783586634,0
85,84,-2.90338864431,0
85,84,-0.0807375976536,0
86,85,-2.92637633793,0
86,85,-0.0808942640528,0
87,86,-2.94936654272,0
87,86,-0.0810484192924,0
88,87,-2.97235919916,0
88,87,-0.0812001228761,0
89,88,-2.9953542496,0
89,88,-0.0813494324546,0
90,89,-3.01835163818,0
90,89,-0.0814964038968,0
91,90,-3.04135131075,0
91,90,-0.0816410913573,0
92,91,-3.06435321479,0
92,91,-0.0817835473416,0
93,92,-3.08735729938,0
93,92,-0.0819238227677,0
94,93,-3.11036351515,0
94,93,-0.0820619670255,0
95,94,-3.13337181416,0
95,94,-0.0821980280334,0
96,95,-3.15638214993,0
