w,mag_before,phase_before,mag_after,phase_after
0.001,-4.342942562e-06,-0.05729576041,47.90585324,-89.77081925
0.001027858127,-4.588285381e-06,-0.0588919119,47.66719564,-89.76443484
0.00105649233,-4.847488173e-06,-0.06053252907,47.42853838,-89.75787259
0.001085924228,-5.121333919e-06,-0.06221885067,47.18988146,-89.75112753
0.001116176043,-5.410649829e-06,-0.06395214991,46.95122492,-89.74419459
0.001147270618,-5.716309847e-06,-0.0657337355,46.71256877,-89.73706852
0.001179231428,-6.03923729e-06,-0.0675649526,46.47391304,-89.72974395
0.001212082608,-6.380407628e-06,-0.06944718384,46.23525774,-89.72221535
0.001245848959,-6.740851446e-06,-0.07138185035,45.99660291,-89.71447703
0.001280555978,-7.121657543e-06,-0.07337041289,45.75794856,-89.70652316
0.00131622987,-7.523976228e-06,-0.07541437286,45.51929473,-89.69834773
0.001352897569,-7.94902279e-06,-0.07751527354,45.28064145,-89.68994458
0.001390586762,-8.398081178e-06,-0.07967470115,45.04198874,-89.68130736
0.001429325905,-8.872507872e-06,-0.08189428614,44.80333664,-89.67242955
0.001469144248,-9.373735979e-06,-0.08417570435,44.56468519,-89.66330445
0.001510071856,-9.903279564e-06,-0.08652067833,44.32603441,-89.65392518
0.00155213963,-1.046273823e-05,-0.08893097858,44.08738435,-89.64428466
0.001595379333,-1.105380195e-05,-0.09140842496,43.84873505,-89.63437561
0.001639823614,-1.167825614e-05,-0.093954888,43.61008655,-89.62419055
0.001685506029,-1.23379871e-05,-0.09657229034,43.3714389,-89.61372181
0.00173246107,-1.30349877e-05,-0.09926260819,43.13279214,-89.60296148
0.001780724191,-1.377136336e-05,-0.1020278728,42.89414633,-89.59190145
0.001830331833,-1.454933847e-05,-0.104870172,42.65550152,-89.58053336
0.00188132145,-1.537126305e-05,-0.1077916518,42.41685776,-89.56884865
0.001933731543,-1.623961989e-05,-0.110794518,42.17821511,-89.5568385
0.001987601682,-1.715703205e-05,-0.1138810378,41.93957364,-89.54449384
0.002042972543,-1.812627075e-05,-0.1170535415,41.70093342,-89.53180537
0.002099885932,-1.915026376e-05,-0.1203144245,41.46229451,-89.51876352
0.002158384822,-2.023210426e-05,-0.1236661488,41.22365698,-89.50535845
0.002218513381,-2.137506017e-05,-0.127111245,40.98502093,-89.49158004
0.002280317009,-2.258258398e-05,-0.1306523141,40.74638642,-89.47741792
0.002343842371,-2.385832327e-05,-0.1342920298,40.50775355,-89.46286139
0.00240913743,-2.520613163e-05,-0.13803314,40.26912241,-89.44789948
0.002476251487,-2.663008037e-05,-0.1418784692,40.03049309,-89.43252092
0.002545235217,-2.813447079e-05,-0.1458309209,39.79186571,-89.4167141
0.002616140703,-2.972384717e-05,-0.1498934789,39.55324036,-89.40046712
0.002689021484,-3.140301048e-05,-0.1540692107,39.31461717,-89.38376771
0.002763932587,-3.317703294e-05,-0.1583612688,39.07599625,-89.36660331
0.002840930573,-3.505127327e-05,-0.1627728938,38.83737774,-89.34896097
0.002920073579,-3.703139293e-05,-0.1673074164,38.59876177,-89.33082739
0.00300142136,-3.912337318e-05,-0.1719682601,38.36014848,-89.31218892
0.003085035339,-4.133353317e-05,-0.1767589438,38.12153803,-89.29303151
0.003170978646,-4.366854903e-05,-0.1816830844,37.88293057,-89.27334072
0.003259316173,-4.613547401e-05,-0.1867443995,37.64432628,-89.25310174
0.003350114618,-4.874175981e-05,-0.1919467104,37.40572533,-89.23229931
0.003443442538,-5.149527906e-05,-0.1972939446,37.16712791,-89.21091778
0.003539370398,-5.440434914e-05,-0.2027901392,36.92853422,-89.18894104
0.00363797063,-5.747775725e-05,-0.2084394435,36.68994447,-89.16635255
0.003739317679,-6.072478698e-05,-0.2142461227,36.45135889,-89.14313531
0.003843488067,-6.415524635e-05,-0.2202145605,36.21277771,-89.11927185
0.003950560447,-6.777949741e-05,-0.2263492628,35.97420117,-89.09474422
0.004060615663,-7.160848758e-05,-0.232654861,35.73562955,-89.06953396
0.004173736811,-7.565378266e-05,-0.2391361155,35.49706311,-89.04362212
0.004290009302,-7.992760178e-05,-0.2457979192,35.25850215,-89.01698922
0.004409520928,-8.444285434e-05,-0.2526453014,35.01994698,-88.98961523
0.004532361923,-8.921317894e-05,-0.2596834313,34.78139793,-88.96147959
0.004658625039,-9.42529846e-05,-0.2669176221,34.54285533,-88.93256115
0.004788405608,-9.957749426e-05,-0.2743533351,34.30431957,-88.9028382
0.004921801621,-0.0001052027908,-0.2819961835,34.06579101,-88.87228841
0.005058913798,-0.0001111458655,-0.2898519369,33.82727007,-88.84088886
0.005199845663,-0.0001174246695,-0.2979265255,33.58875718,-88.80861598
0.005344703625,-0.000124058168,-0.3062260446,33.35025279,-88.77544557
0.005493597059,-0.0001310663972,-0.3147567595,33.11175738,-88.74135276
0.005646638386,-0.0001384705253,-0.3235251095,32.87327145,-88.70631198
0.005803943157,-0.0001462929162,-0.3325377135,32.63479555,-88.67029699
0.005965630144,-0.0001545571968,-0.3418013747,32.39633024,-88.63328081
0.006131821429,-0.0001632883288,-0.3513230855,32.15787611,-88.59523573
0.006302642491,-0.0001725126838,-0.3611100331,31.9194338,-88.5561333
0.006478222308,-0.0001822581227,-0.3711696047,31.68100396,-88.51594426
0.00665869345,-0.0001925540805,-0.3815093933,31.44258732,-88.47463859
0.00684419218,-0.0002034316544,-0.3921372032,31.2041846,-88.43218542
0.007034858557,-0.0002149236981,-0.4030610558,30.96579659,-88.38855306
0.007230836543,-0.0002270649212,-0.414289196,30.72742412,-88.34370897
0.007432274108,-0.0002398919934,-0.4258300979,30.48906808,-88.29761971
0.007639323346,-0.0002534436556,-0.4376924717,30.25072937,-88.25025094
0.007852140589,-0.0002677608369,-0.44988527,30.01240898,-88.2015674
0.008070886521,-0.0002828867778,-0.4624176943,29.77410795,-88.15153289
0.008295726306,-0.0002988671611,-0.4752992023,29.53582735,-88.1001102
0.008526829705,-0.0003157502496,-0.4885395149,29.29756834,-88.04726117
0.008764371213,-0.0003335870319,-0.5021486235,29.05933214,-87.99294659
0.009008530182,-0.0003524313759,-0.5161367972,28.82112003,-87.93712619
0.009259490963,-0.000372340192,-0.5305145912,28.58293336,-87.87975867
0.009517443041,-0.0003933736044,-0.5452928539,28.34477357,-87.8208016
0.009782581182,-0.0004155951326,-0.5604827357,28.10664216,-87.76021143
0.01005510557,-0.0004390718832,-0.5760956971,27.86854074,-87.69794347
0.01033522199,-0.0004638747523,-0.5921435171,27.63047098,-87.63395185
0.01062314192,-0.0004900786393,-0.6086383024,27.39243467,-87.56818949
0.01091908276,-0.0005177626732,-0.6255924965,27.15443368,-87.50060808
0.01122326795,-0.000547010451,-0.6430188884,26.91647,-87.43115806
