t,base,lag,pi,lead,lead_lag
0,0,0,0,0,0
0.2002224694,4.628913249e-05,4.630617491e-05,2.394889408e-05,9.239534653e-05,6.412394832e-05
0.4004449388,0.0003341329013,0.0003343837982,0.0001729600091,0.0006619408395,0.0004606318364
0.6006674082,0.001023399106,0.001024572626,0.0005300354172,0.002011797059,0.001403834085
0.8008898776,0.002213197924,0.002216637654,0.001146908273,0.004316356861,0.003020482335
1.001112347,0.003963070653,0.003970886291,0.002054970419,0.007666788684,0.005380574225
1.201334816,0.00630676473,0.006321896577,0.003272380773,0.01210059678,0.008517366674
1.401557286,0.009261190713,0.009287443467,0.004808689573,0.01762081363,0.01244038108
1.601779755,0.01283224812,0.01287430441,0.00666784689,0.02420846648,0.01714385724
1.802002225,0.01701861639,0.01708203685,0.008850160196,0.03183068027,0.02261225139
2.002224694,0.02181422332,0.02190543765,0.01135356836,0.04044594895,0.0288238143
2.202447164,0.02720985407,0.02733614598,0.01417447106,0.05000756893,0.03575292225
2.402669633,0.03319420156,0.0333636894,0.0173082689,0.06046587925,0.04337159757
2.602892102,0.03975455375,0.03997616822,0.02074971555,0.07176972653,0.05165050268
2.803114572,0.04687724496,0.04716070459,0.02449314736,0.0838674259,0.06055959166
3.003337041,0.05454795373,0.05490373877,0.02853263352,0.0967073938,0.070068539
3.203559511,0.06275190097,0.06319122596,0.03286207427,0.1102385669,0.08014702339
3.40378198,0.07147398311,0.07200876855,0.03747526557,0.1244106811,0.09076491684
3.604004449,0.08069886311,0.08134170626,0.04236594172,0.1391744589,0.1018924119
3.804226919,0.09041103394,0.09117517893,0.04752780376,0.1544817358,0.1135001087
4.004449388,0.100594864,0.1014941715,0.05295453856,0.1702855468,0.1255590746
4.204671858,0.1112346312,0.1122835473,0.05863983184,0.1865401861,0.1380408868
4.404894327,0.1223145486,0.1235280736,0.06457737723,0.2032012472,0.1509176631
4.605116796,0.1338187858,0.1352124427,0.07076088279,0.2202256517,0.1641620839
4.805339266,0.1457314865,0.1473212887,0.07718407573,0.2375716673,0.1777474096
5.005561735,0.158036784,0.1598392031,0.08384070618,0.2551989205,0.1916474933
5.205784205,0.1707188146,0.1727507483,0.09072455002,0.2730684031,0.2058367911
5.406006674,0.1837617312,0.1860404702,0.09782941139,0.2911424754,0.2202903701
5.606229143,0.1971497144,0.1996929101,0.1051491248,0.3093848651,0.2349839145
5.806451613,0.2108669846,0.213692616,0.112677557,0.3277606645,0.2498937307
6.006674082,0.2248978125,0.2280241536,0.1204086086,0.3462363246,0.2649967509
6.206896552,0.2392265299,0.2426721168,0.1283362158,0.3647796469,0.2802705358
6.407119021,0.2538375397,0.257621138,0.1364543519,0.3833597737,0.2956932763
6.607341491,0.2687153262,0.2728558981,0.1447570287,0.4019471764,0.3112437946
6.80756396,0.2838444645,0.2883611364,0.1532382978,0.420513642,0.3269015439
7.007786429,0.2992096298,0.30412166,0.1618922521,0.4390322582,0.3426466085
7.208008899,0.3147956067,0.3201223532,0.1707130268,0.4574773971,0.3584597017
7.408231368,0.3305872982,0.3363481865,0.179694801,0.4758246974,0.3743221642
7.608453838,0.3465697339,0.3527842257,0.1888317987,0.4940510458,0.3902159617
7.808676307,0.3627280788,0.3694156406,0.1981182899,0.5121345568,0.4061236813
8.008898776,0.3790476412,0.386227713,0.2075485921,0.5300545516,0.4220285278
8.209121246,0.3955138805,0.4032058456,0.2171170706,0.5477915362,0.4379143196
8.409343715,0.4121124153,0.4203355695,0.2268181407,0.5653271784,0.4537654836
8.609566185,0.4288290299,0.4376025523,0.2366462677,0.5826442842,0.4695670501
8.809788654,0.4456496824,0.4549926053,0.2465959683,0.5997267733,0.4853046468
9.010011123,0.4625605107,0.4724916915,0.2566618117,0.6165596538,0.5009644926
9.210233593,0.4795478397,0.4900859321,0.2668384202,0.633128997,0.5165333909
9.410456062,0.4965981875,0.5077616134,0.2771204705,0.6494219107,0.5319987226
9.610678532,0.5136982712,0.5255051941,0.287502694,0.6654265129,0.5473484387
9.810901001,0.5308350131,0.5433033111,0.2979798782,0.6811319044,0.5625710524
10.01112347,0.5479955465,0.561142786,0.3085468669,0.6965281419,0.5776556309
10.21134594,0.5651672202,0.5790106307,0.3191985617,0.71160621,0.5925917871
10.41156841,0.5823376046,0.596894054,0.3299299219,0.7263579934,0.6073696708
10.61179088,0.5994944959,0.6147804661,0.3407359658,0.7407762488,0.6219799599
10.81201335,0.6166259209,0.6326574846,0.3516117711,0.7548545772,0.6364138508
11.01223582,0.6337201413,0.6505129392,0.3625524757,0.768587395,0.6506630491
11.21245829,0.650765658,0.6683348766,0.373553278,0.7819699066,0.6647197601
11.41268076,0.6677512146,0.6861115654,0.3846094378,0.7949980755,0.6785766785
11.61290323,0.6846658014,0.7038314999,0.3957162766,0.8076685968,0.6922269789
11.8131257,0.7014986584,0.7214834046,0.4068691783,0.8199788689,0.7056643049
12.01334816,0.7182392789,0.7390562383,0.4180635896,0.8319269657,0.7188827596
12.21357063,0.7348774119,0.7565391974,0.4292950203,0.8435116092,0.7318768942
12.4137931,0.7514030651,0.7739217194,0.4405590441,0.8547321419,0.7446416984
12.61401557,0.7678065072,0.7911934864,0.4518512986,0.8655884997,0.7571725889
12.81423804,0.7840782702,0.808344428,0.4631674858,0.8760811853,0.7694653992
13.01446051,0.8002091513,0.8253647241,0.4745033726,0.8862112415,0.7815163685
13.21468298,0.8161902145,0.8422448074,0.485854791,0.8959802248,0.7933221309
13.41490545,0.8320127926,0.8589753659,0.4972176382,0.9053901803,0.8048797049
13.61512792,0.8476684879,0.8755473448,0.5085878772,0.9144436157,0.8161864818
13.81535039,0.8631491737,0.891951949,0.5199615368,0.9231434765,0.8272402155
14.01557286,0.8784469952,0.908180644,0.5313347118,0.9314931218,0.8380390111
14.21579533,0.89355437,0.9242251582,0.5427035634,0.9394962997,0.8485813144
14.4160178,0.9084639884,0.9400774839,0.5540643192,0.9471571243,0.8588659007
14.61624027,0.9231688142,0.9557298782,0.5654132731,0.9544800521,0.8688918642
14.81646274,0.9376620842,0.9711748643,0.576746786,0.9614698599,0.8786586072
15.01668521,0.9519373085,0.9864052318,0.5880612853,0.9681316225,0.8881658293
15.21690768,0.9659882698,1.001414038,0.5993532653,0.974470691,0.8974135171
15.41713014,0.9798090233,1.016194607,0.610619287,0.9804926723,0.9064019331
15.61735261,0.9933938955,1.03074053,0.6218559784,0.9862034083,0.9151316058
15.81757508,1.006737484,1.045045668,0.6330600343,0.9916089561,0.9236033188
16.01779755,1.019834655,1.059104147,0.6442282162,0.9967155688,0.9318181011
16.21802002,1.032680546,1.072910362,0.6553573525,1.001529677,0.9397772164
16.41824249,1.045270557,1.086458972,0.6664443381,1.006057869,0.9474821535
16.61846496,1.057600357,1.099744903,0.6774861348,1.010306877,0.9549346161
16.81868743,1.069665877,1.112763346,0.6884797705,1.014283556,0.9621365131
17.0189099,1.081463312,1.125509755,0.6994223396,1.017994868,0.969089949
17.21913237,1.092989114,1.137979845,0.7103110028,1.02144787,0.9757972145
