w,PI,PD,PID,lead,lag,lead_lag
0.003463371163,-88.41291364,0.1587487002,-88.41279063,0.6349465955,-7.776721925,-4.240879391
0.003541057248,-88.37733289,0.1623095308,-88.37720143,0.6491866011,-7.9439058,-4.332141545
0.003620485891,-88.34095533,0.1659502319,-88.34081483,0.6637458604,-8.114359065,-4.425192312
0.003701696179,-88.30376319,0.1696725948,-88.30361302,0.6786315233,-8.288124059,-4.520054874
0.003784728078,-88.26573827,0.1734784513,-88.26557777,0.6938508995,-8.465242171,-4.61675186
0.003869622445,-88.226862,0.177369674,-88.22669047,0.7094114618,-8.645753709,-4.715305276
0.003956421059,-88.1871154,0.1813481775,-88.18693207,0.7253208499,-8.829697764,-4.815736417
0.004045166632,-88.14647905,0.1854159195,-88.14628312,0.7415868736,-9.017112071,-4.91806579
0.004135902837,-88.10493313,0.1895749016,-88.10472372,0.7582175172,-9.208032855,-5.022313018
0.004228674325,-88.06245737,0.19382717,-88.06223356,0.775220943,-9.402494671,-5.128496743
0.00432352675,-88.01903104,0.1981748172,-88.01879184,0.7926054951,-9.600530239,-5.236634529
0.004420506787,-87.97463298,0.2026199823,-87.97437733,0.8103797036,-9.802170266,-5.346742746
0.004519662161,-87.92924155,0.2071648526,-87.92896833,0.8285522887,-10.00744326,-5.458836463
0.004621041666,-87.88283465,0.2118116642,-87.88254264,0.8471321649,-10.21637533,-5.572929322
0.004724695192,-87.83538968,0.2165627035,-87.8350776,0.8661284449,-10.42899001,-5.689033415
0.004830673746,-87.78688356,0.2214203083,-87.78655001,0.8855504445,-10.64530799,-5.807159144
0.004939029481,-87.73729268,0.2263868684,-87.73693621,0.9054076867,-10.86534696,-5.927315087
0.005049815719,-87.68659295,0.2314648277,-87.68621197,0.9257099062,-11.08912134,-6.049507844
0.005163086977,-87.63475974,0.2366566845,-87.63435257,0.9464670543,-11.31664204,-6.173741884
0.005278898997,-87.58176787,0.2419649933,-87.58133271,0.9676893032,-11.54791622,-6.300019381
0.00539730877,-87.52759163,0.2473923658,-87.52712656,0.9893870514,-11.78294703,-6.428340046
0.005518374565,-87.47220476,0.2529414724,-87.47170772,1.011570928,-12.02173336,-6.558700949
0.00564215596,-87.4155804,0.2586150432,-87.4150492,1.034251798,-12.26426953,-6.691096332
0.005768713866,-87.35769113,0.2644158696,-87.35712343,1.057440768,-12.51054503,-6.825517417
0.005898110564,-87.29850895,0.2703468055,-87.29790224,1.08114919,-12.76054425,-6.961952207
0.00603040973,-87.23800523,0.276410769,-87.23735683,1.105388668,-13.01424612,-7.100385279
0.006165676467,-87.17615074,0.2826107432,-87.17545778,1.130171063,-13.27162388,-7.240797569
0.006303977342,-87.11291561,0.2889497786,-87.11217505,1.155508499,-13.53264475,-7.383166151
0.006445380412,-87.04826936,0.2954309937,-87.04747791,1.181413367,-13.79726958,-7.52746401
0.006589955262,-86.98218081,0.3020575771,-86.98133499,1.207898333,-14.06545258,-7.673659806
0.006737773038,-86.91461816,0.3088327887,-86.91371424,1.234976342,-14.33714099,-7.821717638
0.006888906479,-86.8455489,0.3157599617,-86.8445829,1.262660626,-14.61227477,-7.971596796
0.007043429961,-86.77493986,0.3228425038,-86.77390751,1.290964708,-14.89078626,-8.123251514
0.007201419523,-86.70275714,0.3300838992,-86.70165389,1.319902409,-15.17259989,-8.276630715
0.007362952913,-86.62896614,0.3374877101,-86.62778713,1.349487855,-15.45763186,-8.431677758
0.007528109621,-86.55353153,0.3450575788,-86.55227157,1.379735482,-15.74578984,-8.588330174
0.007696970922,-86.47641722,0.3527972289,-86.47507076,1.410660045,-16.03697266,-8.746519414
0.007869619912,-86.3975864,0.3607104676,-86.39614751,1.442276622,-16.33107005,-8.906170584
0.008046141551,-86.31700147,0.3688011874,-86.31546381,1.474600622,-16.62796234,-9.067202191
0.008226622707,-86.23462403,0.377073368,-86.23298084,1.507647792,-16.92752022,-9.229525887
0.008411152194,-86.15041493,0.3855310784,-86.14865897,1.541434224,-17.22960446,-9.393046219
0.00859982082,-86.06433417,0.3941784787,-86.06245772,1.575976362,-17.53406575,-9.557660382
0.008792721429,-85.97634095,0.4030198221,-85.97433576,1.611291009,-17.84074442,-9.723257987
0.008989948947,-85.88639363,0.4120594573,-85.88425089,1.647395336,-18.14947034,-9.889720831
0.00919160043,-85.79444971,0.4213018303,-85.79216001,1.684306886,-18.46006272,-10.05692268
0.009397775112,-85.70046586,0.4307514866,-85.69801914,1.722043587,-18.77232999,-10.22472909
0.00960857445,-85.60439785,0.4404130738,-85.60178335,1.760623754,-19.08606975,-10.39299716
0.00982410218,-85.50620055,0.4502913434,-85.50340682,1.800066102,-19.40106866,-10.56157547
0.01004446436,-85.40582796,0.4603911534,-85.40284273,1.84038975,-19.71710249,-10.73030381
0.01026976944,-85.30323315,0.4707174705,-85.30004333,1.88161423,-20.03393609,-10.89901318
0.01050012828,-85.19836826,0.4812753729,-85.19495988,1.923759499,-20.35132351,-11.0675256
0.01073565425,-85.09118451,0.4920700521,-85.08754263,1.966845942,-20.66900806,-11.2356541
0.01097646325,-84.98163214,0.5031068163,-84.97774082,2.010894383,-20.98672252,-11.40320265
0.01122267378,-84.86966046,0.5143910923,-84.86550266,2.055926095,-21.30418931,-11.5699662
0.011474407,-84.75521778,0.5259284284,-84.75077533,2.101962806,-21.62112077,-11.73573067
0.0117317868,-84.63825145,0.5377244972,-84.63350492,2.149026708,-21.93721949,-11.90027304
0.01199493981,-84.5187078,0.5497850982,-84.51363645,2.197140469,-22.25217863,-12.06336149
0.01226399556,-84.39653218,0.5621161607,-84.39111387,2.246327239,-22.56568239,-12.22475551
0.01253908643,-84.2716689,0.5747237469,-84.26588,2.296610659,-22.87740644,-12.38420617
