t,base,lag,pi,lead,lead_lag
17.6976977,0.4975192062,0.4919288963,0.5934029732,0.4378455067,0.4861155476
17.95795796,0.5036079763,0.4976567564,0.603869006,0.4428548587,0.4925239957
18.21821822,0.5094828368,0.503155238,0.6142133121,0.4477221292,0.4987764461
18.47847848,0.51514176,0.508422066,0.624431556,0.4524489827,0.50487266
18.73873874,0.5205830246,0.513455285,0.634519571,0.45703725,0.5108126181
18.998999,0.5258052108,0.5182532545,0.6444733579,0.4614889161,0.5165965109
19.25925926,0.5308071954,0.5228146441,0.6542890835,0.4658061075,0.5222247301
19.51951952,0.5355881452,0.5271384287,0.663963079,0.4699910796,0.5276978591
19.77977978,0.5401475123,0.5312238824,0.6734918388,0.4740462056,0.5330166641
20.04004004,0.5444850272,0.5350705737,0.6828720183,0.4779739643,0.5381820853
20.3003003,0.548600693,0.538678359,0.6921004331,0.4817769298,0.5431952276
20.56056056,0.552494779,0.5420473769,0.7011740561,0.4854577598,0.5480573522
20.82082082,0.5561678139,0.5451780418,0.7100900169,0.489019186,0.5527698678
21.08108108,0.5596205793,0.5480710376,0.7188455993,0.492464004,0.5573343219
21.34134134,0.5628541028,0.5507273111,0.7274382395,0.4957950632,0.5617523926
21.6016016,0.5658696508,0.553148065,0.7358655243,0.4990152584,0.5660258804
21.86186186,0.5686687216,0.5553347513,0.7441251893,0.5021275204,0.5701567
22.12212212,0.5712530382,0.5572890641,0.7522151166,0.5051348077,0.574146872
22.38238238,0.5736245406,0.5590129324,0.760133333,0.5080400988,0.5779985159
22.64264264,0.5757853787,0.5605085127,0.7678780076,0.5108463843,0.5817138419
22.9029029,0.5777379047,0.5617781819,0.7754474501,0.5135566596,0.5852951434
23.16316316,0.5794846655,0.5628245296,0.7828401086,0.5161739185,0.5887447904
23.42342342,0.5810283953,0.5636503505,0.7900545672,0.5187011463,0.5920652217
23.68368368,0.5823720075,0.5642586369,0.7970895438,0.5211413137,0.5952589388
23.94394394,0.5835185873,0.5646525705,0.8039438883,0.5234973717,0.5983284986
24.2042042,0.5844713838,0.5648355155,0.8106165797,0.5257722455,0.6012765074
24.46446446,0.5852338027,0.5648110099,0.8171067245,0.52796883,0.6041056142
24.72472472,0.5858093976,0.5645827582,0.823413554,0.5300899852,0.6068185052
24.98498498,0.5862018635,0.5641546232,0.829536422,0.5321385314,0.6094178978
25.24524525,0.5864150279,0.5635306185,0.8354748026,0.5341172461,0.6119065346
25.50550551,0.5864528437,0.5627149,0.8412282879,0.5360288594,0.6142871786
25.76576577,0.5863193817,0.5617117588,0.8467965853,0.5378760516,0.6165626074
26.02602603,0.5860188222,0.5605256126,0.8521795157,0.5396614496,0.6187356088
26.28628629,0.5855554483,0.5591609982,0.8573770104,0.5413876244,0.6208089754
26.54654655,0.5849336376,0.5576225639,0.8623891094,0.5430570889,0.6227855005
26.80680681,0.5841578552,0.555915061,0.8672159586,0.5446722954,0.6246679737
27.06706707,0.5832326461,0.554043337,0.8718578073,0.5462356339,0.6264591763
27.32732733,0.5821626279,0.5520123272,0.8763150062,0.5477494305,0.6281618779
27.58758759,0.5809524836,0.5498270472,0.8805880047,0.5492159462,0.6297788322
27.84784785,0.5796069543,0.5474925859,0.8846773483,0.5506373753,0.6313127738
28.10810811,0.5781308325,0.5450140974,0.8885836767,0.5520158451,0.6327664145
28.36836837,0.5765289545,0.5423967937,0.8923077207,0.5533534149,0.6341424403
28.62862863,0.5748061944,0.5396459379,0.8958503005,0.5546520752,0.6354435083
28.88888889,0.5729674567,0.5367668365,0.8992123228,0.5559137483,0.6366722441
29.14914915,0.5710176699,0.5337648325,0.9023947785,0.5571402871,0.637831239
29.40940941,0.5689617802,0.5306452985,0.9053987402,0.5583334761,0.6389230477
29.66966967,0.5668047448,0.5274136297,0.9082253601,0.5594950312,0.6399501858
29.92992993,0.5645515262,0.5240752372,0.9108758675,0.5606265999,0.6409151279
30.19019019,0.5622070855,0.5206355416,0.913351566,0.5617297622,0.6418203057
30.45045045,0.5597763771,0.5170999661,0.9156538317,0.5628060312,0.6426681061
30.71071071,0.5572643423,0.5134739307,0.9177841105,0.5638568537,0.6434608695
30.97097097,0.5546759043,0.5097628455,0.9197439161,0.5648836112,0.6442008887
31.23123123,0.5520159622,0.5059721047,0.921534827,0.565887621,0.6448904073
31.49149149,0.5492893861,0.5021070813,0.923158485,0.5668701371,0.6455316184
31.75175175,0.5465010114,0.4981731205,0.9246165922,0.5678323514,0.6461266641
32.01201201,0.5436556345,0.4941755345,0.9259109092,0.5687753955,0.6466776342
32.27227227,0.5407580075,0.4901195973,0.9270432525,0.5697003411,0.6471865653
32.53253253,0.5378128335,0.4860105389,0.9280154925,0.5706082022,0.6476554406
32.79279279,0.5348247624,0.4818535406,0.9288295512,0.5714999364,0.6480861891
33.05305305,0.5317983864,0.47765373,0.9294873996,0.5723764461,0.6484806853
33.31331331,0.5287382359,0.4734161757,0.9299910563,0.5732385805,0.6488407489
33.57357357,0.5256487753,0.4691458836,0.9303425845,0.5740871366,0.6491681446
33.83383383,0.5225343997,0.4648477918,0.9305440905,0.5749228618,0.649464582
34.09409409,0.5193994307,0.4605267664,0.930597721,0.5757464544,0.6497317156
34.35435435,0.5162481132,0.4561875977,0.9305056617,0.5765585663,0.649971145
34.61461461,0.513084612,0.4518349959,0.9302701346,0.577359804,0.6501844151
34.87487487,0.5099130089,0.4474735878,0.929893396,0.5781507307,0.6503730161
35.13513514,0.5067372996,0.443107913,0.9293777349,0.5789318676,0.6505383845
35.3953954,0.5035613909,0.4387424204,0.9287254707,0.5797036961,0.6506819028
35.65565566,0.5003890981,0.4343814653,0.9279389512,0.5804666592,0.6508049004
35.91591592,0.4972241426,0.430029306,0.9270205509,0.5812211632,0.6509086541
36.17617618,0.4940701497,0.4256901014,0.9259726685,0.5819675795,0.6509943889
36.43643644,0.4909306465,0.4213679079,0.9247977259,0.582706246,0.6510632782
36.6966967,0.4878090597,0.4170666773,0.9234981656,0.5834374691,0.6511164453
36.95695696,0.4847087143,0.412790254,0.9220764491,0.5841615251,0.6511549635
37.21721722,0.4816328318,0.4085423735,0.9205350552,0.5848786618,0.6511798573
37.47747748,0.4785845284,0.4043266596,0.9188764782,0.5855891002,0.6511921032
37.73773774,0.4755668144,0.4001466235,0.9171032259,0.5862930359,0.6511926307
37.997998,0.4725825925,0.3960056615,0.9152178184,0.5869906405,0.651182323
38.25825826,0.4696346574,0.3919070536,0.9132227859,0.5876820634,0.6511620185
38.51851852,0.4667256943,0.3878539626,0.9111206672,0.588367433,0.6511325113
38.77877878,0.4638582787,0.3838494326,0.9089140083,0.589046858,0.6510945525
39.03903904,0.4610348761,0.3798963882,0.9066053607,0.5897204292,0.6510488512
39.2992993,0.4582578408,0.3759976336,0.9041972795,0.5903882202,0.6509960758
39.55955956,0.4555294166,0.372155852,0.9016923225,0.5910502892,0.6509368548
39.81981982,0.4528517363,0.3683736048,0.8990930482,0.5917066799,0.6508717781
40.08008008,0.4502268214,0.364653332,0.8964020146,0.5923574228,0.6508013981
40.34034034,0.447656583,0.3609973511,0.8936217777,0.5930025365,0.6507262308
40.6006006,0.4451428216,0.3574078576,0.89075489,0.5936420285,0.650646757
40.86086086,0.4426872277,0.353886925,0.8878038994,0.5942758966,0.6505634234
41.12112112,0.4402913823,0.3504365047,0.8847713475,0.5949041296,0.650476644
41.38138138,0.4379567575,0.3470584269,0.8816597687,0.5955267084,0.6503868008
41.64164164,0.4356847177,0.3437544006,0.8784716887,0.596143607,0.6502942453
41.9019019,0.4334765197,0.3405260146,0.8752096233,0.5967547934,0.6501992997
42.16216216,0.4313333148,0.337374738,0.8718760771,0.5973602303,0.6501022576
42.42242242,0.4292561487,0.3343019212,0.8684735426,0.5979598758,0.6500033857
42.68268268,0.4272459637,0.3313087966,0.8650044989,0.5985536847,0.6499029245
42.94294294,0.4253035994,0.3283964801,0.8614714106,0.5991416085,0.6498010897
43.2032032,0.4234297946,0.3255659724,0.8578767265,0.5997235966,0.649698073
43.46346346,0.4216251882,0.3228181596,0.8542228793,0.6002995966,0.6495940435
43.72372372,0.4198903211,0.3201538155,0.8505122836,0.6008695552,0.6494891485
43.98398398,0.4182256381,0.3175736025,0.8467473357,0.6014334186,0.649383515
44.24424424,0.416631489,0.3150780734,0.8429304123,0.6019911329,0.6492772501
44.5045045,0.4151081309,0.3126676734,0.8390638697,0.6025426448,0.6491704424
44.76476476,0.4136557301,0.3103427416,0.8351500428,0.6030879018,0.6490631631
45.02502503,0.4122743636,0.3081035126,0.8311912445,0.603626853,0.6489554667
45.28528529,0.4109640215,0.3059501194,0.8271897646,0.604159449,0.6488473921
45.54554555,0.4097246088,0.3038825942,0.823147869,0.6046856427,0.6487389637
45.80580581,0.4085559478,0.3019008718,0.8190677995,0.6052053893,0.6486301919
46.06606607,0.4074577799,0.3000047906,0.8149517723,0.6057186466,0.6485210745
46.32632633,0.4064297681,0.2981940957,0.8108019778,0.6062253754,0.6484115971
46.58658659,0.4054714991,0.2964684409,0.8066205797,0.6067255398,0.6483017341
46.84684685,0.4045824856,0.2948273908,0.8024097145,0.607219107,0.64819145
47.10710711,0.4037621687,0.2932704237,0.798171491,0.6077060479,0.6480806993
47.36736737,0.4030099201,0.2917969337,0.7939079893,0.608186337,0.6479694279
47.62762763,0.4023250446,0.2904062334,0.7896212608,0.6086599528,0.6478575739
47.88788789,0.4017067826,0.2890975564,0.7853133272,0.6091268774,0.647745068
48.14814815,0.4011543123,0.2878700596,0.7809861803,0.6095870972,0.6476318341
48.40840841,0.4006667523,0.2867228265,0.7766417815,0.6100406024,0.6475177905
