t,before,after
0,0,0
0.08016032064,0.07406469986,0.08119538507
0.1603206413,0.1371582402,0.1504287133
0.2404809619,0.1909057723,0.2095051538
0.3206412826,0.2366917147,0.2599572728
0.4008016032,0.2756954129,0.3030862006
0.4809619238,0.3089215167,0.3399965824
0.5611222445,0.3372258578,0.3716262504
0.6412825651,0.3613374937,0.3987714147
0.7214428858,0.3818774876,0.4221080512
0.8016032064,0.3993749044,0.4422100581
0.8817635271,0.4142804394,0.4595646716
0.9619238477,0.4269780265,0.474585553
1.042084168,0.4377947276,0.4876238995
1.122244489,0.4470091572,0.4989778776
1.20240481,0.454858659,0.5089006312
1.28256513,0.4615454187,0.5176070808
1.362725451,0.4672416728,0.525279696
1.442885772,0.4720941441,0.5320733955
1.523046092,0.4762278218,0.5381197084
1.603206413,0.4797491803,0.5435303058
1.683366733,0.482748922,0.5484
1.763527054,0.4853043139,0.5528092902
1.843687375,0.487481177,0.5568265242
1.923847695,0.4893355828,0.5605097331
2.004008016,0.4909152965,0.5639081896
2.084168337,0.4922610082,0.5670637305
2.164328657,0.4934073804,0.5700118794
2.244488978,0.4943839412,0.5727828005
2.324649299,0.4952158446,0.5754021076
2.404809619,0.4959245187,0.5778915513
2.48496994,0.4965282173,0.5802696026
2.565130261,0.4970424904,0.5825519478
2.645290581,0.4974805845,0.5847519093
2.725450902,0.497853784,0.5868808025
2.805611222,0.4981717017,0.5889482387
2.885771543,0.4984425264,0.5909623828
2.965931864,0.498673234,0.5929301711
3.046092184,0.4988697671,0.5948574976
3.126252505,0.4990371878,0.5967493706
3.206412826,0.4991798086,0.598610047
3.286573146,0.4993013031,0.6004431455
3.366733467,0.4994048006,0.6022517431
3.446893788,0.4994929671,0.6040384566
3.527054108,0.4995680736,0.6058055125
3.607214429,0.4996320546,0.6075548055
3.687374749,0.4996865581,0.6092879488
3.76753507,0.4997329881,0.6110063168
3.847695391,0.4997725404,0.6127110805
3.927855711,0.4998062339,0.6144032391
4.008016032,0.4998349363,0.6160836451
4.088176353,0.4998593871,0.6177530268
4.168336673,0.499880216,0.6194120071
4.248496994,0.4998979595,0.6210611193
4.328657315,0.4999130747,0.6227008206
4.408817635,0.4999259509,0.6243315035
4.488977956,0.4999369198,0.6259535058
4.569138277,0.4999462638,0.6275671186
