case_id,wc,pm,overshoot,settling_time,final_error,disturbance_peak,low_sensitivity,u_peak
1,0.1168581741,37.43469853,31.91138876,83.09232481,0.0003186920289,0.5864528437,0.05607240569,2.25
2,0.1171822217,33.84636184,38.43432001,88.09788654,0.005071656354,0.5648355155,0.04043842086,2.257954325
3,0.075,44.00138617,27.27325995,125.3392659,0.0190715523,0.930597721,0.08362995184,1.173218096
4,0.13,63,4.766642706,40.44493882,9.488397724e-07,0.6345604901,0.07900779798,4.524037376
5,0.1102280159,60.82621045,7.349479914,35.43937709,0.008543351239,0.6511926307,0.07863100519,3.131595579
