branch,sample_idx,gain,re,im
1,1,0.000000000000,-1.000000000000,0.000000000000
1,2,0.001000000000,-1.009000000000,0.000000000000
1,3,0.001054790047,-1.009493110420,0.000000000000
1,4,0.001112582043,-1.010013238390,0.000000000000
1,5,0.001173540466,-1.010561864190,0.000000000000
1,6,0.001237838803,-1.011140549230,0.000000000000
1,7,0.001305660050,-1.011750940450,0.000000000000
1,8,0.001377197225,-1.012394775030,0.000000000000
1,9,0.001452653926,-1.013073885330,0.000000000000
1,10,0.001532244903,-1.013790204130,0.000000000000
1,11,0.001616196673,-1.014545770060,0.000000000000
1,12,0.001704748165,-1.015342733490,0.000000000000
1,13,0.001798151397,-1.016183362580,0.000000000000
1,14,0.001896672197,-1.017070049770,0.000000000000
1,15,0.002000590956,-1.018005318600,0.000000000000
1,16,0.002110203429,-1.018991830860,0.000000000000
1,17,0.002225821574,-1.020032394160,0.000000000000
1,18,0.002347774443,-1.021129969980,0.000000000000
1,19,0.002476409115,-1.022287682030,0.000000000000
1,20,0.002612091687,-1.023508825180,0.000000000000
1,21,0.002755208313,-1.024796874820,0.000000000000
1,22,0.002906166306,-1.026155496760,0.000000000000
1,23,0.003065395295,-1.027588557660,0.000000000000
1,24,0.003233348448,-1.029100136030,0.000000000000
1,25,0.003410503761,-1.030694533850,0.000000000000
1,26,0.003597365423,-1.032376288810,0.000000000000
1,27,0.003794465244,-1.034150187190,0.000000000000
1,28,0.004002364173,-1.036021277560,0.000000000000
1,29,0.004221653894,-1.037994885050,0.000000000000
1,30,0.004452958510,-1.040076626590,0.000000000000
1,31,0.004696936316,-1.042272426850,0.000000000000
1,32,0.004954281678,-1.044588535100,0.000000000000
1,33,0.005225727004,-1.047031543040,0.000000000000
1,34,0.005512044833,-1.049608403500,0.000000000000
1,35,0.005814050029,-1.052326450260,0.000000000000
1,36,0.006132602104,-1.055193418930,0.000000000000
1,37,0.006468607662,-1.058217468950,0.000000000000
1,38,0.006823022980,-1.061407206820,0.000000000000
1,39,0.007196856730,-1.064771710570,0.000000000000
1,40,0.007591172849,-1.068320555640,0.000000000000
1,41,0.008007093567,-1.072063842100,0.000000000000
1,42,0.008445802600,-1.076012223400,0.000000000000
1,43,0.008908548522,-1.080176936700,0.000000000000
1,44,0.009396648315,-1.084569834830,0.000000000000
1,45,0.009911491118,-1.089203420070,0.000000000000
1,46,0.010454542183,-1.094090879650,0.000000000000
1,47,0.011027347042,-1.099246123370,0.000000000000
1,48,0.011631535905,-1.104683823150,0.000000000000
1,49,0.012268828305,-1.110419454740,0.000000000000
1,50,0.012941037985,-1.116469341870,0.000000000000
1,51,0.013650078066,-1.122850702590,0.000000000000
1,52,0.014397966485,-1.129581698370,0.000000000000
1,53,0.015186831747,-1.136681485720,0.000000000000
1,54,0.016018918973,-1.144170270760,0.000000000000
1,55,0.016896596297,-1.152069366680,0.000000000000
1,56,0.017822361604,-1.160401254430,0.000000000000
1,57,0.018798849635,-1.169189646710,0.000000000000
1,58,0.019828839491,-1.178459555420,0.000000000000
1,59,0.020915262540,-1.188237362860,0.000000000000
1,60,0.022061210759,-1.198550896830,0.000000000000
1,61,0.023269945535,-1.209429509820,0.000000000000
1,62,0.024544906947,-1.220904162520,0.000000000000
1,63,0.025889723553,-1.233007511980,0.000000000000
1,64,0.027308222726,-1.245774004530,0.000000000000
1,65,0.028804441534,-1.259239973810,0.000000000000
1,66,0.030382638241,-1.273443744170,0.000000000000
1,67,0.032047304421,-1.288425739790,0.000000000000
1,68,0.033803177738,-1.304228599650,0.000000000000
1,69,0.035655255438,-1.320897298940,0.000000000000
1,70,0.037608808561,-1.338479277050,0.000000000000
1,71,0.039669396953,-1.357024572570,0.000000000000
1,72,0.041842885079,-1.376585965710,0.000000000000
1,73,0.044135458722,-1.397219128500,0.000000000000
1,74,0.046553642583,-1.418982783250,0.000000000000
1,75,0.049104318851,-1.441938869660,0.000000000000
1,76,0.051794746792,-1.466152721130,0.000000000000
1,77,0.054632583407,-1.491693250660,0.000000000000
1,78,0.057625905223,-1.518633147010,0.000000000000
1,79,0.060783231283,-1.547049081550,0.000000000000
1,80,0.064113547386,-1.577021926470,0.000000000000
1,81,0.067626331665,-1.608636984990,0.000000000000
1,82,0.071331581560,-1.641984234040,0.000000000000
