t,r,y,ym,yf,feedback,e,u,delta
1.24,0.15,0.10604399,0.12236231,0.077154362,0.12236231,0.027637686,0.059421024,0.11974014
1.26,0.15,0.10619499,0.10589656,0.078199533,0.10589656,0.044103435,0.094822386,0.11774672
1.28,0.15,0.10633101,0.10110536,0.079032472,0.10110536,0.048894644,0.10512349,0.11673686
1.3,0.15,0.10651609,0.072809617,0.078806186,0.072809617,0.077190383,0.16595932,0.12067466
1.32,0.15,0.10678296,0.055942378,0.077974775,0.055942378,0.094057622,0.20222389,0.1271986
1.34,0.15,0.10721155,0.016422191,0.075736499,0.016422191,0.13357781,0.28719229,0.13999809
1.36,0.15,0.10743719,0.17383166,0.079303596,0.17383166,-0.023831661,-0.051238071,0.1246992
1.38,0.15,0.10756462,0.13494231,0.081326822,0.13494231,0.015057687,0.032374026,0.11731319
1.4,0.15,0.10763418,0.12077261,0.082761214,0.12077261,0.029227387,0.062838881,0.11295524
1.42,0.15,0.10793548,-0.0073586553,0.079484128,-0.0073586553,0.15735866,0.33832111,0.13098451
1.44,0.15,0.10788483,0.24590344,0.08553574,0.24590344,-0.095903438,-0.20619239,0.10401036
1.46,0.15,0.10777656,0.12788326,0.087075649,0.12788326,0.022116737,0.047550985,0.09949361
1.48,0.15,0.10771579,0.08294709,0.08692552,0.08294709,0.06705291,0.14416376,0.10306722
1.5,0.15,0.10751571,0.16518621,0.089771363,0.16518621,-0.015186213,-0.032650358,0.092209815
1.52,0.15,0.10733492,0.099585684,0.090128248,0.099585684,0.050414316,0.10839078,0.093504292
1.54,0.15,0.10726966,0.055503657,0.088869172,0.055503657,0.094496343,0.20316714,0.10227732
1.56,0.15,0.10726426,0.075838962,0.088395346,0.075838962,0.074161038,0.15944623,0.10685083
1.58,0.15,0.10727818,0.091623628,0.088512738,0.091623628,0.058376372,0.1255092,0.1083435
1.6,0.15,0.10706328,0.20263156,0.092662513,0.20263156,-0.052631559,-0.11315785,0.090623394
1.62,0.15,0.10686905,0.099784109,0.09292148,0.099784109,0.050215891,0.10796417,0.092010656
1.64,0.15,0.10651883,0.17862274,0.09603789,0.17862274,-0.028622735,-0.061538881,0.079726693
1.66,0.15,0.10617616,0.11154862,0.096601916,0.11154862,0.038451384,0.082670476,0.079962195
1.68,0.15,0.10569693,0.17633698,0.099501373,0.17633698,-0.026336984,-0.056624515,0.069035259
1.7,0.15,0.10533996,0.06558282,0.098267971,0.06558282,0.08441718,0.18149694,0.078032193
1.72,0.15,0.10484528,0.17783333,0.10116126,0.17783333,-0.027833329,-0.059841656,0.067002285
