t,u_raw,u_sat,u_rate,ref,psi,x,y
3.28,62.018557,16,16,72,51.569741,8.9079349,3.1960381
3.32,59.098413,16,16,72,52.511214,8.9809677,3.2912548
3.36,56.178606,16,16,72,53.4527,9.052426,3.3876587
3.4,53.259945,16,16,72,54.393936,9.1222911,3.4852233
3.44,50.343233,16,16,72,55.334664,9.1905449,3.5839219
3.48,47.429269,16,16,72,56.274624,9.2571705,3.6837269
3.52,44.518848,16,16,72,57.213559,9.3221516,3.7846103
3.56,41.612757,16,16,72,58.151216,9.3854731,3.8865436
3.6,38.711778,16,16,72,59.08734,9.4471208,3.9894977
3.64,35.816688,16,16,72,60.02168,9.5070815,4.0934435
3.68,32.928258,16,16,72,60.953988,9.5653429,4.1983511
3.72,30.04725,16,16,72,61.884016,9.6218939,4.3041905
3.76,27.174425,16,16,72,62.811519,9.6767242,4.4109315
3.8,24.310531,16,16,72,63.736253,9.7298246,4.5185435
3.84,21.456313,16,16,72,64.657977,9.7811871,4.6269958
3.88,18.612509,16,16,72,65.576454,9.8308046,4.7362574
3.92,15.779849,15.779849,15.8,72,66.491446,9.8786709,4.8462975
3.96,12.959056,12.959056,15.6,72,67.402719,9.9247811,4.9570849
4,10.150844,10.150844,15.4,72,68.310041,9.9691311,5.0685886
4.04,7.3559225,7.3559225,15.2,72,69.213183,10.011718,5.1807775
4.08,4.5749909,4.5749909,15,72,70.111919,10.05254,5.2936206
4.12,1.8087415,1.8087415,14.8,72,71.006023,10.091596,5.4070869
4.16,-0.94214163,-0.94214163,14.6,72,71.895275,10.128887,5.5211457
4.2,-3.6769825,-3.6769825,14.4,72,72.779454,10.164413,5.6357664
4.24,-6.3951136,-6.3951136,14.2,72,73.658344,10.198177,5.7509185
4.28,-9.0958758,-9.0958758,14,72,74.531733,10.230181,5.8665719
4.32,-11.778618,-11.778618,13.8,72,75.399408,10.260431,5.9826967
4.36,-14.4427,-14.4427,13.6,72,76.261161,10.288931,6.0992633
4.4,-17.087487,-16,13.4,72,77.116787,10.315686,6.2162425
4.44,-19.712356,-16,13.2,72,77.966083,10.340705,6.3336054
4.48,-22.316692,-16,13,72,78.808851,10.363995,6.4513236
4.52,-24.89989,-16,12.8,72,79.644892,10.385565,6.5693691
4.56,-27.461352,-16,12.6,72,80.474014,10.405424,6.6877144
4.6,-30.000494,-16,12.4,72,81.296026,10.423584,6.8063324
4.64,-32.516736,-16,12.2,72,82.110741,10.440055,6.9251966
4.68,-35.009512,-16,12,72,82.917973,10.45485,7.0442811
4.72,-37.478264,-16,11.8,72,83.717543,10.467981,7.1635604
4.76,-39.922444,-16,11.6,72,84.50927,10.479463,7.2830099
4.8,-42.341514,-16,11.4,72,85.292982,10.489311,7.4026051
4.84,-44.734946,-16,11.2,72,86.068505,10.497538,7.5223227
4.88,-47.102222,-16,11,72,86.835672,10.504162,7.6421398
4.92,-49.442835,-16,10.8,72,87.594318,10.509199,7.762034
4.96,-51.756288,-16,10.6,72,88.344279,10.512667,7.8819839
5,-54.042095,-16,10.4,72,89.085399,10.514582,8.0019686
5.04,-56.299777,-16,10.2,72,89.817522,10.514964,8.121968
5.08,-58.528871,-16,10,72,90.540496,10.513832,8.2419627
5.12,-60.72892,-16,9.8,72,91.254173,10.511206,8.3619339
5.16,-62.899481,-16,9.6,72,91.958407,10.507105,8.4818638
5.2,-65.040119,-16,9.4,72,92.653059,10.50155,8.6017352
5.24,-67.150412,-16,9.2,72,93.337988,10.494563,8.7215316
5.28,-69.229947,-16,9,72,94.013062,10.486165,8.8412374
5.32,-71.278324,-16,8.8,72,94.678149,10.476378,8.9608376
5.36,-73.295152,-16,8.6,72,95.333121,10.465225,9.0803182
5.4,-75.280052,-16,8.4,72,95.977855,10.452727,9.1996656
5.44,-77.232656,-16,8.2,72,96.612231,10.438909,9.3188674
5.48,-79.152606,-16,8,72,97.236131,10.423794,9.4379117
5.52,-81.039557,-16,7.8,72,97.849443,10.407406,9.5567873
5.56,-82.893174,-16,7.6,72,98.452056,10.389768,9.675484
5.6,-84.713133,-16,7.4,72,99.043865,10.370905,9.7939922
5.64,-86.499122,-16,7.2,72,99.624767,10.350842,9.9123031
5.68,-88.250839,-16,7,72,100.19466,10.329603,10.030409
5.72,-89.967996,-16,6.8,72,100.75346,10.307213,10.148301
5.76,-91.650312,-16,6.6,72,101.30106,10.283697,10.265975
5.8,-93.297521,-16,6.4,72,101.83739,10.259081,10.383423
5.84,-94.909366,-16,6.2,72,102.36235,10.233389,10.50064
5.88,-96.485603,-16,6,72,102.87586,10.206649,10.617623
5.92,-98.025997,-16,5.8,72,103.37786,10.178884,10.734367
5.96,-99.530328,-16,5.6,72,103.86826,10.150121,10.850869
6,-100.99838,-16,5.4,72,104.34699,10.120386,10.967126
6.04,-102.42996,-16,5.2,72,104.81399,10.089704,11.083137
6.08,-103.82488,-16,5,72,105.2692,10.058102,11.198901
6.12,-105.18296,-16,4.8,72,105.71256,10.025604,11.314417
6.16,-106.50403,-16,4.6,72,106.14401,9.992238,11.429685
6.2,-107.78794,-16,4.4,72,106.5635,9.9580287,11.544706
6.24,-109.03454,-16,4.2,72,106.97098,9.9230022,11.65948
6.28,-110.24371,-16,4,72,107.36641,9.8871844,11.77401
6.32,-111.41532,-16,3.8,72,107.74975,9.8506012,11.888297
6.36,-112.54927,-16,3.6,72,108.12096,9.8132783,12.002346
6.4,-113.64544,-16,3.4,72,108.48001,9.7752414,12.116158
6.44,-114.70376,-16,3.2,72,108.82687,9.7365163,12.229738
6.48,-115.72416,-16,3,72,109.16151,9.6971284,12.343089
6.52,-116.70655,-16,2.8,72,109.48391,9.6571034,12.456217
6.56,-117.65089,-16,2.6,72,109.79404,9.6164666,12.569127
6.6,-118.55714,-16,2.4,72,110.0919,9.5752433,12.681825
6.64,-119.42525,-16,2.2,72,110.37747,9.5334589,12.794315
6.68,-120.25522,-16,2,72,110.65074,9.4911385,12.906605
6.72,-121.04702,-16,1.8,72,110.91171,9.448307,13.0187
6.76,-121.80066,-16,1.6,72,111.16037,9.4049894,13.130609
6.8,-122.51614,-16,1.4,72,111.39673,9.3612106,13.242338
6.84,-123.19349,-16,1.2,72,111.62079,9.3169952,13.353895
6.88,-123.83274,-16,1,72,111.83257,9.2723677,13.465288
6.92,-124.43392,-16,0.8,72,112.03206,9.2273527,13.576525
6.96,-124.99709,-16,0.6,72,112.21929,9.1819744,13.687615
7,-125.52231,-16,0.4,72,112.39427,9.136257,13.798565
7.04,-126.00965,-16,0.2,72,112.55703,9.0902247,13.909384
7.08,-126.4592,-16,-1.6449431e-14,72,112.70759,9.0439013,14.020083
7.12,-126.87104,-16,-0.2,72,112.84598,8.9973107,14.130669
7.16,-127.24528,-16,-0.4,72,112.97223,8.9504765,14.241152
7.2,-127.58203,-16,-0.6,72,113.08637,8.9034223,14.351542
7.24,-127.88141,-16,-0.8,72,113.18845,8.8561715,14.461848
7.28,-128.14356,-16,-1,72,113.27851,8.8087474,14.572079
7.32,-128.3686,-16,-1.2,72,113.35658,8.7611731,14.682246
7.36,-128.5567,-16,-1.4,72,113.42271,8.7134717,14.792358
7.4,-128.70802,-16,-1.6,72,113.47696,8.6656661,14.902424
7.44,-128.82271,-16,-1.8,72,113.51938,8.617779,15.012455
7.48,-128.90097,-16,-2,72,113.55002,8.569833,15.12246
7.52,-128.94297,-16,-2.2,72,113.56895,8.5218507,15.23245
7.56,-128.94891,-16,-2.4,72,113.57622,8.4738545,15.342433
7.6,-128.91901,-16,-2.6,72,113.5719,8.4258665,15.452421
7.64,-128.85347,-16,-2.8,72,113.55606,8.377909,15.562421
7.68,-128.75251,-16,-3,72,113.52877,8.3300039,15.672444
7.72,-128.61637,-16,-3.2,72,113.4901,8.282173,15.782499
7.76,-128.44529,-16,-3.4,72,113.44013,8.2344381,15.892597
