t,psi_ref,psi,psi_meas,x,y,cmd,delta
2.65,0.0099085235,0.00045719311,0.00043367463,8.48,1.8518815e-05,0.015310792,0.0084291474
2.7,0.010068268,0.00048149699,0.00045719311,8.64,1.9863409e-05,0.015459193,0.0085756067
2.75,0.010230587,0.00050659626,0.00048149699,8.8,2.1278092e-05,0.015609559,0.0087221473
2.8,0.010395521,0.00053250084,0.00050659626,8.96,2.2765115e-05,0.015761966,0.0088688102
2.85,0.010563113,0.00055922059,0.00053250084,9.12,2.4326754e-05,0.015916491,0.0090156369
2.9,0.010733406,0.0005867653,0.00055922059,9.28,2.5965311e-05,0.016073211,0.0091626697
2.95,0.010906443,0.00061514469,0.0005867653,9.44,2.768312e-05,0.016232203,0.0093099517
3,0.011082269,0.00064436844,0.00061514469,9.6,2.9482536e-05,0.016393545,0.0094575265
3.05,0.011260927,0.00067444619,0.00064436844,9.76,3.1365945e-05,0.016557317,0.0096054388
3.1,0.011442464,0.00070538751,0.00067444619,9.92,3.3335758e-05,0.016723598,0.0097537338
3.15,0.011626927,0.00073720196,0.00070538751,10.08,3.5394414e-05,0.016892467,0.0099024574
3.2,0.011814362,0.00076989907,0.00073720196,10.24,3.7544378e-05,0.017064007,0.010051656
3.25,0.012004816,0.00080348832,0.00076989907,10.4,3.9788141e-05,0.017238298,0.010201378
3.3,0.01219834,0.0008379792,0.00080348832,10.56,4.212822e-05,0.017415423,0.010351671
3.35,0.012394982,0.00087338118,0.0008379792,10.72,4.4567161e-05,0.017595463,0.010502583
3.4,0.012594791,0.00090970372,0.00087338118,10.88,4.7107533e-05,0.017778504,0.010654165
3.45,0.01279782,0.00094695627,0.00090970372,11.04,4.9751933e-05,0.017964628,0.010806466
3.5,0.013004121,0.00098514829,0.00094695627,11.2,5.2502986e-05,0.018153921,0.010959538
3.55,0.013213744,0.0010242893,0.00098514829,11.36,5.5363342e-05,0.018346468,0.011113432
3.6,0.013426746,0.0010643887,0.0010242893,11.52,5.8335676e-05,0.018542356,0.011268202
3.65,0.013643178,0.0011054561,0.0010643887,11.68,6.1422691e-05,0.018741672,0.011423899
3.7,0.013863098,0.0011475009,0.0011054561,11.84,6.4627118e-05,0.018944503,0.011580578
3.75,0.01408656,0.0011905329,0.0011475009,12,6.7951714e-05,0.019150937,0.011738294
3.8,0.014313622,0.0012345616,0.0011905329,12.16,7.139926e-05,0.019361065,0.011897102
3.85,0.014544342,0.0012795966,0.0012345616,12.32,7.4972568e-05,0.019574976,0.012057057
3.9,0.014778779,0.0013256477,0.0012795966,12.48,7.8674474e-05,0.01979276,0.012218218
3.95,0.015016992,0.0013727247,0.0013256477,12.64,8.2507845e-05,0.02001451,0.012380641
4,0.015259042,0.0014208374,0.0013727247,12.8,8.6475571e-05,0.020240318,0.012544384
4.05,0.015504991,0.0014699957,0.0014208374,12.96,9.0580574e-05,0.020470277,0.012709507
4.1,0.015754902,0.0015202097,0.0014699957,13.12,9.48258e-05,0.020704481,0.012876069
4.15,0.016008839,0.0015714893,0.0015202097,13.28,9.9214226e-05,0.020943025,0.01304413
4.2,0.016266865,0.0016238449,0.0015714893,13.44,0.00010374886,0.021186004,0.013213753
4.25,0.016529048,0.0016772866,0.0016238449,13.6,0.00010843272,0.021433517,0.013384998
4.3,0.016795453,0.0017318248,0.0016772866,13.76,0.00011326889,0.021685659,0.013557928
4.35,0.017066149,0.0017874701,0.0017318248,13.92,0.00011826045,0.021942529,0.013732607
4.4,0.017341204,0.001844233,0.0017874701,14.08,0.00012341052,0.022204228,0.013909099
4.45,0.01762069,0.0019021242,0.001844233,14.24,0.00012872225,0.022470854,0.014087469
4.5,0.017904676,0.0019611546,0.0019021242,14.4,0.00013419883,0.02274251,0.014267783
4.55,0.018193236,0.0020213352,0.0019611546,14.56,0.00013984346,0.023019298,0.014450106
4.6,0.018486443,0.0020826771,0.0020213352,14.72,0.00014565939,0.023301321,0.014634506
4.65,0.018784372,0.0021451916,0.0020826771,14.88,0.0001516499,0.023588683,0.014821052
4.7,0.019087098,0.0022088902,0.0021451916,15.04,0.00015781828,0.023881489,0.015009811
4.75,0.019394699,0.0022737844,0.0022088902,15.2,0.00016416789,0.024179847,0.015200853
4.8,0.019707253,0.002339886,0.0022737844,15.36,0.00017070208,0.024483863,0.015394249
4.85,0.02002484,0.002407207,0.002339886,15.52,0.00017742427,0.024793646,0.01559007
4.9,0.020347541,0.0024757596,0.002407207,15.68,0.0001843379,0.025109306,0.015788387
4.95,0.020675437,0.0025455559,0.0024757596,15.84,0.00019144643,0.025430954,0.015989274
5,0.021008613,0.0026166085,0.0025455559,16,0.00019875338,0.025758701,0.016192804
5.05,0.021347152,0.0026889303,0.0026166085,16.16,0.00020626229,0.026092661,0.016399051
5.1,0.021691143,0.002762534,0.0026889303,16.32,0.00021397674,0.026432948,0.01660809
5.15,0.022040671,0.0028374329,0.002762534,16.48,0.00022190035,0.026779678,0.016819998
5.2,0.022395826,0.0029136403,0.0028374329,16.64,0.00023003677,0.027132968,0.017034852
5.25,0.022756699,0.0029911698,0.0029136403,16.8,0.00023838969,0.027492935,0.017252729
5.3,0.023123381,0.0030700352,0.0029911698,16.96,0.00024696284,0.0278597,0.017473707
5.35,0.023495966,0.0031502508,0.0030700352,17.12,0.00025576,0.028233383,0.017697867
5.4,0.023874548,0.0032318307,0.0031502508,17.28,0.00026478498,0.028614106,0.017925289
5.45,0.024259223,0.0033147897,0.0032318307,17.44,0.00027404162,0.029001994,0.018156054
5.5,0.024650091,0.0033991425,0.0033147897,17.6,0.00028353381,0.02939717,0.018390243
5.55,0.025047249,0.0034849044,0.0033991425,17.76,0.0002932655,0.029799761,0.018627942
5.6,0.0254508,0.0035720907,0.0034849044,17.92,0.00030324066,0.030209895,0.018869232
5.65,0.025860846,0.0036607172,0.0035720907,18.08,0.00031346331,0.030627702,0.019114201
5.7,0.026277491,0.0037507998,0.0036607172,18.24,0.00032393752,0.031053312,0.019362932
5.75,0.02670084,0.0038423549,0.0037507998,18.4,0.0003346674,0.031486859,0.019615514
5.8,0.027131003,0.0039353992,0.0038423549,18.56,0.00034565711,0.031928475,0.019872034
5.85,0.027568088,0.0040299495,0.0039353992,18.72,0.00035691085,0.032378297,0.020132581
5.9,0.028012206,0.0041260231,0.0040299495,18.88,0.00036843288,0.032836462,0.020397245
5.95,0.02846347,0.0042236377,0.0041260231,19.04,0.0003802275,0.033303109,0.020666117
6,0.028921995,0.0043228112,0.0042236377,19.2,0.00039229907,0.033778379,0.020939289
6.05,0.029387897,0.0044235619,0.0043228112,19.36,0.00040465198,0.034262414,0.021216855
6.1,0.029861296,0.0045259085,0.0044235619,19.52,0.0004172907,0.034755358,0.021498907
6.15,0.03034231,0.0046298699,0.0045259085,19.68,0.00043021974,0.035257358,0.021785541
6.2,0.030831063,0.0047354655,0.0046298699,19.84,0.00044344365,0.035768562,0.022076854
6.25,0.031327679,0.0048427153,0.0047354655,20,0.00045696706,0.036289119,0.022372943
6.3,0.031832283,0.0049516392,0.0048427153,20.16,0.00047079465,0.036819181,0.022673906
6.35,0.032345004,0.0050622579,0.0049516392,20.32,0.00048493114,0.037358902,0.022979844
6.4,0.032865971,0.0051745923,0.0050622579,20.48,0.00049938133,0.037908437,0.023290856
6.45,0.033395319,0.0052886638,0.0051745923,20.64,0.00051415006,0.038467945,0.023607045
6.5,0.03393318,0.0054044943,0.0052886638,20.8,0.00052924226,0.039037585,0.023928515
6.55,0.034479691,0.0055221059,0.0054044943,20.96,0.00054466289,0.03961752,0.024255369
6.6,0.035034991,0.0056415213,0.0055221059,21.12,0.00056041699,0.040207912,0.024587714
6.65,0.035599221,0.0057627637,0.0056415213,21.28,0.00057650966,0.040808929,0.024925656
6.7,0.036172525,0.0058858566,0.0057627637,21.44,0.00059294607,0.041420739,0.025269303
6.75,0.036755046,0.0060108241,0.0058858566,21.6,0.00060973146,0.042043513,0.025618766
6.8,0.037346934,0.0061376907,0.0060108241,21.76,0.00062687112,0.042677424,0.025974155
6.85,0.037948339,0.0062664813,0.0061376907,21.92,0.00064437044,0.043322648,0.026335582
6.9,0.038559412,0.0063972215,0.0062664813,22.08,0.00066223485,0.043979362,0.02670316
6.95,0.039180309,0.0065299372,0.0063972215,22.24,0.00068046988,0.044647747,0.027077006
7,0.039811188,0.006664655,0.0065299372,22.4,0.00069908111,0.045327986,0.027457235
7.05,0.040452208,0.0068014018,0.006664655,22.56,0.0007180742,0.046020263,0.027843965
7.1,0.041103531,0.0069402052,0.0068014018,22.72,0.00073745491,0.046724769,0.028237315
7.15,0.041765324,0.0070810933,0.0069402052,22.88,0.00075722905,0.047441691,0.028637406
7.2,0.042437752,0.0072240946,0.0070810933,23.04,0.00077740253,0.048171225,0.02904436
7.25,0.043120987,0.0073692385,0.0072240946,23.2,0.00079798133,0.048913567,0.029458302
7.3,0.043815202,0.0075165545,0.0073692385,23.36,0.00081897151,0.049668914,0.029879357
7.35,0.044520573,0.0076660731,0.0075165545,23.52,0.00084037922,0.050437469,0.030307651
