t,delta,psi,x,y,R,delta_needed,start_radius,obstacle_x,obstacle_y,obstacle_radius,clearance,delta_target,dist,started,collision
0,0,0,0,0,140,13.650419,114.7214,145,0,25,41,0,145,0,0
0.05,0,0,0.2,0,140,13.650419,114.7214,145,0,25,41,0,144.8,0,0
0.1,0,0,0.4,0,140,13.650419,114.7214,145,0,25,41,0,144.6,0,0
0.15,0,0,0.6,0,140,13.650419,114.7214,145,0,25,41,0,144.4,0,0
0.2,0,0,0.8,0,140,13.650419,114.7214,145,0,25,41,0,144.2,0,0
0.25,0,0,1,0,140,13.650419,114.7214,145,0,25,41,0,144,0,0
0.3,0,0,1.2,0,140,13.650419,114.7214,145,0,25,41,0,143.8,0,0
0.35,0,0,1.4,0,140,13.650419,114.7214,145,0,25,41,0,143.6,0,0
0.4,0,0,1.6,0,140,13.650419,114.7214,145,0,25,41,0,143.4,0,0
0.45,0,0,1.8,0,140,13.650419,114.7214,145,0,25,41,0,143.2,0,0
0.5,0,0,2,0,140,13.650419,114.7214,145,0,25,41,0,143,0,0
0.55,0,0,2.2,0,140,13.650419,114.7214,145,0,25,41,0,142.8,0,0
0.6,0,0,2.4,0,140,13.650419,114.7214,145,0,25,41,0,142.6,0,0
0.65,0,0,2.6,0,140,13.650419,114.7214,145,0,25,41,0,142.4,0,0
0.7,0,0,2.8,0,140,13.650419,114.7214,145,0,25,41,0,142.2,0,0
0.75,0,0,3,0,140,13.650419,114.7214,145,0,25,41,0,142,0,0
0.8,0,0,3.2,0,140,13.650419,114.7214,145,0,25,41,0,141.8,0,0
0.85,0,0,3.4,0,140,13.650419,114.7214,145,0,25,41,0,141.6,0,0
0.9,0,0,3.6,0,140,13.650419,114.7214,145,0,25,41,0,141.4,0,0
0.95,0,0,3.8,0,140,13.650419,114.7214,145,0,25,41,0,141.2,0,0
1,0,0,4,0,140,13.650419,114.7214,145,0,25,41,0,141,0,0
1.05,0,0,4.2,0,140,13.650419,114.7214,145,0,25,41,0,140.8,0,0
1.1,0,0,4.4,0,140,13.650419,114.7214,145,0,25,41,0,140.6,0,0
1.15,0,0,4.6,0,140,13.650419,114.7214,145,0,25,41,0,140.4,0,0
1.2,0,0,4.8,0,140,13.650419,114.7214,145,0,25,41,0,140.2,0,0
1.25,0,0,5,0,140,13.650419,114.7214,145,0,25,41,0,140,0,0
1.3,0,0,5.2,0,140,13.650419,114.7214,145,0,25,41,0,139.8,0,0
1.35,0,0,5.4,0,140,13.650419,114.7214,145,0,25,41,0,139.6,0,0
1.4,0,0,5.6,0,140,13.650419,114.7214,145,0,25,41,0,139.4,0,0
1.45,0,0,5.8,0,140,13.650419,114.7214,145,0,25,41,0,139.2,0,0
1.5,0,0,6,0,140,13.650419,114.7214,145,0,25,41,0,139,0,0
1.55,0,0,6.2,0,140,13.650419,114.7214,145,0,25,41,0,138.8,0,0
1.6,0,0,6.4,0,140,13.650419,114.7214,145,0,25,41,0,138.6,0,0
1.65,0,0,6.6,0,140,13.650419,114.7214,145,0,25,41,0,138.4,0,0
1.7,0,0,6.8,0,140,13.650419,114.7214,145,0,25,41,0,138.2,0,0
1.75,0,0,7,0,140,13.650419,114.7214,145,0,25,41,0,138,0,0
1.8,0,0,7.2,0,140,13.650419,114.7214,145,0,25,41,0,137.8,0,0
1.85,0,0,7.4,0,140,13.650419,114.7214,145,0,25,41,0,137.6,0,0
1.9,0,0,7.6,0,140,13.650419,114.7214,145,0,25,41,0,137.4,0,0
1.95,0,0,7.8,0,140,13.650419,114.7214,145,0,25,41,0,137.2,0,0
2,0,0,8,0,140,13.650419,114.7214,145,0,25,41,0,137,0,0
2.05,0,0,8.2,0,140,13.650419,114.7214,145,0,25,41,0,136.8,0,0
2.1,0,0,8.4,0,140,13.650419,114.7214,145,0,25,41,0,136.6,0,0
2.15,0,0,8.6,0,140,13.650419,114.7214,145,0,25,41,0,136.4,0,0
2.2,0,0,8.8,0,140,13.650419,114.7214,145,0,25,41,0,136.2,0,0
2.25,0,0,9,0,140,13.650419,114.7214,145,0,25,41,0,136,0,0
2.3,0,0,9.2,0,140,13.650419,114.7214,145,0,25,41,0,135.8,0,0
2.35,0,0,9.4,0,140,13.650419,114.7214,145,0,25,41,0,135.6,0,0
2.4,0,0,9.6,0,140,13.650419,114.7214,145,0,25,41,0,135.4,0,0
