t,delta,psi,x,y,R,delta_needed,start_radius,obstacle_x,obstacle_y,obstacle_radius,clearance,delta_target,dist,started,collision
44.5,13.650419,59.506721,153.18477,69.051122,140,13.650419,114.7214,145,0,25,41,13.650419,69.534509,1,0
44.55,13.650419,59.588572,153.28601,69.223605,140,13.650419,114.7214,145,0,25,41,13.650419,69.717756,1,0
44.6,13.650419,59.670423,153.38701,69.396232,140,13.650419,114.7214,145,0,25,41,13.650419,69.901208,1,0
44.65,13.650419,59.752274,153.48775,69.569003,140,13.650419,114.7214,145,0,25,41,13.650419,70.084864,1,0
44.7,13.650419,59.834125,153.58826,69.741918,140,13.650419,114.7214,145,0,25,41,13.650419,70.268722,1,0
44.75,13.650419,59.915976,153.68851,69.914976,140,13.650419,114.7214,145,0,25,41,13.650419,70.452779,1,0
44.8,13.650419,59.997827,153.78852,70.088177,140,13.650419,114.7214,145,0,25,41,13.650419,70.637034,1,0
44.85,13.650419,60.079679,153.88828,70.261521,140,13.650419,114.7214,145,0,25,41,13.650419,70.821486,1,0
44.9,13.650419,60.16153,153.98779,70.435008,140,13.650419,114.7214,145,0,25,41,13.650419,71.006131,1,0
44.95,13.650419,60.243381,154.08705,70.608636,140,13.650419,114.7214,145,0,25,41,13.650419,71.190968,1,0
45,13.650419,60.325232,154.18607,70.782406,140,13.650419,114.7214,145,0,25,41,13.650419,71.375996,1,0
45.05,13.650419,60.407083,154.28483,70.956317,140,13.650419,114.7214,145,0,25,41,13.650419,71.561212,1,0
45.1,13.650419,60.488934,154.38335,71.130369,140,13.650419,114.7214,145,0,25,41,13.650419,71.746614,1,0
45.15,13.650419,60.570785,154.48162,71.304562,140,13.650419,114.7214,145,0,25,41,13.650419,71.932202,1,0
45.2,13.650419,60.652636,154.57964,71.478895,140,13.650419,114.7214,145,0,25,41,13.650419,72.117972,1,0
45.25,13.650419,60.734487,154.67741,71.653367,140,13.650419,114.7214,145,0,25,41,13.650419,72.303924,1,0
45.3,13.650419,60.816339,154.77493,71.82798,140,13.650419,114.7214,145,0,25,41,13.650419,72.490055,1,0
45.35,13.650419,60.89819,154.87221,72.002731,140,13.650419,114.7214,145,0,25,41,13.650419,72.676363,1,0
45.4,13.650419,60.980041,154.96923,72.177621,140,13.650419,114.7214,145,0,25,41,13.650419,72.862848,1,0
45.45,13.650419,61.061892,155.066,72.35265,140,13.650419,114.7214,145,0,25,41,13.650419,73.049506,1,0
45.5,13.650419,61.143743,155.16253,72.527816,140,13.650419,114.7214,145,0,25,41,13.650419,73.236337,1,0
45.55,13.650419,61.225594,155.2588,72.703121,140,13.650419,114.7214,145,0,25,41,13.650419,73.423339,1,0
45.6,13.650419,61.307445,155.35482,72.878563,140,13.650419,114.7214,145,0,25,41,13.650419,73.61051,1,0
45.65,13.650419,61.389296,155.45059,73.054141,140,13.650419,114.7214,145,0,25,41,13.650419,73.797848,1,0
45.7,13.650419,61.471147,155.54611,73.229857,140,13.650419,114.7214,145,0,25,41,13.650419,73.985352,1,0
45.75,13.650419,61.552999,155.64138,73.405708,140,13.650419,114.7214,145,0,25,41,13.650419,74.173021,1,0
45.8,13.650419,61.63485,155.7364,73.581696,140,13.650419,114.7214,145,0,25,41,13.650419,74.360851,1,0
45.85,13.650419,61.716701,155.83116,73.757819,140,13.650419,114.7214,145,0,25,41,13.650419,74.548843,1,0
45.9,13.650419,61.798552,155.92568,73.934077,140,13.650419,114.7214,145,0,25,41,13.650419,74.736994,1,0
45.95,13.650419,61.880403,156.01994,74.11047,140,13.650419,114.7214,145,0,25,41,13.650419,74.925302,1,0
46,13.650419,61.962254,156.11395,74.286998,140,13.650419,114.7214,145,0,25,41,13.650419,75.113767,1,0
46.05,13.650419,62.044105,156.20771,74.46366,140,13.650419,114.7214,145,0,25,41,13.650419,75.302386,1,0
46.1,13.650419,62.125956,156.30122,74.640455,140,13.650419,114.7214,145,0,25,41,13.650419,75.491159,1,0
46.15,13.650419,62.207808,156.39447,74.817384,140,13.650419,114.7214,145,0,25,41,13.650419,75.680083,1,0
46.2,13.650419,62.289659,156.48747,74.994446,140,13.650419,114.7214,145,0,25,41,13.650419,75.869156,1,0
46.25,13.650419,62.37151,156.58022,75.171641,140,13.650419,114.7214,145,0,25,41,13.650419,76.058379,1,0
46.3,13.650419,62.453361,156.67271,75.348968,140,13.650419,114.7214,145,0,25,41,13.650419,76.247748,1,0
46.35,13.650419,62.535212,156.76495,75.526426,140,13.650419,114.7214,145,0,25,41,13.650419,76.437263,1,0
46.4,13.650419,62.617063,156.85694,75.704017,140,13.650419,114.7214,145,0,25,41,13.650419,76.626922,1,0
46.45,13.650419,62.698914,156.94867,75.881739,140,13.650419,114.7214,145,0,25,41,13.650419,76.816724,1,0
46.5,13.650419,62.780765,157.04015,76.059591,140,13.650419,114.7214,145,0,25,41,13.650419,77.006666,1,0
46.55,13.650419,62.862616,157.13138,76.237574,140,13.650419,114.7214,145,0,25,41,13.650419,77.196749,1,0
46.6,13.650419,62.944468,157.22235,76.415687,140,13.650419,114.7214,145,0,25,41,13.650419,77.38697,1,0
46.65,13.650419,63.026319,157.31306,76.59393,140,13.650419,114.7214,145,0,25,41,13.650419,77.577327,1,0
46.7,13.650419,63.10817,157.40353,76.772303,140,13.650419,114.7214,145,0,25,41,13.650419,77.767821,1,0
46.75,13.650419,63.190021,157.49373,76.950804,140,13.650419,114.7214,145,0,25,41,13.650419,77.958448,1,0
46.8,13.650419,63.271872,157.58368,77.129434,140,13.650419,114.7214,145,0,25,41,13.650419,78.149208,1,0
46.85,13.650419,63.353723,157.67338,77.308193,140,13.650419,114.7214,145,0,25,41,13.650419,78.3401,1,0
46.9,13.650419,63.435574,157.76282,77.487079,140,13.650419,114.7214,145,0,25,41,13.650419,78.531122,1,0
46.95,13.650419,63.517425,157.85201,77.666093,140,13.650419,114.7214,145,0,25,41,13.650419,78.722272,1,0
47,13.650419,63.599276,157.94094,77.845235,140,13.650419,114.7214,145,0,25,41,13.650419,78.91355,1,0
47.05,13.650419,63.681128,158.02961,78.024503,140,13.650419,114.7214,145,0,25,41,13.650419,79.104954,1,0
47.1,13.650419,63.762979,158.11803,78.203897,140,13.650419,114.7214,145,0,25,41,13.650419,79.296483,1,0
47.15,13.650419,63.84483,158.20619,78.383418,140,13.650419,114.7214,145,0,25,41,13.650419,79.488135,1,0
47.2,13.650419,63.926681,158.29409,78.563064,140,13.650419,114.7214,145,0,25,41,13.650419,79.679909,1,0
47.25,13.650419,64.008532,158.38174,78.742836,140,13.650419,114.7214,145,0,25,41,13.650419,79.871805,1,0
47.3,13.650419,64.090383,158.46913,78.922733,140,13.650419,114.7214,145,0,25,41,13.650419,80.06382,1,0
47.35,13.650419,64.172234,158.55626,79.102755,140,13.650419,114.7214,145,0,25,41,13.650419,80.255953,1,0
47.4,13.650419,64.254085,158.64314,79.282901,140,13.650419,114.7214,145,0,25,41,13.650419,80.448204,1,0
47.45,13.650419,64.335936,158.72976,79.46317,140,13.650419,114.7214,145,0,25,41,13.650419,80.640571,1,0
47.5,13.650419,64.417788,158.81612,79.643564,140,13.650419,114.7214,145,0,25,41,13.650419,80.833052,1,0
47.55,13.650419,64.499639,158.90222,79.82408,140,13.650419,114.7214,145,0,25,41,13.650419,81.025647,1,0
47.6,13.650419,64.58149,158.98807,80.00472,140,13.650419,114.7214,145,0,25,41,13.650419,81.218355,1,0
47.65,13.650419,64.663341,159.07365,80.185481,140,13.650419,114.7214,145,0,25,41,13.650419,81.411173,1,0
47.7,13.650419,64.745192,159.15898,80.366365,140,13.650419,114.7214,145,0,25,41,13.650419,81.604102,1,0
47.75,13.650419,64.827043,159.24405,80.547371,140,13.650419,114.7214,145,0,25,41,13.650419,81.797139,1,0
47.8,13.650419,64.908894,159.32887,80.728498,140,13.650419,114.7214,145,0,25,41,13.650419,81.990284,1,0
47.85,13.650419,64.990745,159.41342,80.909746,140,13.650419,114.7214,145,0,25,41,13.650419,82.183536,1,0
47.9,13.650419,65.072596,159.49771,81.091114,140,13.650419,114.7214,145,0,25,41,13.650419,82.376893,1,0
47.95,13.650419,65.154448,159.58175,81.272603,140,13.650419,114.7214,145,0,25,41,13.650419,82.570354,1,0
48,13.650419,65.236299,159.66552,81.454211,140,13.650419,114.7214,145,0,25,41,13.650419,82.763918,1,0
48.05,13.650419,65.31815,159.74904,81.63594,140,13.650419,114.7214,145,0,25,41,13.650419,82.957584,1,0
48.1,13.650419,65.400001,159.83229,81.817787,140,13.650419,114.7214,145,0,25,41,13.650419,83.151351,1,0
48.15,13.650419,65.481852,159.91529,81.999753,140,13.650419,114.7214,145,0,25,41,13.650419,83.345218,1,0
48.2,13.650419,65.563703,159.99803,82.181837,140,13.650419,114.7214,145,0,25,41,13.650419,83.539183,1,0
48.25,13.650419,65.645554,160.0805,82.364039,140,13.650419,114.7214,145,0,25,41,13.650419,83.733246,1,0
48.3,13.650419,65.727405,160.16272,82.546359,140,13.650419,114.7214,145,0,25,41,13.650419,83.927406,1,0
48.35,13.650419,65.809257,160.24467,82.728797,140,13.650419,114.7214,145,0,25,41,13.650419,84.121661,1,0
48.4,13.650419,65.891108,160.32637,82.911351,140,13.650419,114.7214,145,0,25,41,13.650419,84.316011,1,0
48.45,13.650419,65.972959,160.4078,83.094022,140,13.650419,114.7214,145,0,25,41,13.650419,84.510454,1,0
48.5,13.650419,66.05481,160.48897,83.276808,140,13.650419,114.7214,145,0,25,41,13.650419,84.704989,1,0
48.55,13.650419,66.136661,160.56989,83.459711,140,13.650419,114.7214,145,0,25,41,13.650419,84.899615,1,0
48.6,13.650419,66.218512,160.65054,83.642729,140,13.650419,114.7214,145,0,25,41,13.650419,85.094332,1,0
48.65,13.650419,66.300363,160.73092,83.825862,140,13.650419,114.7214,145,0,25,41,13.650419,85.289138,1,0
48.7,13.650419,66.382214,160.81105,84.00911,140,13.650419,114.7214,145,0,25,41,13.650419,85.484033,1,0
48.75,13.650419,66.464065,160.89092,84.192472,140,13.650419,114.7214,145,0,25,41,13.650419,85.679014,1,0
48.8,13.650419,66.545917,160.97052,84.375948,140,13.650419,114.7214,145,0,25,41,13.650419,85.874082,1,0
48.85,13.650419,66.627768,161.04986,84.559537,140,13.650419,114.7214,145,0,25,41,13.650419,86.069235,1,0
48.9,13.650419,66.709619,161.12894,84.743239,140,13.650419,114.7214,145,0,25,41,13.650419,86.264473,1,0
48.95,13.650419,66.79147,161.20775,84.927055,140,13.650419,114.7214,145,0,25,41,13.650419,86.459793,1,0
49,13.650419,66.873321,161.28631,85.110983,140,13.650419,114.7214,145,0,25,41,13.650419,86.655197,1,0
49.05,13.650419,66.955172,161.3646,85.295022,140,13.650419,114.7214,145,0,25,41,13.650419,86.850681,1,0
49.1,13.650419,67.037023,161.44262,85.479174,140,13.650419,114.7214,145,0,25,41,13.650419,87.046246,1,0
49.15,13.650419,67.118874,161.52039,85.663436,140,13.650419,114.7214,145,0,25,41,13.650419,87.241891,1,0
49.2,13.650419,67.200725,161.59789,85.84781,140,13.650419,114.7214,145,0,25,41,13.650419,87.437614,1,0
49.25,13.650419,67.282577,161.67513,86.032294,140,13.650419,114.7214,145,0,25,41,13.650419,87.633415,1,0
49.3,13.650419,67.364428,161.7521,86.216889,140,13.650419,114.7214,145,0,25,41,13.650419,87.829293,1,0
49.35,13.650419,67.446279,161.82881,86.401593,140,13.650419,114.7214,145,0,25,41,13.650419,88.025246,1,0
49.4,13.650419,67.52813,161.90525,86.586406,140,13.650419,114.7214,145,0,25,41,13.650419,88.221275,1,0
49.45,13.650419,67.609981,161.98144,86.771329,140,13.650419,114.7214,145,0,25,41,13.650419,88.417378,1,0
49.5,13.650419,67.691832,162.05735,86.95636,140,13.650419,114.7214,145,0,25,41,13.650419,88.613553,1,0
49.55,13.650419,67.773683,162.13301,87.141499,140,13.650419,114.7214,145,0,25,41,13.650419,88.809801,1,0
49.6,13.650419,67.855534,162.2084,87.326746,140,13.650419,114.7214,145,0,25,41,13.650419,89.006121,1,0
49.65,13.650419,67.937385,162.28352,87.512101,140,13.650419,114.7214,145,0,25,41,13.650419,89.202511,1,0
49.7,13.650419,68.019237,162.35838,87.697563,140,13.650419,114.7214,145,0,25,41,13.650419,89.39897,1,0
49.75,13.650419,68.101088,162.43297,87.883132,140,13.650419,114.7214,145,0,25,41,13.650419,89.595499,1,0
49.8,13.650419,68.182939,162.5073,88.068807,140,13.650419,114.7214,145,0,25,41,13.650419,89.792095,1,0
49.85,13.650419,68.26479,162.58137,88.254588,140,13.650419,114.7214,145,0,25,41,13.650419,89.988759,1,0
49.9,13.650419,68.346641,162.65516,88.440474,140,13.650419,114.7214,145,0,25,41,13.650419,90.185488,1,0
49.95,13.650419,68.428492,162.7287,88.626466,140,13.650419,114.7214,145,0,25,41,13.650419,90.382284,1,0
50,13.650419,68.510343,162.80196,88.812563,140,13.650419,114.7214,145,0,25,41,13.650419,90.579143,1,0
50.05,13.650419,68.592194,162.87496,88.998764,140,13.650419,114.7214,145,0,25,41,13.650419,90.776067,1,0
50.1,13.650419,68.674045,162.9477,89.18507,140,13.650419,114.7214,145,0,25,41,13.650419,90.973054,1,0
50.15,13.650419,68.755897,163.02017,89.371479,140,13.650419,114.7214,145,0,25,41,13.650419,91.170103,1,0
