minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
93,5.14605,5.13231,0.42055,0.00000,0.00000,17.57437,2
94,5.14185,5.13237,0.42015,0.00000,0.00000,17.42390,2
95,5.13738,5.13240,0.41955,0.00000,0.00000,16.99731,2
96,5.13200,5.13242,0.41840,0.00000,0.00000,17.86876,2
97,5.12885,5.13242,0.41852,0.00000,0.00000,17.76823,2
98,5.12551,5.13241,0.41832,0.00000,0.00000,17.91895,2
99,5.12258,5.13238,0.41833,0.00000,0.00000,17.21468,2
100,5.11801,5.13234,0.41735,0.00000,0.00000,17.83026,2
101,5.11504,5.13228,0.41735,0.00000,0.00000,17.15028,2
102,5.11050,5.13222,0.41631,0.00000,0.00000,17.48018,2
103,5.10688,5.13213,0.41586,0.00000,0.00000,17.99500,2
104,5.10457,5.13203,0.41604,0.00000,0.00000,18.04054,2
105,5.10239,5.13192,0.41615,0.00000,0.00000,18.30158,2
106,5.10084,5.13180,0.41658,0.00000,0.00000,17.43999,2
107,5.09723,5.13168,0.41579,0.00000,0.00000,16.99531,2
108,5.09267,5.13154,0.41460,0.00000,0.00000,17.84794,2
109,5.09029,5.13138,0.41465,0.00000,0.00000,17.42365,2
110,5.08693,5.13122,0.41395,0.00000,0.00000,17.26521,2
111,5.08330,5.13104,0.41314,0.00000,0.00000,17.20091,2
112,5.07961,5.13085,0.41229,0.00000,0.00000,18.20785,2
113,5.07845,5.13065,0.41280,0.00000,0.00000,17.33522,2
114,5.07517,5.13044,0.41193,0.00000,0.00000,17.66259,2
115,5.07279,5.13022,0.41168,0.00000,0.00000,17.39475,2
116,5.06982,5.12999,0.41101,0.00000,0.00000,17.58172,2
117,5.06738,5.12974,0.41065,0.00000,0.00000,17.41174,2
118,5.06460,5.12950,0.41003,0.00000,0.00000,18.17109,2
119,5.06371,5.12924,0.41046,0.00000,0.00000,17.57182,2
120,5.06136,5.12897,0.40992,0.00000,0.00000,17.65798,2
121,5.05930,5.12870,0.40963,0.00000,0.00000,17.78717,2
122,5.05759,5.12843,0.40948,0.00000,0.00000,17.60859,2
123,5.05548,5.12814,0.40908,0.00000,0.00000,17.62821,2
124,5.05348,5.12785,0.40873,0.00000,0.00000,17.51435,2
125,5.05126,5.12755,0.40824,0.00000,0.00000,17.78171,2
126,5.04974,5.12725,0.40813,0.00000,0.00000,17.84085,2
127,5.04839,5.12694,0.40804,0.00000,0.00000,17.98922,2
128,5.04741,5.12662,0.40813,0.00000,0.00000,17.58507,2
129,5.04547,5.12631,0.40765,1.00000,0.00000,17.87661,2
130,5.08429,5.12598,0.42524,1.00000,0.00000,17.43971,2
131,5.12014,5.12582,0.43834,1.00000,0.00000,17.16417,2
132,5.15381,5.12580,0.45085,1.00000,0.00000,18.15739,2
133,5.18840,5.12591,0.46442,1.00000,0.00000,17.44487,2
134,5.21975,5.12616,0.47648,0.00000,0.00000,17.90204,2
135,5.21081,5.12653,0.47138,0.00000,0.00000,18.20153,2
136,5.20311,5.12687,0.47010,0.00000,0.00000,18.23913,2
137,5.19571,5.12717,0.46881,0.00000,0.00000,17.82642,2
138,5.18754,5.12745,0.46698,0.00000,0.00000,17.64919,2
139,5.17919,5.12769,0.46502,0.00000,0.00000,18.08641,2
140,5.17216,5.12789,0.46372,0.00000,0.00000,17.64655,2
141,5.16429,5.12807,0.46177,0.00000,0.00000,17.68626,2
142,5.15677,5.12822,0.45999,0.00000,0.00000,17.44132,2
143,5.14890,5.12833,0.45792,0.00000,0.00000,18.22871,2
144,5.14319,5.12841,0.45699,0.00000,0.00000,18.03970,2
145,5.13718,5.12847,0.45565,0.00000,0.00000,17.66947,2
146,5.13047,5.12851,0.45388,0.00000,0.00000,17.59222,2
147,5.12381,5.12851,0.45212,0.00000,0.00000,17.57109,2
148,5.11733,5.12850,0.45039,0.00000,0.00000,17.67532,2
149,5.11132,5.12845,0.44883,0.00000,0.00000,17.53909,2
150,5.10518,5.12838,0.44711,0.00000,0.00000,17.13403,2
