minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
93,5.20169,5.14404,0.41504,0.00000,0.00000,17.57437,2
94,5.19732,5.14427,0.41522,0.00000,0.00000,17.42390,2
95,5.19264,5.14448,0.41520,0.00000,0.00000,16.99731,2
96,5.18701,5.14468,0.41469,0.00000,0.00000,17.86876,2
97,5.18357,5.14485,0.41529,0.00000,0.00000,17.76823,2
98,5.17988,5.14500,0.41556,0.00000,0.00000,17.91895,2
99,5.17659,5.14514,0.41601,0.00000,0.00000,17.21468,2
100,5.17163,5.14527,0.41556,0.00000,0.00000,17.83026,2
101,5.16824,5.14537,0.41597,0.00000,0.00000,17.15028,2
102,5.16324,5.14546,0.41543,0.00000,0.00000,17.48018,2
103,5.15914,5.14553,0.41541,0.00000,0.00000,17.99500,2
104,5.15632,5.14559,0.41592,0.00000,0.00000,18.04054,2
105,5.15361,5.14563,0.41635,0.00000,0.00000,18.30158,2
106,5.15152,5.14566,0.41706,0.00000,0.00000,17.43999,2
107,5.14735,5.14569,0.41666,0.00000,0.00000,16.99531,2
108,5.14221,5.14569,0.41589,0.00000,0.00000,17.84794,2
109,5.13922,5.14568,0.41624,0.00000,0.00000,17.42365,2
110,5.13524,5.14565,0.41588,0.00000,0.00000,17.26521,2
111,5.13097,5.14561,0.41541,0.00000,0.00000,17.20091,2
112,5.12663,5.14555,0.41489,0.00000,0.00000,18.20785,2
113,5.12479,5.14548,0.41559,0.00000,0.00000,17.33522,2
114,5.12084,5.14540,0.41501,0.00000,0.00000,17.66259,2
115,5.11777,5.14530,0.41500,0.00000,0.00000,17.39475,2
116,5.11410,5.14519,0.41458,0.00000,0.00000,17.58172,2
117,5.11096,5.14506,0.41445,0.00000,0.00000,17.41174,2
118,5.10746,5.14493,0.41406,0.00000,0.00000,18.17109,2
119,5.10585,5.14478,0.41461,0.00000,0.00000,17.57182,2
120,5.10278,5.14462,0.41426,0.00000,0.00000,17.65798,2
121,5.09999,5.14445,0.41414,0.00000,0.00000,17.78717,2
122,5.09755,5.14428,0.41414,0.00000,0.00000,17.60859,2
123,5.09471,5.14409,0.41389,0.00000,0.00000,17.62821,2
124,5.09198,5.14389,0.41370,0.00000,0.00000,17.51435,2
125,5.08903,5.14368,0.41336,0.00000,0.00000,17.78171,2
126,5.08677,5.14346,0.41336,0.00000,0.00000,17.84085,2
127,5.08469,5.14324,0.41337,0.00000,0.00000,17.98922,2
128,5.08298,5.14300,0.41353,0.00000,0.00000,17.58507,2
129,5.08031,5.14276,0.41316,1.00000,0.00000,17.87661,2
130,5.11841,5.14251,0.43323,1.00000,0.00000,17.43971,2
131,5.15335,5.14242,0.44883,1.00000,0.00000,17.16417,2
132,5.18592,5.14246,0.46386,1.00000,0.00000,18.15739,2
133,5.21922,5.14263,0.47976,1.00000,0.00000,17.44487,2
134,5.24912,5.14294,0.49424,0.00000,0.00000,17.90204,2
135,5.23855,5.14337,0.48905,0.00000,0.00000,18.20153,2
136,5.22926,5.14375,0.48764,0.00000,0.00000,18.23913,2
137,5.22029,5.14409,0.48619,0.00000,0.00000,17.82642,2
138,5.21058,5.14439,0.48426,0.00000,0.00000,17.64919,2
139,5.20074,5.14466,0.48222,0.00000,0.00000,18.08641,2
140,5.19223,5.14488,0.48076,0.00000,0.00000,17.64655,2
141,5.18291,5.14507,0.47870,0.00000,0.00000,17.68626,2
142,5.17397,5.14522,0.47681,0.00000,0.00000,17.44132,2
143,5.16472,5.14534,0.47464,0.00000,0.00000,18.22871,2
144,5.15765,5.14542,0.47348,0.00000,0.00000,18.03970,2
145,5.15031,5.14546,0.47196,0.00000,0.00000,17.66947,2
146,5.14231,5.14548,0.47005,0.00000,0.00000,17.59222,2
147,5.13438,5.14547,0.46815,0.00000,0.00000,17.57109,2
148,5.12666,5.14543,0.46626,0.00000,0.00000,17.67532,2
149,5.11944,5.14535,0.46454,0.00000,0.00000,17.53909,2
150,5.11213,5.14525,0.46266,0.00000,0.00000,17.13403,2
151,5.10410,5.14512,0.46035,0.00000,0.00000,18.07888,2
152,5.09861,5.14495,0.45929,0.00000,0.00000,17.26046,2
153,5.09133,5.14477,0.45707,0.00000,0.00000,18.04050,2
154,5.08617,5.14455,0.45599,0.00000,0.00000,17.77124,2
