minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
2775,5.20236,5.19614,0.57165,0.00000,0.00000,18.34510,2
2776,5.18785,5.19616,0.22530,0.00000,0.00000,18.53413,3
2777,5.20169,5.19613,0.57064,0.00000,0.00000,18.60943,2
2778,5.18790,5.19615,0.22462,0.00000,0.00000,18.88824,3
2779,5.20264,5.19612,0.57036,0.00000,0.00000,17.62144,2
2780,5.18651,5.19614,0.22322,0.00000,0.00000,18.54593,3
2781,5.20057,5.19611,0.56867,0.00000,0.00000,18.99016,2
2782,5.18786,5.19612,0.22317,0.00000,0.00000,18.19101,3
2783,5.20105,5.19609,0.56804,0.00000,0.00000,18.41226,2
2784,5.18701,5.19611,0.22202,0.00000,0.00000,18.71253,3
2785,5.20155,5.19607,0.56759,0.00000,0.00000,18.13460,2
2786,5.18688,5.19610,0.22116,0.00000,0.00000,18.72369,3
2787,5.20152,5.19606,0.56682,0.00000,0.00000,18.08001,2
2788,5.18677,5.19608,0.22035,0.00000,0.00000,18.03647,3
2789,5.19984,5.19604,0.27624,0.00000,0.00000,17.85507,3
2790,5.20783,5.19606,0.56548,0.00000,0.00000,18.49746,2
2791,5.19411,5.19611,0.21953,0.00000,0.00000,18.18167,3
2792,5.20749,5.19610,0.56511,0.00000,0.00000,18.23400,2
2793,5.19317,5.19614,0.21850,0.00000,0.00000,18.41548,3
2794,5.20721,5.19613,0.56438,0.00000,0.00000,18.70481,2
2795,5.19407,5.19618,0.21823,0.00000,0.00000,17.95040,3
2796,5.20701,5.19617,0.56354,0.00000,0.00000,18.78689,2
2797,5.19414,5.19621,0.21761,0.00000,0.00000,18.36707,3
2798,5.20812,5.19620,0.56343,0.00000,0.00000,17.94858,2
2799,5.19325,5.19625,0.21649,0.00000,0.00000,17.96005,3
2800,5.20636,5.19624,0.56196,0.00000,0.00000,18.27242,2
2801,5.19240,5.19628,0.21560,0.00000,0.00000,17.92707,3
2802,5.20552,5.19626,0.56092,0.00000,0.00000,18.36347,2
2803,5.19187,5.19630,0.21476,0.00000,0.00000,18.35194,3
2804,5.20607,5.19628,0.56055,0.00000,0.00000,17.99478,2
2805,5.19157,5.19632,0.21390,0.00000,0.00000,17.30533,3
2806,5.20335,5.19630,0.55852,0.00000,0.00000,17.59794,2
2807,5.18811,5.19633,0.21194,0.00000,0.00000,19.12312,3
2808,5.20442,5.19630,0.55860,0.00000,0.00000,17.90001,2
2809,5.18987,5.19633,0.21187,0.00000,0.00000,17.91382,3
2810,5.20329,5.19630,0.55717,0.00000,0.00000,17.96354,2
2811,5.18902,5.19633,0.21088,0.00000,0.00000,18.38113,3
2812,5.20364,5.19630,0.55668,0.00000,0.00000,17.74149,2
2813,5.18887,5.19633,0.21006,0.00000,0.00000,17.84530,3
2814,5.20229,5.19630,0.55529,0.00000,0.00000,17.27565,2
2815,5.18654,5.19633,0.20844,0.00000,0.00000,17.97652,3
2816,5.20043,5.19629,0.55379,0.00000,0.00000,17.64796,2
2817,5.18572,5.19630,0.20747,0.00000,0.00000,17.62755,3
2818,5.19886,5.19626,0.26338,0.00000,0.00000,18.51393,3
2819,5.20946,5.19627,0.55383,0.00000,0.00000,18.32017,2
2820,5.19623,5.19633,0.20776,0.00000,0.00000,18.07899,3
2821,5.21028,5.19632,0.55382,0.00000,0.00000,18.25250,2
2822,5.19688,5.19638,0.20735,0.00000,0.00000,17.93633,3
