idx,a
1,0.000000000000
2,0.012531328321
3,0.025062656642
4,0.037593984962
5,0.050125313283
6,0.062656641604
7,0.075187969925
8,0.087719298246
9,0.100250626566
10,0.112781954887
11,0.125313283208
12,0.137844611529
13,0.150375939850
14,0.162907268170
15,0.175438596491
16,0.187969924812
17,0.200501253133
18,0.213032581454
19,0.225563909774
20,0.238095238095
21,0.250626566416
22,0.263157894737
23,0.275689223058
24,0.288220551378
25,0.300751879699
26,0.313283208020
27,0.325814536341
28,0.338345864662
29,0.350877192982
30,0.363408521303
31,0.375939849624
32,0.388471177945
33,0.401002506266
34,0.413533834586
35,0.426065162907
36,0.438596491228
37,0.451127819549
38,0.463659147870
39,0.476190476190
40,0.488721804511
41,0.501253132832
42,0.513784461153
43,0.526315789474
44,0.538847117794
45,0.551378446115
46,0.563909774436
47,0.576441102757
48,0.588972431078
49,0.601503759398
50,0.614035087719
51,0.626566416040
52,0.639097744361
53,0.651629072682
54,0.664160401003
55,0.676691729323
56,0.689223057644
57,0.701754385965
58,0.714285714286
59,0.726817042607
60,0.739348370927
61,0.751879699248
62,0.764411027569
63,0.776942355890
64,0.789473684211
65,0.802005012531
66,0.814536340852
67,0.827067669173
68,0.839598997494
69,0.852130325815
70,0.864661654135
71,0.877192982456
72,0.889724310777
73,0.902255639098
74,0.914786967419
75,0.927318295739
76,0.939849624060
77,0.952380952381
78,0.964912280702
79,0.977443609023
80,0.989974937343
81,1.002506265664
82,1.015037593985
83,1.027568922306
84,1.040100250627
85,1.052631578947
86,1.065162907268
87,1.077694235589
88,1.090225563910
89,1.102756892231
90,1.115288220551
91,1.127819548872
92,1.140350877193
93,1.152882205514
94,1.165413533835
95,1.177944862155
96,1.190476190476
97,1.203007518797
98,1.215538847118
99,1.228070175439
100,1.240601503759
101,1.253132832080
102,1.265664160401
103,1.278195488722
104,1.290726817043
105,1.303258145363
106,1.315789473684
107,1.328320802005
108,1.340852130326
109,1.353383458647
110,1.365914786967
111,1.378446115288
112,1.390977443609
113,1.403508771930
114,1.416040100251
115,1.428571428571
116,1.441102756892
117,1.453634085213
118,1.466165413534
119,1.478696741855
120,1.491228070175
121,1.503759398496
122,1.516290726817
123,1.528822055138
124,1.541353383459
125,1.553884711779
126,1.566416040100
127,1.578947368421
128,1.591478696742
129,1.604010025063
130,1.616541353383
131,1.629072681704
132,1.641604010025
133,1.654135338346
134,1.666666666667
135,1.679197994987
136,1.691729323308
137,1.704260651629
138,1.716791979950
139,1.729323308271
140,1.741854636591
141,1.754385964912
142,1.766917293233
143,1.779448621554
144,1.791979949875
145,1.804511278195
146,1.817042606516
147,1.829573934837
148,1.842105263158
149,1.854636591479
150,1.867167919799
151,1.879699248120
152,1.892230576441
153,1.904761904762
154,1.917293233083
155,1.929824561404
156,1.942355889724
157,1.954887218045
158,1.967418546366
159,1.979949874687
160,1.992481203008
161,2.005012531328
162,2.017543859649
163,2.030075187970
164,2.042606516291
165,2.055137844612
166,2.067669172932
167,2.080200501253
168,2.092731829574
169,2.105263157895
170,2.117794486216
171,2.130325814536
172,2.142857142857
173,2.155388471178
174,2.167919799499
175,2.180451127820
176,2.192982456140
177,2.205513784461
178,2.218045112782
179,2.230576441103
180,2.243107769424
181,2.255639097744
182,2.268170426065
183,2.280701754386
184,2.293233082707
185,2.305764411028
186,2.318295739348
187,2.330827067669
188,2.343358395990
189,2.355889724311
190,2.368421052632
191,2.380952380952
192,2.393483709273
193,2.406015037594
194,2.418546365915
195,2.431077694236
196,2.443609022556
197,2.456140350877
198,2.468671679198
199,2.481203007519
200,2.493734335840
201,2.506265664160
202,2.518796992481
203,2.531328320802
204,2.543859649123
205,2.556390977444
206,2.568922305764
207,2.581453634085
208,2.593984962406
209,2.606516290727
210,2.619047619048
211,2.631578947368
212,2.644110275689
213,2.656641604010
214,2.669172932331
215,2.681704260652
216,2.694235588972
217,2.706766917293
218,2.719298245614
219,2.731829573935
220,2.744360902256
221,2.756892230576
222,2.769423558897
223,2.781954887218
224,2.794486215539
225,2.807017543860
226,2.819548872180
227,2.832080200501
228,2.844611528822
229,2.857142857143
230,2.869674185464
231,2.882205513784
232,2.894736842105
233,2.907268170426
234,2.919799498747
235,2.932330827068
236,2.944862155388
237,2.957393483709
238,2.969924812030
239,2.982456140351
240,2.994987468672
241,3.007518796992
242,3.020050125313
243,3.032581453634
244,3.045112781955
245,3.057644110276
246,3.070175438596
247,3.082706766917
248,3.095238095238
249,3.107769423559
250,3.120300751880
251,3.132832080201
252,3.145363408521
253,3.157894736842
254,3.170426065163
255,3.182957393484
