version,K,w,mag_db,phase_deg
A,0.200000000000,0.001000000000,-0.011269779426,-3.578652649787
A,0.200000000000,0.001011594030,-0.011532310459,-3.620088682647
A,0.200000000000,0.001023322482,-0.011800949847,-3.662003195598
A,0.200000000000,0.001035186914,-0.012075839373,-3.704401668449
A,0.200000000000,0.001047188903,-0.012357124086,-3.747289642183
A,0.200000000000,0.001059330043,-0.012644952389,-3.790672719560
A,0.200000000000,0.001071611947,-0.012939476111,-3.834556565761
A,0.200000000000,0.001084036249,-0.013240850586,-3.878946909063
A,0.200000000000,0.001096604598,-0.013549234730,-3.923849541368
A,0.200000000000,0.001109318665,-0.013864791125,-3.969270318997
A,0.200000000000,0.001122180139,-0.014187686103,-4.015215163206
A,0.200000000000,0.001135190730,-0.014518089832,-4.061690060906
A,0.200000000000,0.001148352166,-0.014856176401,-4.108701065316
A,0.200000000000,0.001161666196,-0.015202123913,-4.156254296604
A,0.200000000000,0.001175134589,-0.015556114570,-4.204355942572
A,0.200000000000,0.001188759135,-0.015918334776,-4.253012259284
A,0.200000000000,0.001202541645,-0.016288975218,-4.302229571808
A,0.200000000000,0.001216483949,-0.016668230981,-4.352014274802
A,0.200000000000,0.001230587901,-0.017056301636,-4.402372833285
A,0.200000000000,0.001244855374,-0.017453391341,-4.453311783237
A,0.200000000000,0.001259288265,-0.017859708953,-4.504837732367
A,0.200000000000,0.001273888492,-0.018275468129,-4.556957360715
A,0.200000000000,0.001288657994,-0.018700887434,-4.609677421405
A,0.200000000000,0.001303598734,-0.019136190457,-4.663004741313
A,0.200000000000,0.001318712697,-0.019581605918,-4.716946221807
A,0.200000000000,0.001334001892,-0.020037367790,-4.771508839380
A,0.200000000000,0.001349468351,-0.020503715413,-4.826699646389
A,0.200000000000,0.001365114128,-0.020980893618,-4.882525771788
A,0.200000000000,0.001380941302,-0.021469152850,-4.938994421764
A,0.200000000000,0.001396951978,-0.021968749294,-4.996112880545
A,0.200000000000,0.001413148281,-0.022479945004,-5.053888511026
A,0.200000000000,0.001429532365,-0.023003008034,-5.112328755499
A,0.200000000000,0.001446106407,-0.023538212577,-5.171441136416
A,0.200000000000,0.001462872609,-0.024085839097,-5.231233257051
A,0.200000000000,0.001479833198,-0.024646174475,-5.291712802250
A,0.200000000000,0.001496990429,-0.025219512148,-5.352887539138
A,0.200000000000,0.001514346582,-0.025806152260,-5.414765317808
A,0.200000000000,0.001531903962,-0.026406401807,-5.477354072129
A,0.200000000000,0.001549664903,-0.027020574796,-5.540661820343
A,0.200000000000,0.001567631765,-0.027648992398,-5.604696665868
A,0.200000000000,0.001585806935,-0.028291983106,-5.669466798009
A,0.200000000000,0.001604192829,-0.028949882901,-5.734980492664
A,0.200000000000,0.001622791890,-0.029623035417,-5.801246112992
A,0.200000000000,0.001641606588,-0.030311792115,-5.868272110227
A,0.200000000000,0.001660639425,-0.031016512449,-5.936067024309
A,0.200000000000,0.001679892929,-0.031737564049,-6.004639484642
