t,ref_deg,out_deg,x_ref_nm,y_ref_nm,x_out_nm,y_out_nm
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.500000000000,3.000000000000,0.000131682360,0.002081905765,0.000054516621,0.002083333333,0.000000002394
1.000000000000,6.000000000000,0.001750505769,0.004158105172,0.000217917058,0.004166666666,0.000000036613
1.500000000000,9.000000000000,0.007516018555,0.006222907501,0.000489753442,0.006249999990,0.000000205083
2.000000000000,12.000000000000,0.020492083464,0.008270653273,0.000869280687,0.008333333248,0.000000714285
2.500000000000,15.000000000000,0.043771331463,0.010295729760,0.001355458537,0.010416666211,0.000001882627
3.000000000000,18.000000000000,0.080349538622,0.012292586366,0.001946954412,0.012499998216,0.000004139207
3.500000000000,21.000000000000,0.133085459687,0.014255749849,0.002642147062,0.014583327715,0.000008019562
4.000000000000,24.000000000000,0.204689874306,0.016179839311,0.003439131012,0.016666651591,0.000014160481
4.500000000000,27.000000000000,0.297724609880,0.018059580959,0.004335721786,0.018749964213,0.000023294602
5.000000000000,30.000000000000,0.414604960377,0.019889822551,0.005329461890,0.020833256211,0.000036245029
5.500000000000,33.000000000000,0.557603248307,0.021665547521,0.006417627551,0.022916512944,0.000053920047
6.000000000000,36.000000000000,0.728852757097,0.023381888732,0.007597236184,0.024999712668,0.000077307960
6.500000000000,39.000000000000,0.930351767383,0.025034141811,0.008865054563,0.027082824399,0.000107472049
7.000000000000,42.000000000000,1.163967604004,0.026617778047,0.010217607685,0.029165805469,0.000145545651
7.500000000000,45.000000000000,1.431440659844,0.028128456804,0.011651188297,0.031248598791,0.000192727342
8.000000000000,48.000000000000,1.734388383099,0.029562037416,0.013161867054,0.033331129840,0.000250276215
8.500000000000,51.000000000000,2.074309221665,0.030914590538,0.014745503290,0.035413303380,0.000319507239
9.000000000000,54.000000000000,2.452586520887,0.032182408917,0.016397756369,0.037494999942,0.000401786673
9.500000000000,57.000000000000,2.870492371882,0.033362017550,0.018114097580,0.039576072083,0.000498527533
10.000000000000,60.000000000000,3.329191408115,0.034450183211,0.019889822551,0.041656340458,0.000611185084
10.500000000000,63.000000000000,3.829744548166,0.035443923315,0.021720064142,0.043735589715,0.000741252325
11.000000000000,66.000000000000,4.373112682789,0.036340514089,0.023599805790,0.045813564270,0.000890255472
11.500000000000,69.000000000000,4.960160304581,0.037137498039,0.025523895253,0.047889963962,0.001059749393
12.000000000000,72.000000000000,5.591659078680,0.037832690689,0.027487058735,0.049964439644,0.001251312987
12.500000000000,75.000000000000,6.268291353094,0.038424186564,0.029483915341,0.052036588736,0.001466544480
13.000000000000,78.000000000000,6.990653607370,0.038910364414,0.031508991828,0.054105950768,0.001707056614
13.500000000000,81.000000000000,7.759259838489,0.039289891659,0.033556737600,0.056172002965,0.001974471718
14.000000000000,84.000000000000,8.574544882948,0.039561728043,0.035621539929,0.058234155891,0.002270416629
14.500000000000,87.000000000000,9.436867674160,0.039725128480,0.037697739336,0.060291749205,0.002596517461
15.000000000000,90.000000000000,10.346514434394,0.039779645101,0.039779645101,0.062344047559,0.002954394184
15.500000000000,93.000000000000,11.303701800600,0.039725128480,0.041861550866,0.064390236677,0.003345655021
16.000000000000,96.000000000000,12.308579883585,0.039561728043,0.043937750273,0.066429419656,0.003771890640
16.500000000000,99.000000000000,13.361235260078,0.039289891659,0.046002552602,0.068460613523,0.004234668130
17.000000000000,102.000000000000,14.461693897364,0.038910364414,0.048050298374,0.070482746096,0.004735524769
17.500000000000,105.000000000000,15.609924010227,0.038424186564,0.050075374861,0.072494653172,0.005275961560
18.000000000000,108.000000000000,16.805838850064,0.037832690689,0.052072231468,0.074495076101,0.005857436555
18.500000000000,111.000000000000,18.049299426088,0.037137498039,0.054035394950,0.076482659760,0.006481357969
19.000000000000,114.000000000000,19.340117158654,0.036340514089,0.055959484412,0.078455950986,0.007149077077
19.500000000000,117.000000000000,20.678056464788,0.035443923315,0.057839226060,0.080413397486,0.007861880925
20.000000000000,120.000000000000,22.062837276117,0.034450183211,0.059669467652,0.082353347275,0.008620984864
