t,ref_deg,out_deg,x_ref_nm,y_ref_nm,x_out_nm,y_out_nm
0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
0.500000000000,3.000000000000,0.004342275226,0.002081905765,0.000054516621,0.002083333330,0.000000078945
1.000000000000,6.000000000000,0.057653463080,0.004158105172,0.000217917058,0.004166666133,0.000001206059
1.500000000000,9.000000000000,0.246792515299,0.006222907501,0.000489753442,0.006249989276,0.000006741029
2.000000000000,12.000000000000,0.669231501091,0.008270653273,0.000869280687,0.008333241890,0.000023394525
2.500000000000,15.000000000000,1.417808266045,0.010295729760,0.001355458537,0.010416185259,0.000061335072
3.000000000000,18.000000000000,2.573478994619,0.012292586366,0.001946954412,0.012498149121,0.000133880361
3.500000000000,21.000000000000,4.201137439127,0.014255749849,0.002642147062,0.014577632958,0.000256962212
4.000000000000,24.000000000000,6.346935258143,0.016179839311,0.003439131012,0.016651782702,0.000448427314
4.500000000000,27.000000000000,9.036629948022,0.018059580959,0.004335721786,0.018715802346,0.000727192290
5.000000000000,30.000000000000,12.274826355011,0.019889822551,0.005329461890,0.020762393185,0.001112262043
5.500000000000,33.000000000000,16.045068288543,0.021665547521,0.006417627551,0.022781334501,0.001621631291
6.000000000000,36.000000000000,20.310745368044,0.023381888732,0.007597236184,0.024759322457,0.002271115591
6.500000000000,39.000000000000,25.016762876760,0.025034141811,0.008865054563,0.026680164079,0.003073193652
7.000000000000,42.000000000000,30.091898294285,0.026617778047,0.010217607685,0.028525379110,0.004035976776
7.500000000000,45.000000000000,35.451744360481,0.028128456804,0.011651188297,0.030275198522,0.005162440822
8.000000000000,48.000000000000,41.002117880425,0.029562037416,0.013161867054,0.031909875229,0.006450049167
8.500000000000,51.000000000000,46.642797416112,0.030914590538,0.014745503290,0.033411156405,0.007890856060
9.000000000000,54.000000000000,52.271442296221,0.032182408917,0.016397756369,0.034763725083,0.009472112650
9.500000000000,57.000000000000,57.787540420434,0.033362017550,0.018114097580,0.035956414257,0.011177316712
10.000000000000,60.000000000000,63.096233276059,0.034450183211,0.019889822551,0.036983032605,0.012987571973
10.500000000000,63.000000000000,68.111873314852,0.035443923315,0.021720064142,0.037842708477,0.014883073339
11.000000000000,66.000000000000,72.761181024542,0.036340514089,0.023599805790,0.038539740458,0.016844522634
11.500000000000,69.000000000000,76.985886133737,0.037137498039,0.025523895253,0.039083017821,0.018854306402
12.000000000000,72.000000000000,80.744758690148,0.037832690689,0.027487058735,0.039485126072,0.020897323361
12.500000000000,75.000000000000,84.014960378688,0.038424186564,0.029483915341,0.039761273610,0.022961417957
