branch,re,im
1,-2.146118311995,0.000000000000
1,-2.131793589440,0.000000000000
1,-2.117659484803,0.000000000000
1,-2.103712223158,0.000000000000
1,-2.089948128606,0.000000000000
1,-2.076363621049,0.000000000000
1,-2.062955213090,0.000000000000
1,-2.049719507050,0.000000000000
1,-2.036653192104,0.000000000000
1,-2.023753041522,0.000000000000
1,-2.011015910017,0.000000000000
1,-1.998438731186,0.000000000000
1,-1.986018515063,0.000000000000
1,-1.973752345741,0.000000000000
1,-1.961637379100,0.000000000000
1,-1.949670840609,0.000000000000
1,-1.937850023211,0.000000000000
1,-1.926172285285,0.000000000000
1,-1.914635048677,0.000000000000
1,-1.903235796812,0.000000000000
1,-1.891972072860,0.000000000000
1,-1.880841477977,0.000000000000
1,-1.869841669603,0.000000000000
1,-1.858970359823,0.000000000000
1,-1.848225313777,0.000000000000
1,-1.837604348140,0.000000000000
1,-1.827105329636,0.000000000000
1,-1.816726173619,0.000000000000
1,-1.806464842692,0.000000000000
1,-1.796319345375,0.000000000000
1,-1.786287734820,0.000000000000
1,-1.776368107568,0.000000000000
1,-1.766558602348,0.000000000000
1,-1.756857398910,0.000000000000
1,-1.747262716908,0.000000000000
1,-1.737772814804,0.000000000000
1,-1.728385988826,0.000000000000
1,-1.719100571942,0.000000000000
1,-1.709914932878,0.000000000000
1,-1.700827475164,0.000000000000
1,-1.691836636212,0.000000000000
1,-1.682940886420,0.000000000000
1,-1.674138728306,0.000000000000
1,-1.665428695673,0.000000000000
1,-1.656809352790,0.000000000000
1,-1.648279293611,0.000000000000
1,-1.639837141007,0.000000000000
1,-1.631481546029,0.000000000000
1,-1.623211187192,0.000000000000
1,-1.615024769775,0.000000000000
1,-1.606921025151,0.000000000000
1,-1.598898710131,0.000000000000
1,-1.590956606332,0.000000000000
1,-1.583093519558,0.000000000000
1,-1.575308279204,0.000000000000
1,-1.567599737677,0.000000000000
1,-1.559966769833,0.000000000000
1,-1.552408272431,0.000000000000
1,-1.544923163602,0.000000000000
1,-1.537510382335,0.000000000000
1,-1.530168887974,0.000000000000
1,-1.522897659736,0.000000000000
1,-1.515695696235,0.000000000000
1,-1.508562015029,0.000000000000
1,-1.501495652167,0.000000000000
1,-1.494495661762,0.000000000000
1,-1.487561115565,0.000000000000
1,-1.480691102562,0.000000000000
1,-1.473884728567,0.000000000000
1,-1.467141115846,0.000000000000
1,-1.460459402730,0.000000000000
1,-1.453838743256,0.000000000000
1,-1.447278306808,0.000000000000
1,-1.440777277772,0.000000000000
1,-1.434334855196,0.000000000000
1,-1.427950252465,0.000000000000
1,-1.421622696982,0.000000000000
1,-1.415351429853,0.000000000000
1,-1.409135705589,0.000000000000
1,-1.402974791810,0.000000000000
1,-1.396867968955,0.000000000000
1,-1.390814530009,0.000000000000
1,-1.384813780224,0.000000000000
1,-1.378865036859,0.000000000000
1,-1.372967628920,0.000000000000
1,-1.367120896908,0.000000000000
1,-1.361324192574,0.000000000000
1,-1.355576878681,0.000000000000
1,-1.349878328770,0.000000000000
1,-1.344227926935,0.000000000000
1,-1.338625067598,0.000000000000
1,-1.333069155299,0.000000000000
1,-1.327559604479,0.000000000000
1,-1.322095839282,0.000000000000
1,-1.316677293348,0.000000000000
1,-1.311303409624,0.000000000000
1,-1.305973640169,0.000000000000
1,-1.285085054958,0.000000000000
1,-1.264860710075,0.000000000000
1,-1.245269534023,0.000000000000
1,-1.226282363851,0.000000000000
1,-1.207871800825,0.000000000000
1,-1.190012079010,0.000000000000
1,-1.172678945420,0.000000000000
1,-1.155849550575,0.000000000000
1,-1.139502348419,0.000000000000
1,-1.123617004688,0.000000000000
1,-1.108174312894,0.000000000000
1,-1.093156117208,0.000000000000
1,-1.078545241585,0.000000000000
1,-1.064325424548,0.000000000000
1,-1.050481259111,0.000000000000
1,-1.036998137383,0.000000000000
1,-1.023862199421,0.000000000000
1,-1.011060285961,0.000000000000
1,-0.998579894691,0.000000000000
1,-0.986409139760,0.000000000000
1,-0.974536714245,0.000000000000
1,-0.962951855319,0.000000000000
1,-0.951644311918,0.000000000000
1,-0.940604314673,0.000000000000
1,-0.929822547949,0.000000000000
1,-0.919290123800,0.000000000000
1,-0.908998557701,0.000000000000
1,-0.898939745917,0.000000000000
1,-0.889105944374,0.000000000000
1,-0.879489748923,0.000000000000
1,-0.870084076889,0.000000000000
1,-0.860882149813,0.000000000000
1,-0.851877477285,0.000000000000
1,-0.843063841807,0.000000000000
1,-0.834435284594,0.000000000000
1,-0.825986092256,0.000000000000
1,-0.817710784292,0.000000000000
1,-0.809604101340,0.000000000000
1,-0.801660994138,0.000000000000
1,-0.793876613128,0.000000000000
1,-0.786246298685,0.000000000000
1,-0.778765571904,0.000000000000
1,-0.771430125919,0.000000000000
1,-0.764235817726,0.000000000000
1,-0.757178660455,0.000000000000
1,-0.750254816088,0.000000000000
1,-0.743460588570,0.000000000000
1,-0.736792417309,0.000000000000
1,-0.730246871021,0.000000000000
1,-0.723820641913,0.000000000000
1,-0.717510540174,0.000000000000
1,-0.711313488764,0.000000000000
1,-0.705226518469,0.000000000000
1,-0.699246763218,0.000000000000
1,-0.693371455644,0.000000000000
1,-0.687597922867,0.000000000000
1,-0.681923582496,0.000000000000
1,-0.676345938831,0.000000000000
1,-0.670862579251,0.000000000000
1,-0.665471170790,0.000000000000
1,-0.644780998310,0.000000000000
1,-0.625394029209,0.000000000000
1,-0.607192911870,0.000000000000
1,-0.590073981796,0.000000000000
1,-0.573945321688,0.000000000000
1,-0.558725142336,0.000000000000
1,-0.544340424118,0.000000000000
1,-0.530725771436,0.000000000000
1,-0.517822442140,0.000000000000
1,-0.505577521540,0.000000000000
1,-0.493943216487,0.000000000000
1,-0.482876249627,0.000000000000
1,-0.472337337660,0.000000000000
1,-0.462290740285,0.000000000000
1,-0.452703868935,0.000000000000
1,-0.443546946243,0.000000000000
1,-0.434792708733,0.000000000000
1,-0.426416146463,0.000000000000
1,-0.418394274381,0.000000000000
1,-0.410705930976,0.000000000000
1,-0.403331600483,0.000000000000
1,-0.396253255519,0.000000000000
1,-0.389454217430,0.000000000000
1,-0.382919032096,0.000000000000
1,-0.376633359216,0.000000000000
1,-0.370583873403,0.000000000000
1,-0.364758175646,0.000000000000
1,-0.343473478758,0.000000000000
1,-0.324970638411,0.000000000000
1,-0.308764760384,0.000000000000
1,-0.294476159090,0.000000000000
1,-0.281803213130,0.000000000000
1,-0.270503241162,0.000000000000
1,-0.260378761335,0.000000000000
1,-0.251267442964,0.000000000000
1,-0.243034639824,0.000000000000
1,-0.235567760323,0.000000000000
1,-0.228771965619,0.000000000000
1,-0.222566841897,0.000000000000
1,-0.202418135253,0.000000000000
1,-0.187654871650,0.000000000000
1,-0.176457398408,0.000000000000
1,-0.167718361859,0.000000000000
1,-0.160732671793,0.000000000000
1,-0.155034157918,0.000000000000
1,-0.139986195278,0.000000000000
1,-0.131413958241,0.000000000000
1,-0.125886973233,0.000000000000
1,-0.122026543629,0.000000000000
1,-0.119176085764,0.000000000000
1,-0.116983925841,0.000000000000
1,-0.115244844817,0.000000000000
1,-0.113831027550,0.000000000000
1,-0.112658694129,0.000000000000
1,-0.111670622711,0.000000000000
1,-0.110826386626,0.000000000000
1,-0.110096605601,0.000000000000
1,-0.109459408726,0.000000000000
1,-0.108898175858,0.000000000000
1,-0.108400048730,0.000000000000
1,-0.107954922016,0.000000000000
1,-0.107554742911,0.000000000000
1,-0.107193014439,0.000000000000
1,-0.106864436488,0.000000000000
1,-0.106564641956,0.000000000000
1,-0.106289999823,0.000000000000
1,-0.106037466131,0.000000000000
1,-0.105804469804,0.000000000000
1,-0.105588824136,0.000000000000
1,-0.105388657465,0.000000000000
1,-0.105202358349,0.000000000000
2,-0.048815844002,-0.049627209431
2,-0.048807513549,-0.049634658008
2,-0.048799178385,-0.049642103402
2,-0.048790838513,-0.049649545606
2,-0.048782493934,-0.049656984614
2,-0.048774144649,-0.049664420421
2,-0.048765790659,-0.049671853020
2,-0.048757431965,-0.049679282406
2,-0.048749068570,-0.049686708573
2,-0.048740700473,-0.049694131514
2,-0.048732327677,-0.049701551224
2,-0.048723950183,-0.049708967697
2,-0.048715567992,-0.049716380927
2,-0.048707181105,-0.049723790907
2,-0.048698789524,-0.049731197633
2,-0.048690393251,-0.049738601097
2,-0.048681992285,-0.049746001295
2,-0.048673586630,-0.049753398219
2,-0.048665176286,-0.049760791865
2,-0.048656761255,-0.049768182226
2,-0.048648341538,-0.049775569296
2,-0.048639917136,-0.049782953069
2,-0.048631488051,-0.049790333539
2,-0.048623054285,-0.049797710701
2,-0.048614615839,-0.049805084548
2,-0.048606172714,-0.049812455075
2,-0.048597724911,-0.049819822274
2,-0.048589272434,-0.049827186142
2,-0.048580815281,-0.049834546670
2,-0.048572353457,-0.049841903855
2,-0.048563886960,-0.049849257688
2,-0.048555415795,-0.049856608166
2,-0.048546939961,-0.049863955280
2,-0.048538459460,-0.049871299027
2,-0.048529974295,-0.049878639399
2,-0.048521484466,-0.049885976390
2,-0.048512989975,-0.049893309996
2,-0.048504490824,-0.049900640209
2,-0.048495987015,-0.049907967023
2,-0.048487478548,-0.049915290434
2,-0.048478965426,-0.049922610434
2,-0.048470447649,-0.049929927018
2,-0.048461925221,-0.049937240179
2,-0.048453398142,-0.049944549913
2,-0.048444866415,-0.049951856212
2,-0.048436330040,-0.049959159071
2,-0.048427789019,-0.049966458484
2,-0.048419243355,-0.049973754444
2,-0.048410693049,-0.049981046947
2,-0.048402138102,-0.049988335985
2,-0.048393578517,-0.049995621553
2,-0.048385014295,-0.050002903645
2,-0.048376445437,-0.050010182255
2,-0.048367871946,-0.050017457377
2,-0.048359293824,-0.050024729005
2,-0.048350711071,-0.050031997133
2,-0.048342123691,-0.050039261755
2,-0.048333531684,-0.050046522865
2,-0.048324935053,-0.050053780456
2,-0.048316333799,-0.050061034524
2,-0.048307727924,-0.050068285061
2,-0.048299117430,-0.050075532063
2,-0.048290502319,-0.050082775522
2,-0.048281882593,-0.050090015434
2,-0.048273258254,-0.050097251791
2,-0.048264629303,-0.050104484589
2,-0.048255995742,-0.050111713820
2,-0.048247357574,-0.050118939480
2,-0.048238714800,-0.050126161561
2,-0.048230067422,-0.050133380059
2,-0.048221415442,-0.050140594966
2,-0.048212758862,-0.050147806278
2,-0.048204097684,-0.050155013988
2,-0.048195431911,-0.050162218089
2,-0.048186761543,-0.050169418577
2,-0.048178086583,-0.050176615445
2,-0.048169407033,-0.050183808687
2,-0.048160722895,-0.050190998297
2,-0.048152034171,-0.050198184269
2,-0.048143340863,-0.050205366597
2,-0.048134642973,-0.050212545275
2,-0.048125940504,-0.050219720297
2,-0.048117233456,-0.050226891657
2,-0.048108521833,-0.050234059350
2,-0.048099805636,-0.050241223368
2,-0.048091084868,-0.050248383707
2,-0.048082359530,-0.050255540359
2,-0.048073629625,-0.050262693320
2,-0.048064895155,-0.050269842583
2,-0.048056156122,-0.050276988142
2,-0.048047412528,-0.050284129992
2,-0.048038664375,-0.050291268125
2,-0.048029911666,-0.050298402536
2,-0.048021154402,-0.050305533220
2,-0.048012392587,-0.050312660170
2,-0.048003626221,-0.050319783380
2,-0.047994855308,-0.050326902844
2,-0.047959726224,-0.050355343124
2,-0.047924524557,-0.050383722991
2,-0.047889250456,-0.050412042064
2,-0.047853904070,-0.050440299958
2,-0.047818485553,-0.050468496293
2,-0.047782995060,-0.050496630684
2,-0.047747432751,-0.050524702751
2,-0.047711798787,-0.050552712112
2,-0.047676093332,-0.050580658384
2,-0.047640316554,-0.050608541187
2,-0.047604468623,-0.050636360140
2,-0.047568549711,-0.050664114862
2,-0.047532559995,-0.050691804974
2,-0.047496499654,-0.050719430096
2,-0.047460368868,-0.050746989850
2,-0.047424167823,-0.050774483856
2,-0.047387896705,-0.050801911737
2,-0.047351555705,-0.050829273115
2,-0.047315145016,-0.050856567613
2,-0.047278664834,-0.050883794856
2,-0.047242115357,-0.050910954468
2,-0.047205496787,-0.050938046073
2,-0.047168809329,-0.050965069298
2,-0.047132053190,-0.050992023769
2,-0.047095228580,-0.051018909113
2,-0.047058335712,-0.051045724959
2,-0.047021374803,-0.051072470935
2,-0.046984346072,-0.051099146672
2,-0.046947249739,-0.051125751798
2,-0.046910086030,-0.051152285947
2,-0.046872855172,-0.051178748751
2,-0.046835557396,-0.051205139842
2,-0.046798192934,-0.051231458856
2,-0.046760762024,-0.051257705426
2,-0.046723264902,-0.051283879191
2,-0.046685701812,-0.051309979787
2,-0.046648072999,-0.051336006852
2,-0.046610378708,-0.051361960027
2,-0.046572619192,-0.051387838952
2,-0.046534794702,-0.051413643268
2,-0.046496905495,-0.051439372620
2,-0.046458951829,-0.051465026651
2,-0.046420933967,-0.051490605008
2,-0.046382852172,-0.051516107336
2,-0.046344706712,-0.051541533284
2,-0.046306497856,-0.051566882503
2,-0.046268225878,-0.051592154642
2,-0.046229891052,-0.051617349354
2,-0.046191493658,-0.051642466293
2,-0.046153033975,-0.051667505114
2,-0.046114512289,-0.051692465474
2,-0.046075928885,-0.051717347031
2,-0.046037284053,-0.051742149444
2,-0.045998578085,-0.051766872376
2,-0.045959811276,-0.051791515488
2,-0.045920983922,-0.051816078447
2,-0.045882096324,-0.051840560917
2,-0.045843148785,-0.051864962566
2,-0.045804141610,-0.051889283065
2,-0.045765075107,-0.051913522085
2,-0.045608222073,-0.052009656858
2,-0.045450445123,-0.052104462135
2,-0.045291765219,-0.052197917774
2,-0.045132203968,-0.052290004143
2,-0.044971783601,-0.052380702150
2,-0.044810526958,-0.052469993268
2,-0.044648457469,-0.052557859561
2,-0.044485599130,-0.052644283707
2,-0.044321976486,-0.052729249023
2,-0.044157614602,-0.052812739483
2,-0.043992539044,-0.052894739745
2,-0.043826775849,-0.052975235168
2,-0.043660351503,-0.053054211832
2,-0.043493292911,-0.053131656553
2,-0.043325627370,-0.053207556903
2,-0.043157382540,-0.053281901224
2,-0.042988586412,-0.053354678640
2,-0.042819267282,-0.053425879069
2,-0.042649453718,-0.053495493239
2,-0.042479174528,-0.053563512687
2,-0.042308458729,-0.053629929778
2,-0.042137335515,-0.053694737702
2,-0.041965834228,-0.053757930484
2,-0.041793984320,-0.053819502985
2,-0.041621815327,-0.053879450902
2,-0.041449356831,-0.053937770773
2,-0.041276638434,-0.053994459967
2,-0.040583756705,-0.054204886455
2,-0.039889068049,-0.054389225789
2,-0.039194409646,-0.054547696692
2,-0.038501549276,-0.054680707457
2,-0.037812161551,-0.054788838472
2,-0.037127808553,-0.054872821662
2,-0.036449925149,-0.054933517983
2,-0.035779808984,-0.054971894054
2,-0.035118614908,-0.054988998903
2,-0.034467353391,-0.054985941617
2,-0.033826892388,-0.054963870552
2,-0.033197962030,-0.054923954517
2,-0.030807752954,-0.054609071275
2,-0.028630314758,-0.054098235749
2,-0.026665611861,-0.053452019281
2,-0.024901452341,-0.052717954592
2,-0.023319976712,-0.051931463312
2,-0.021901641232,-0.051118070570
2,-0.017503132759,-0.047879980185
2,-0.014501354213,-0.044944595656
2,-0.012348925914,-0.042389252446
2,-0.010739264924,-0.040177416256
2,-0.009493832502,-0.038253975327
2,-0.008503321388,-0.036568381831
2,-0.007697624412,-0.035078952106
2,-0.007029921397,-0.033752346395
2,-0.006467843137,-0.032562056479
2,-0.005988338321,-0.031486930635
2,-0.005574567380,-0.030509965874
2,-0.005213953720,-0.029617372910
2,-0.004896921527,-0.028797865680
2,-0.004616054970,-0.028042123395
2,-0.004365523996,-0.027342381839
2,-0.004140683416,-0.026692120842
2,-0.003937787393,-0.026085823328
2,-0.003753782447,-0.025518787952
2,-0.003586154978,-0.024986982113
2,-0.003432817281,-0.024486925664
2,-0.003292021211,-0.024015598117
2,-0.003162291989,-0.023570364039
2,-0.003042376878,-0.023148912586
2,-0.002931204989,-0.022749208173
2,-0.002827855492,-0.022369449940
2,-0.002731532268,-0.022008038235
3,-0.048815844002,0.049627209431
3,-0.048807513549,0.049634658008
3,-0.048799178385,0.049642103402
3,-0.048790838513,0.049649545606
3,-0.048782493934,0.049656984614
3,-0.048774144649,0.049664420421
3,-0.048765790659,0.049671853020
3,-0.048757431965,0.049679282406
3,-0.048749068570,0.049686708573
3,-0.048740700473,0.049694131514
3,-0.048732327677,0.049701551224
3,-0.048723950183,0.049708967697
3,-0.048715567992,0.049716380927
3,-0.048707181105,0.049723790907
