-2.5,-0.9866142981514303,-2.5,-0.7083160396933266
-2.49,-0.9863457351557237,-2.49,-0.7041162962771865
-2.48,-0.9860718216444758,-2.48,-0.699916552861046
-2.47,-0.9857924525512225,-2.47,-0.695716809444906
-2.46,-0.9855075208083371,-2.46,-0.6915170660287655
-2.45,-0.985216917311436,-2.45,-0.6873173226126255
-2.44,-0.9849205308832533,-2.44,-0.683117579196485
-2.43,-0.9846182482369833,-2.43,-0.6789178357803449
-2.42,-0.9843099539390887,-2.42,-0.6747180923642044
-2.41,-0.9839955303715675,-2.41,-0.6705183489480644
-2.4,-0.9836748576936802,-2.4,-0.6663186055319239
-2.39,-0.9833478138031324,-2.39,-0.6621188621157839
-2.38,-0.9830142742967113,-2.38,-0.6579191186996434
-2.37,-0.9826741124303737,-2.37,-0.6537193752835033
-2.36,-0.9823271990787845,-2.36,-0.6495196318673628
-2.35,-0.9819734026943043,-2.35,-0.6453198884512228
-2.34,-0.9816125892654238,-2.34,-0.6411201450350823
-2.33,-0.9812446222746463,-2.33,-0.6369204016189423
-2.32,-0.9808693626558167,-2.32,-0.6327206582028018
-2.31,-0.9804866687508973,-2.31,-0.6285209147866617
-2.3,-0.9800963962661914,-2.3,-0.6243211713705212
-2.29,-0.9796983982280145,-2.29,-0.6201214279543812
-2.28,-0.9792925249378165,-2.28,-0.6159216845382407
-2.27,-0.9788786239267537,-2.27,-0.6117219411221007
-2.26,-0.9784565399097167,-2.26,-0.6075221977059602
-2.25,-0.9780261147388136,-2.25,-0.6033224542898201
-2.24,-0.9775871873563142,-2.24,-0.5991227108736799
-2.23,-0.9771395937470585,-2.23,-0.5949229674575396
-2.22,-0.9766831668903339,-2.22,-0.5907232240413993
-2.21,-0.976217736711226,-2.21,-0.5865234806252591
-2.2,-0.9757431300314515,-2.2,-0.5823237372091188
-2.19,-0.9752591705196751,-2.19,-0.5781239937929785
-2.18,-0.9747656786413226,-2.18,-0.5739242503768383
-2.17,-0.974262471607895,-2.17,-0.569724506960698
-2.16,-0.9737493633257944,-2.16,-0.5655247635445577
